N HSQ P NCAU START STOP EST
5000 0.0015 1095 3 16050408 17674295 -0.0084
5000 0.0015 1095 3 16050408 17674295 -0.00377
5000 0.0015 1095 3 16050408 17674295 0.0158
5000 0.0015 1095 3 16050408 17674295 -0.00196
5000 0.0015 1095 3 16050408 17674295 0.0164
5000 0.0015 1095 3 16050408 17674295 0.00998
5000 0.0015 1095 3 16050408 17674295 -0.00436
5000 0.0015 1095 3 16050408 17674295 0.0168
5000 0.0015 1095 3 16050408 17674295 0.00672
5000 0.0015 1095 3 16050408 17674295 -0.0216
5000 0.0015 1095 3 16050408 17674295 0.017
5000 0.0015 1095 3 16050408 17674295 0.000815
5000 0.0015 1095 3 16050408 17674295 0.0173
5000 0.0015 1095 3 16050408 17674295 0.0348
5000 0.0015 1095 3 16050408 17674295 -0.0075
5000 0.0015 1095 3 16050408 17674295 0.0222
5000 0.0015 1095 3 16050408 17674295 0.0312
5000 0.0015 1095 3 16050408 17674295 -0.00584
5000 0.0015 1095 3 16050408 17674295 0.00566
5000 0.0015 1095 3 16050408 17674295 0.0258
5000 0.0015 1095 3 16050408 17674295 0.0172
5000 0.0015 1095 3 16050408 17674295 0.025
5000 0.0015 1095 3 16050408 17674295 0.0203
5000 0.0015 1095 3 16050408 17674295 0.00427
5000 0.0015 1095 3 16050408 17674295 0.00416
5000 0.0015 1095 3 16050408 17674295 0.0189
5000 0.0015 1095 3 16050408 17674295 -0.0141
5000 0.0015 1095 3 16050408 17674295 0.0103
5000 0.0015 1095 3 16050408 17674295 0.00125
5000 0.0015 1095 3 16050408 17674295 0.0243
5000 0.0015 1095 3 16050408 17674295 -0.00327
5000 0.0015 1095 3 16050408 17674295 -0.00524
5000 0.0015 1095 3 16050408 17674295 0.0106
5000 0.0015 1095 3 16050408 17674295 0.0384
5000 0.0015 1095 3 16050408 17674295 -0.00508
5000 0.0015 1095 3 16050408 17674295 0.017
5000 0.0015 1095 3 16050408 17674295 -0.0163
5000 0.0015 1095 3 16050408 17674295 0.00324
5000 0.0015 1095 3 16050408 17674295 -0.00833
5000 0.0015 1095 3 16050408 17674295 0.0183
5000 0.0015 1095 3 16050408 17674295 0.00971
5000 0.0015 1095 3 16050408 17674295 0.0275
5000 0.0015 1095 3 16050408 17674295 -0.0142
5000 0.0015 1095 3 16050408 17674295 0.028
5000 0.0015 1095 3 16050408 17674295 -0.0287
5000 0.0015 1095 3 16050408 17674295 0.00386
5000 0.0015 1095 3 16050408 17674295 0.0012
5000 0.0015 1095 3 16050408 17674295 0.000451
5000 0.0015 1095 3 16050408 17674295 -0.0105
5000 0.0015 1095 3 16050408 17674295 0.0271
5000 0.05 1095 3 16050408 17674295 0.0488
5000 0.05 1095 3 16050408 17674295 0.0749
5000 0.05 1095 3 16050408 17674295 0.0427
5000 0.05 1095 3 16050408 17674295 0.0396
5000 0.05 1095 3 16050408 17674295 0.0676
5000 0.05 1095 3 16050408 17674295 0.0483
5000 0.05 1095 3 16050408 17674295 0.0824
5000 0.05 1095 3 16050408 17674295 0.0536
5000 0.05 1095 3 16050408 17674295 0.0701
5000 0.05 1095 3 16050408 17674295 0.0636
5000 0.05 1095 3 16050408 17674295 0.0876
5000 0.05 1095 3 16050408 17674295 0.061
5000 0.05 1095 3 16050408 17674295 0.0555
5000 0.05 1095 3 16050408 17674295 0.0585
5000 0.05 1095 3 16050408 17674295 0.0831
5000 0.05 1095 3 16050408 17674295 0.0692
5000 0.05 1095 3 16050408 17674295 0.0364
5000 0.05 1095 3 16050408 17674295 0.0941
5000 0.05 1095 3 16050408 17674295 0.0817
5000 0.05 1095 3 16050408 17674295 0.0554
5000 0.05 1095 3 16050408 17674295 0.0728
5000 0.05 1095 3 16050408 17674295 0.0826
5000 0.05 1095 3 16050408 17674295 0.0782
5000 0.05 1095 3 16050408 17674295 0.0682
5000 0.05 1095 3 16050408 17674295 0.059
5000 0.05 1095 3 16050408 17674295 0.0981
5000 0.05 1095 3 16050408 17674295 0.0404
5000 0.05 1095 3 16050408 17674295 0.094
5000 0.05 1095 3 16050408 17674295 0.102
5000 0.05 1095 3 16050408 17674295 0.0893
5000 0.05 1095 3 16050408 17674295 0.0768
5000 0.05 1095 3 16050408 17674295 0.0871
5000 0.05 1095 3 16050408 17674295 0.0466
5000 0.05 1095 3 16050408 17674295 0.0705
5000 0.05 1095 3 16050408 17674295 0.0857
5000 0.05 1095 3 16050408 17674295 0.0481
5000 0.05 1095 3 16050408 17674295 0.0877
5000 0.05 1095 3 16050408 17674295 0.0707
5000 0.05 1095 3 16050408 17674295 0.087
5000 0.05 1095 3 16050408 17674295 0.0683
5000 0.05 1095 3 16050408 17674295 0.0867
5000 0.05 1095 3 16050408 17674295 0.0684
5000 0.05 1095 3 16050408 17674295 0.0873
5000 0.05 1095 3 16050408 17674295 0.0692
5000 0.05 1095 3 16050408 17674295 0.0777
5000 0.05 1095 3 16050408 17674295 0.0583
5000 0.05 1095 3 16050408 17674295 0.0578
5000 0.05 1095 3 16050408 17674295 0.0979
5000 0.05 1095 3 16050408 17674295 0.061
5000 0.05 1095 3 16050408 17674295 0.0689
5000 0.5 1095 3 16050408 17674295 0.641
5000 0.5 1095 3 16050408 17674295 0.714
5000 0.5 1095 3 16050408 17674295 0.713
5000 0.5 1095 3 16050408 17674295 0.704
5000 0.5 1095 3 16050408 17674295 0.744
5000 0.5 1095 3 16050408 17674295 0.694
5000 0.5 1095 3 16050408 17674295 0.712
5000 0.5 1095 3 16050408 17674295 0.681
5000 0.5 1095 3 16050408 17674295 0.64
5000 0.5 1095 3 16050408 17674295 0.812
5000 0.5 1095 3 16050408 17674295 0.662
5000 0.5 1095 3 16050408 17674295 0.705
5000 0.5 1095 3 16050408 17674295 0.663
5000 0.5 1095 3 16050408 17674295 0.62
5000 0.5 1095 3 16050408 17674295 0.871
5000 0.5 1095 3 16050408 17674295 0.655
5000 0.5 1095 3 16050408 17674295 0.804
5000 0.5 1095 3 16050408 17674295 0.697
5000 0.5 1095 3 16050408 17674295 0.654
5000 0.5 1095 3 16050408 17674295 0.665
5000 0.5 1095 3 16050408 17674295 0.661
5000 0.5 1095 3 16050408 17674295 0.652
5000 0.5 1095 3 16050408 17674295 0.674
5000 0.5 1095 3 16050408 17674295 0.721
5000 0.5 1095 3 16050408 17674295 0.639
5000 0.5 1095 3 16050408 17674295 0.678
5000 0.5 1095 3 16050408 17674295 0.669
5000 0.5 1095 3 16050408 17674295 0.834
5000 0.5 1095 3 16050408 17674295 0.674
5000 0.5 1095 3 16050408 17674295 0.615
5000 0.5 1095 3 16050408 17674295 0.762
5000 0.5 1095 3 16050408 17674295 0.675
5000 0.5 1095 3 16050408 17674295 0.663
5000 0.5 1095 3 16050408 17674295 0.652
5000 0.5 1095 3 16050408 17674295 0.679
5000 0.5 1095 3 16050408 17674295 0.631
5000 0.5 1095 3 16050408 17674295 0.665
5000 0.5 1095 3 16050408 17674295 0.735
5000 0.5 1095 3 16050408 17674295 0.785
5000 0.5 1095 3 16050408 17674295 0.699
5000 0.5 1095 3 16050408 17674295 0.709
5000 0.5 1095 3 16050408 17674295 0.635
5000 0.5 1095 3 16050408 17674295 0.649
5000 0.5 1095 3 16050408 17674295 0.691
5000 0.5 1095 3 16050408 17674295 0.713
5000 0.5 1095 3 16050408 17674295 0.672
5000 0.5 1095 3 16050408 17674295 0.655
5000 0.5 1095 3 16050408 17674295 0.691
5000 0.5 1095 3 16050408 17674295 0.635
5000 0.5 1095 3 16050408 17674295 0.616
7500 0.0015 1095 3 16050408 17674295 0.00447
7500 0.0015 1095 3 16050408 17674295 -0.00288
7500 0.0015 1095 3 16050408 17674295 -0.00657
7500 0.0015 1095 3 16050408 17674295 0.000323
7500 0.0015 1095 3 16050408 17674295 0.000199
7500 0.0015 1095 3 16050408 17674295 -0.0104
7500 0.0015 1095 3 16050408 17674295 0.00442
7500 0.0015 1095 3 16050408 17674295 0.01
7500 0.0015 1095 3 16050408 17674295 -0.00364
7500 0.0015 1095 3 16050408 17674295 0.0142
7500 0.0015 1095 3 16050408 17674295 -0.00163
7500 0.0015 1095 3 16050408 17674295 0.00281
7500 0.0015 1095 3 16050408 17674295 0.0039
7500 0.0015 1095 3 16050408 17674295 -0.00465
7500 0.0015 1095 3 16050408 17674295 0.00403
7500 0.0015 1095 3 16050408 17674295 0.0068
7500 0.0015 1095 3 16050408 17674295 -0.000576
7500 0.0015 1095 3 16050408 17674295 0.00472
7500 0.0015 1095 3 16050408 17674295 -0.00509
7500 0.0015 1095 3 16050408 17674295 0.00514
7500 0.0015 1095 3 16050408 17674295 0.0126
7500 0.0015 1095 3 16050408 17674295 0.0133
7500 0.0015 1095 3 16050408 17674295 0.014
7500 0.0015 1095 3 16050408 17674295 0.00454
7500 0.0015 1095 3 16050408 17674295 0.00589
7500 0.0015 1095 3 16050408 17674295 0.00292
7500 0.0015 1095 3 16050408 17674295 0.00613
7500 0.0015 1095 3 16050408 17674295 0.00218
7500 0.0015 1095 3 16050408 17674295 0.0132
7500 0.0015 1095 3 16050408 17674295 0.012
7500 0.0015 1095 3 16050408 17674295 0.00222
7500 0.0015 1095 3 16050408 17674295 0.00426
7500 0.0015 1095 3 16050408 17674295 0.00994
7500 0.0015 1095 3 16050408 17674295 0.00189
7500 0.0015 1095 3 16050408 17674295 0.00209
7500 0.0015 1095 3 16050408 17674295 -0.00427
7500 0.0015 1095 3 16050408 17674295 0.00505
7500 0.0015 1095 3 16050408 17674295 -0.00306
7500 0.0015 1095 3 16050408 17674295 0.00357
7500 0.0015 1095 3 16050408 17674295 0.018
7500 0.0015 1095 3 16050408 17674295 -0.000662
7500 0.0015 1095 3 16050408 17674295 0.0101
7500 0.0015 1095 3 16050408 17674295 -0.00581
7500 0.0015 1095 3 16050408 17674295 0.0187
7500 0.0015 1095 3 16050408 17674295 0.0264
7500 0.0015 1095 3 16050408 17674295 0.0191
7500 0.0015 1095 3 16050408 17674295 0.00515
7500 0.0015 1095 3 16050408 17674295 0.0244
7500 0.0015 1095 3 16050408 17674295 0.00419
7500 0.0015 1095 3 16050408 17674295 0.0112
7500 0.05 1095 3 16050408 17674295 0.0665
7500 0.05 1095 3 16050408 17674295 0.0637
7500 0.05 1095 3 16050408 17674295 0.0662
7500 0.05 1095 3 16050408 17674295 0.0596
7500 0.05 1095 3 16050408 17674295 0.0643
7500 0.05 1095 3 16050408 17674295 0.0373
7500 0.05 1095 3 16050408 17674295 0.064
7500 0.05 1095 3 16050408 17674295 0.0471
7500 0.05 1095 3 16050408 17674295 0.0568
7500 0.05 1095 3 16050408 17674295 0.06
7500 0.05 1095 3 16050408 17674295 0.0976
7500 0.05 1095 3 16050408 17674295 0.0574
7500 0.05 1095 3 16050408 17674295 0.0773
7500 0.05 1095 3 16050408 17674295 0.0672
7500 0.05 1095 3 16050408 17674295 0.0698
7500 0.05 1095 3 16050408 17674295 0.06
7500 0.05 1095 3 16050408 17674295 0.0729
7500 0.05 1095 3 16050408 17674295 0.0941
7500 0.05 1095 3 16050408 17674295 0.0573
7500 0.05 1095 3 16050408 17674295 0.0725
7500 0.05 1095 3 16050408 17674295 0.0726
7500 0.05 1095 3 16050408 17674295 0.0862
7500 0.05 1095 3 16050408 17674295 0.0622
7500 0.05 1095 3 16050408 17674295 0.0485
7500 0.05 1095 3 16050408 17674295 0.0691
7500 0.05 1095 3 16050408 17674295 0.0312
7500 0.05 1095 3 16050408 17674295 0.0633
7500 0.05 1095 3 16050408 17674295 0.0649
7500 0.05 1095 3 16050408 17674295 0.0615
7500 0.05 1095 3 16050408 17674295 0.0844
7500 0.05 1095 3 16050408 17674295 0.0596
7500 0.05 1095 3 16050408 17674295 0.0576
7500 0.05 1095 3 16050408 17674295 0.0554
7500 0.05 1095 3 16050408 17674295 0.0668
7500 0.05 1095 3 16050408 17674295 0.0542
7500 0.05 1095 3 16050408 17674295 0.0692
7500 0.05 1095 3 16050408 17674295 0.101
7500 0.05 1095 3 16050408 17674295 0.0738
7500 0.05 1095 3 16050408 17674295 0.0557
7500 0.05 1095 3 16050408 17674295 0.0575
7500 0.05 1095 3 16050408 17674295 0.0617
7500 0.05 1095 3 16050408 17674295 0.0635
7500 0.05 1095 3 16050408 17674295 0.0631
7500 0.05 1095 3 16050408 17674295 0.0526
