chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000313145664151	4.37874916522e-09
1	1892607	3582736	3045	50	0.00020148595834	7.09155418061e-09
1	3582736	4380811	1622	50	8.33911109894e-05	3.44405760524e-09
1	4380811	5913893	3790	50	0.000117805170287	7.12456724015e-09
1	5913893	7247335	2066	50	0.000311235938879	5.35164611985e-09
1	7247335	9365199	3371	50	0.000696975251457	9.87593555739e-09
1	9365199	10806984	1551	50	0.000289519184505	4.6759588033e-09
1	10806984	11777841	1319	50	0.00035458969047	4.42388490731e-09
1	11777841	12779466	1366	50	5.46817788154e-05	3.04554224237e-09
1	12779466	14891511	2579	50	0.000148678822211	5.63034204049e-09
1	14891511	16897730	4083	50	0.000591941778546	9.38131342462e-09
1	16897730	18662899	2903	50	0.000124399509763	6.00734806266e-09
1	18662899	20469149	3703	50	0.000556270594967	8.73969971947e-09
1	20469149	21736588	2066	50	0.000146036315917	4.21949487753e-09
1	21736588	23086883	2718	50	0.00353111518638	2.14493986067e-08
1	23086883	23920590	1027	50	0.000263892889679	3.20997107801e-09
1	23920590	25516845	2421	50	0.000284637789061	5.78939352991e-09
1	25516845	27401867	2028	50	0.000722337772106	6.92704828357e-09
1	27401867	30161881	2938	50	0.000299207736399	7.15301594794e-09
1	30161881	32438685	4147	50	0.00018184693807	7.43909530298e-09
1	32438685	34799758	2590	50	8.48851192337e-05	5.43228951956e-09
1	34799758	37549183	2869	50	8.93937918182e-05	5.85584693139e-09
1	37549183	38731847	1902	50	0.000403101897696	4.96626186322e-09
1	38731847	40200567	2042	50	0.000231426567361	4.88344621694e-09
1	40200567	41975327	2933	50	0.000506766913964	6.77628547728e-09
1	41975327	43758457	2548	50	0.000245445958849	5.10268774569e-09
1	43758457	44969183	1455	50	0.000161161073432	3.36655450879e-09
1	44969183	46899501	2474	50	0.000238021486868	5.61680424568e-09
1	46899501	48002576	1540	50	0.000178461317652	3.38145077804e-09
1	48002576	48978188	1218	50	0.000214571396593	3.16354506744e-09
1	48978188	49894177	750	46	0.000123012774595	2.31006027376e-09
1	49894177	51713726	1240	45	0.00029182025117	4.27279818898e-09
1	51713726	54226262	2519	50	0.000226390367211	5.99181638795e-09
1	54226262	56413117	3639	50	0.000145658292333	6.76288193941e-09
1	56413117	57021728	1026	48	0.000300675639592	2.88772112437e-09
1	57021728	58865399	3295	50	0.000163400779786	5.75573023318e-09
1	58865399	59890409	1773	50	0.000117313868492	3.07158837457e-09
1	59890409	61922365	2469	50	0.000278602073838	5.65768013911e-09
1	61922365	63455089	2289	50	0.000320615512562	5.59654492504e-09
1	63455089	65041704	2971	50	0.00014733674365	4.79590884352e-09
1	65041704	66939404	2873	50	0.000191254383757	4.79980396509e-09
1	66939404	68477895	2885	50	0.000438788903481	5.9252221359e-09
1	68477895	69687616	1632	50	0.00188648350145	1.12494890925e-08
1	69687616	71372470	2634	50	8.76931371814e-05	4.1168283961e-09
1	71372470	71684405	514	20	8.64491070622e-05	1.21719727191e-09
1	71684405	74326907	3151	50	0.000171502740353	5.7632813259e-09
1	74326907	76728135	3459	50	0.000247878247807	5.44856189369e-09
1	76728135	79661198	4619	50	8.98971484734e-05	6.64189994291e-09
1	79661198	81354191	2772	50	0.000111323285399	4.80145386705e-09
1	81354191	83991748	4606	50	0.000184374289565	7.02178560151e-09
1	83991748	84844495	1190	50	0.000124134020437	2.38716454797e-09
1	84844495	86454751	2803	50	0.000229931044437	5.44473713508e-09
1	86454751	88128631	2909	50	9.87612630874e-05	4.90654044555e-09
1	88128631	90066303	2381	50	0.000424185353162	5.6222490922e-09
1	90066303	91886317	2543	50	0.000231838749412	4.89652358539e-09
1	91886317	93536459	2419	50	0.000304424556437	5.79627436291e-09
1	93536459	94506191	1140	47	0.000123135673105	2.82490520851e-09
1	94506191	96150893	2647	50	8.4337790447e-05	4.59338006378e-09
1	96150893	97885249	2645	50	0.000197956116243	4.6839052274e-09
1	97885249	99800604	2746	50	0.000200513664604	4.61806449985e-09
1	99800604	100826405	1173	50	0.000139615498789	3.09619629238e-09
1	100826405	102041016	2008	50	0.000130468389961	3.52149881308e-09
1	102041016	102898745	1606	50	5.65444072729e-05	2.28502653932e-09
1	102898745	103914211	1657	46	0.000269528591744	3.83766294786e-09
1	103914211	106087842	3786	50	0.000126942201253	4.74425433839e-09
1	106087842	108409665	3684	50	0.000124334133342	5.73316253339e-09
1	108409665	110303931	2587	50	0.00022149135716	5.16520268305e-09
1	110303931	111741737	2385	50	0.000229941139249	5.23292715779e-09
1	111741737	113273306	2727	50	0.000707299986117	7.52957757708e-09
1	113273306	114873845	2210	50	0.000283240120915	4.98853433123e-09
1	114873845	115880593	1385	50	0.000158759590616	3.11425266523e-09
1	115880593	118839067	3917	50	0.000141867047814	6.87667283443e-09
1	118839067	144977494	2387	50	0.000739668337142	7.30200148844e-09
1	144977494	148361253	1879	50	0.000100672607859	4.42552152979e-09
1	148361253	151538881	1856	50	0.000365027302881	5.64989058009e-09
1	151538881	153180829	2262	50	0.000137462144896	4.32363447082e-09
1	153180829	154770403	2121	50	0.000170490341278	3.98745993688e-09
1	154770403	156336133	1197	50	0.000305562668861	3.98224997485e-09
1	156336133	158027412	2617	50	0.000250358652001	5.30416228289e-09
1	158027412	159913048	3378	50	9.71819207162e-05	5.29780746256e-09
1	159913048	162346721	3599	50	0.00027695209302	7.15985836406e-09
1	162346721	165191702	4925	50	0.000323672856041	8.08549081577e-09
1	165191702	166460517	2243	50	0.000102437350892	3.96124246651e-09
1	166460517	169086324	4616	50	0.000149017271385	7.26957893193e-09
1	169086324	170557776	2990	50	0.000243130004956	4.4268475887e-09
1	170557776	173097907	4076	50	0.00124407947647	1.12410292663e-08
1	173097907	175089768	2301	50	0.000224171780822	4.53210899829e-09
1	175089768	177433381	3388	50	0.000160607817837	5.62526447126e-09
1	177433381	178944309	1959	50	0.000198411832026	3.99124353001e-09
