chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000138106960121	8.56444361665e-09
1	1892607	3582736	3045	50	0.000218712647302	1.74533507622e-08
1	3582736	4380811	1622	50	1.01155298019e-05	7.97638144922e-09
1	4380811	5913893	3790	50	7.29003949029e-05	1.744657149e-08
1	5913893	7247335	2066	50	0.000163062582533	1.12609072785e-08
1	7247335	9365199	3371	50	8.56208138489e-05	1.75644512344e-08
1	9365199	10806984	1551	50	0.000322357217464	1.09965286343e-08
1	10806984	11777841	1319	50	6.92519248099e-05	7.66299114495e-09
1	11777841	12779466	1366	50	0.00041402855939	1.03441783617e-08
1	12779466	14891511	2579	50	3.55947017088e-05	1.29712194874e-08
1	14891511	16897730	4083	50	0.000152819607404	1.8080651728e-08
1	16897730	18662899	2903	50	3.23572653704e-05	1.42037347282e-08
1	18662899	20469149	3703	50	1.24046425362e-05	1.58128754619e-08
1	20469149	21736588	2066	50	0.000133900417911	1.01376719122e-08
1	21736588	23086883	2718	50	7.71609713982e-05	1.28927768752e-08
1	23086883	23920590	1027	50	3.84565018691e-05	5.42066656478e-09
1	23920590	25516845	2421	50	0.000269222206574	1.35013292465e-08
1	25516845	27401867	2028	50	0.000198132331029	1.06005650237e-08
1	27401867	30161881	2938	50	0.000182249190182	1.615287119e-08
1	30161881	32438685	4147	50	5.55945439455e-05	1.7344179979e-08
1	32438685	34799758	2590	50	6.92769603584e-05	1.34898335442e-08
1	34799758	37549183	2869	50	7.72351888072e-05	1.45788083907e-08
1	37549183	38731847	1902	50	5.93478172637e-05	8.38981950636e-09
1	38731847	40200567	2042	50	5.34402235581e-05	1.01993220632e-08
1	40200567	41975327	2933	50	7.47127139689e-05	1.18760887671e-08
1	41975327	43758457	2548	50	9.11471134462e-05	1.08750000373e-08
1	43758457	44969183	1455	50	8.73367281555e-05	7.42350557882e-09
1	44969183	46899501	2474	50	8.82942873175e-05	1.22565769009e-08
1	46899501	48002576	1540	50	0.000169083441317	7.86875619401e-09
1	48002576	48978188	1218	50	6.32336091524e-05	6.08089472065e-09
1	48978188	49894177	750	46	1.08629840318e-05	4.60542305721e-09
1	49894177	51713726	1240	45	5.79139159762e-05	7.94630749106e-09
1	51713726	54226262	2519	50	4.79093491691e-05	1.30499866595e-08
1	54226262	56413117	3639	50	0.000117661917917	1.65236172077e-08
1	56413117	57021728	1026	48	0.00021194534659	5.45971280478e-09
1	57021728	58865399	3295	50	4.32034231203e-05	1.31714531138e-08
1	58865399	59890409	1773	50	3.5648573853e-07	6.54210935765e-09
1	59890409	61922365	2469	50	6.2595781097e-05	1.16777492175e-08
1	61922365	63455089	2289	50	0.000118696458559	1.14387584991e-08
1	63455089	65041704	2971	50	2.18842624774e-05	1.07509885663e-08
1	65041704	66939404	2873	50	4.90620210477e-05	1.04365825768e-08
1	66939404	68477895	2885	50	8.37387567772e-05	1.05914334775e-08
1	68477895	69687616	1632	50	8.4378581489e-05	6.80622566834e-09
1	69687616	71372470	2634	50	4.78537148169e-05	9.92965662056e-09
1	71372470	71684405	514	20	3.86194797314e-05	2.45781408659e-09
1	71684405	74326907	3151	50	8.24201359901e-05	1.3389244633e-08
1	74326907	76728135	3459	50	2.70933160726e-05	1.12459502745e-08
1	76728135	79661198	4619	50	6.99356393774e-05	1.65277956853e-08
1	79661198	81354191	2772	50	5.9914029946e-05	1.14865445627e-08
1	81354191	83991748	4606	50	4.97491631601e-05	1.62030073247e-08
1	83991748	84844495	1190	50	4.62324601581e-05	5.05502212981e-09
1	84844495	86454751	2803	50	4.35880582222e-05	1.15770152785e-08
1	86454751	88128631	2909	50	0.000108618562808	1.22745852645e-08
1	88128631	90066303	2381	50	0.000192718821844	1.08157605649e-08
1	90066303	91886317	2543	50	0.000135984383714	1.08503108366e-08
1	91886317	93536459	2419	50	0.000105790075103	1.20465497176e-08
1	93536459	94506191	1140	47	0.000106605655293	6.64071614616e-09
1	94506191	96150893	2647	50	9.30246703956e-05	1.15298859796e-08
1	96150893	97885249	2645	50	0.000100866645947	1.04503119562e-08
1	97885249	99800604	2746	50	7.32367793922e-05	1.00428545994e-08
1	99800604	100826405	1173	50	1.44116808065e-05	6.44255208611e-09
1	100826405	102041016	2008	50	6.63082049558e-06	7.58135624475e-09
1	102041016	102898745	1606	50	-1.55393304931e-05	5.14185481263e-09
1	102898745	103914211	1657	46	3.98403153563e-06	6.69688873754e-09
1	103914211	106087842	3786	50	4.24689438597e-05	1.10202079335e-08
1	106087842	108409665	3684	50	6.11967023733e-05	1.3721553685e-08
1	108409665	110303931	2587	50	0.0001954625989	1.21105815032e-08
1	110303931	111741737	2385	50	0.000100300685021	1.14637269017e-08
1	111741737	113273306	2727	50	0.000195324103962	1.22947723382e-08
1	113273306	114873845	2210	50	0.000102919260195	1.02168992567e-08
1	114873845	115880593	1385	50	0.000226143397122	7.85174181371e-09
1	115880593	118839067	3917	50	8.66696183438e-05	1.6625814115e-08
1	118839067	144977494	2387	50	1.46032670766e-05	9.96330623093e-09
1	144977494	148361253	1879	50	7.52172848645e-05	1.07690632108e-08
1	148361253	151538881	1856	50	0.000167848981272	1.14108974086e-08
1	151538881	153180829	2262	50	2.78986425876e-05	9.70809625331e-09
1	153180829	154770403	2121	50	8.26255737695e-05	8.86327514671e-09
1	154770403	156336133	1197	50	8.39153181847e-05	7.23478718353e-09
1	156336133	158027412	2617	50	8.44699206997e-05	1.12801846618e-08
1	158027412	159913048	3378	50	3.38329863146e-05	1.27295753333e-08
1	159913048	162346721	3599	50	2.07585029386e-05	1.52174240101e-08
1	162346721	165191702	4925	50	0.000103007420693	1.76387485047e-08
1	165191702	166460517	2243	50	8.09466380717e-05	9.60345481846e-09
1	166460517	169086324	4616	50	1.7635364965e-05	1.70207781486e-08
1	169086324	170557776	2990	50	-4.30023202779e-07	8.48589211524e-09
1	170557776	173097907	4076	50	0.000154875304562	1.49799433486e-08
1	173097907	175089768	2301	50	3.52304103789e-05	9.25173917636e-09
1	175089768	177433381	3388	50	5.4343711608e-05	1.29558724895e-08
1	177433381	178944309	1959	50	3.93704267963e-05	8.21094718689e-09
1	178944309	178954470	12	1	1.34022304526e-05	-1.36791533851e-10
1	178954470	181144121	4095	50	3.81704872921e-05	1.49055360256e-08
1	181144121	182755356	2660	50	6.78281172902e-05	1.12756504915e-08
1	182755356	184595513	2701	50	5.91806539217e-05	1.0420429231e-08
1	184595513	186810023	2508	50	4.9839042391e-05	9.78112589194e-09
1	186810023	188759945	4484	50	4.55082568496e-06	1.21731674041e-08
1	188759945	189904130	1447	38	2.35003384125e-05	7.0350619473e-09
1	189904130	191868930	3345	50	3.99564483308e-05	1.0716535902e-08
1	191868930	194107442	3152	50	6.36324245096e-05	1.20347391203e-08
1	194107442	196176201	3903	50	9.37379414393e-05	1.19912027605e-08
1	196176201	197311514	1181	35	3.54891868427e-05	4.35970329505e-09
1	197311514	199239884	2348	50	3.90274400394e-05	1.11508722784e-08
1	199239884	200137649	1783	50	3.32810907849e-05	6.40048254981e-09
1	200137649	201589975	2773	50	0.000114666342401	1.27337815509e-08
1	201589975	203334734	2438	50	7.59307662856e-05	1.22915460491e-08
1	203334734	204681068	2198	50	0.000120103554888	1.1079201848e-08
1	204681068	206073265	2109	50	0.000130544670333	1.03825337316e-08
1	206073265	208410364	2544	50	3.16592015211e-05	1.19073710465e-08
1	208410364	210787750	3757	50	0.000124878640719	1.75102513824e-08
1	210787750	212842330	3287	50	0.000107803303701	1.42667060284e-08
1	212842330	214578266	2495	50	0.000117036831704	1.20245569368e-08
1	214578266	216243634	2660	50	3.03287672949e-05	1.08930052917e-08
1	216243634	218705513	4363	50	9.17392702788e-05	1.70799904963e-08
1	218705513	219590571	1672	50	3.47558190363e-05	6.17800453156e-09
1	219590571	221858231	3435	50	7.41711030007e-05	1.32912273522e-08
1	221858231	222230220	623	37	3.48724771608e-05	3.05687220434e-09
1	222230220	224938520	3766	50	8.00751879153e-05	1.69844948806e-08
1	224938520	226810860	2741	50	1.37474084317e-05	1.27419372526e-08
1	226810860	229156248	4024	50	0.000136123118147	1.50884413129e-08
1	229156248	230685255	2238	50	2.06782823295e-05	1.02793876581e-08
1	230685255	232090252	2475	50	0.000259234551197	1.25846594505e-08
1	232090252	233429284	2513	50	0.000122234946011	1.21635579224e-08
1	233429284	234599434	2491	50	6.12074890459e-05	1.11687286525e-08
1	234599434	235819436	1973	50	3.57638384799e-06	1.00508094228e-08
1	235819436	237555628	3319	50	7.11525883848e-05	1.6135775395e-08
1	237555628	238567807	2249	50	4.48523520941e-05	9.72931072468e-09
1	238567807	239925314	2468	50	7.282547893e-05	1.0722557551e-08
1	239925314	240564091	1578	50	3.25303136127e-05	7.10304084339e-09
1	240564091	241582220	1948	50	6.02711320675e-05	1.08057508129e-08
1	241582220	242071602	943	50	4.59867113913e-05	4.77055133806e-09
1	242071602	244109499	3322	50	8.63849993517e-05	1.57139710993e-08
1	244109499	245506746	2507	50	1.59779178768e-05	1.26660354107e-08
1	245506746	247344518	4109	50	5.12552892492e-05	1.72969623698e-08
1	247344518	249239466	3204	50	5.23770882032e-05	1.44122941572e-08
2	10133	1781022	3987	50	9.37482471922e-05	1.6930291504e-08
2	1781022	3973779	4493	50	6.29901442921e-05	1.7400201035e-08
2	3973779	5708337	3054	50	4.05612327957e-05	1.3279981386e-08
2	5708337	6836254	2420	50	0.000139037828136	1.08093101791e-08
2	6836254	8422147	2557	50	8.78568499627e-05	1.20608285108e-08
2	8422147	10298469	3371	50	6.45183349915e-05	1.62288328823e-08
2	10298469	12419150	4691	50	5.50672798301e-05	1.73258376264e-08
2	12419150	14335308	3466	50	5.37030071615e-05	1.44151713645e-08
2	14335308	16329735	3367	50	2.24520995067e-06	1.46767044794e-08
2	16329735	18647423	3804	50	5.94406019326e-05	1.59325346708e-08
2	18647423	19692404	1571	50	6.19507255737e-05	6.87113545839e-09
2	19692404	21050490	2742	50	0.000150535816132	1.30046470678e-08
2	21050490	23341383	2482	50	0.000276983065642	1.50522235197e-08
2	23341383	24686918	2095	50	0.000114000186076	1.08908353165e-08
2	24686918	26894985	2665	50	0.000170677257095	1.40203730647e-08
2	26894985	28598777	1314	50	0.000644773020533	1.24798268029e-08
2	28598777	29217559	1059	50	0.000159220154944	6.26515716116e-09
2	29217559	30463711	2306	50	4.47798745273e-05	1.20705906504e-08
2	30463711	31550450	2324	50	3.31716764461e-05	1.13772937599e-08
2	31550450	33363777	2345	50	5.13741712305e-05	1.47264594505e-08
2	33363777	35345028	4248	50	5.76175781251e-05	1.73523299922e-08
2	35345028	36122006	2035	50	5.35306970715e-05	8.09769857967e-09
2	36122006	38132712	3874	50	0.000202688573098	1.8451225847e-08
2	38132712	39031337	1516	50	5.00554292468e-05	9.52690782873e-09
2	39031337	40281483	1376	50	2.42179190588e-05	8.41610199438e-09
2	40281483	43309590	5973	50	0.000238797424959	1.8739106932e-08
2	43309590	44313803	1758	50	0.000372707882713	1.23009783188e-08
2	44313803	46482634	4137	50	9.19014140174e-05	1.75976753473e-08
2	46482634	47318772	1661	50	3.15878415164e-05	9.31663568703e-09
2	47318772	48213001	1563	50	3.5338688708e-05	9.48701783499e-09
2	48213001	50022257	3445	50	6.90725492245e-05	1.74175763886e-08
2	50022257	50818928	1672	50	5.88114986067e-05	8.37868382043e-09
2	50818928	52491133	2917	50	6.93011712437e-05	1.56777740771e-08
2	52491133	53508452	2382	50	5.88757709325e-05	1.18420435152e-08
2	53508452	54685226	2128	50	6.466138823e-05	1.16790926141e-08
2	54685226	56203345	2673	50	0.000151137119831	1.41584120926e-08
2	56203345	57429100	2027	50	7.49301905501e-05	1.08878760328e-08
2	57429100	58297315	1799	50	2.6632059953e-05	7.85963665887e-09
2	58297315	60292000	2693	50	0.000146496733828	1.67561976563e-08
2	60292000	62429044	2565	50	8.10881272413e-05	1.46579886827e-08
2	62429044	64625913	2554	50	0.000146609407585	1.57186324952e-08
2	64625913	65933444	2043	50	0.000161264223066	1.0756403182e-08
2	65933444	67226166	1906	50	7.9350750023e-05	9.80461526152e-09
2	67226166	68010176	1667	50	5.19645342882e-05	8.07171605899e-09
