chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000411128408596	6.97543141396e-09
1	1892607	3582736	3045	50	0.000268370636898	1.11810029674e-08
1	3582736	4380811	1622	50	0.000106562618791	5.4147616535e-09
1	4380811	5913893	3790	50	0.000151722046592	1.11602308196e-08
1	5913893	7247335	2066	50	0.000193411972441	7.22375603092e-09
1	7247335	9365199	3371	50	0.000263708374902	1.18351910683e-08
1	9365199	10806984	1551	50	0.000188766250321	6.3043978811e-09
1	10806984	11777841	1319	50	0.000170264440801	5.32689598456e-09
1	11777841	12779466	1366	50	0.000152484852731	5.27426429324e-09
1	12779466	14891511	2579	50	9.49609083208e-05	8.27142854415e-09
1	14891511	16897730	4083	50	0.000166109383635	1.12627420434e-08
1	16897730	18662899	2903	50	0.00016980738666	9.47846199166e-09
1	18662899	20469149	3703	50	0.00020477530141	1.07573891154e-08
1	20469149	21736588	2066	50	0.000119604181926	6.2394965327e-09
1	21736588	23086883	2718	50	0.000161538283344	8.4248197103e-09
1	23086883	23920590	1027	50	0.000262112451433	4.64095798697e-09
1	23920590	25516845	2421	50	0.000123012818397	7.68537710942e-09
1	25516845	27401867	2028	50	0.000140828150707	6.35134698962e-09
1	27401867	30161881	2938	50	0.000172439195207	9.99067957102e-09
1	30161881	32438685	4147	50	0.000266693769348	1.18572081697e-08
1	32438685	34799758	2590	50	0.000386097128123	1.01487165319e-08
1	34799758	37549183	2869	50	0.000164282696204	9.46764316232e-09
1	37549183	38731847	1902	50	0.000217848193842	6.09476130473e-09
1	38731847	40200567	2042	50	0.000340735037272	7.94762491297e-09
1	40200567	41975327	2933	50	0.000190595993642	7.98794920759e-09
1	41975327	43758457	2548	50	0.000182940897058	7.25748947191e-09
1	43758457	44969183	1455	50	0.000125955886439	4.83785506188e-09
1	44969183	46899501	2474	50	0.000187556642062	8.13937409401e-09
1	46899501	48002576	1540	50	0.000279470943243	5.6358308462e-09
1	48002576	48978188	1218	50	8.744178706e-05	3.90466508042e-09
1	48978188	49894177	750	46	0.000242499501053	4.15542653083e-09
1	49894177	51713726	1240	45	0.000303485083886	6.33427968695e-09
1	51713726	54226262	2519	50	0.000147667994595	8.57342989329e-09
1	54226262	56413117	3639	50	0.000130854912355	1.02684795432e-08
1	56413117	57021728	1026	48	0.000140537674991	3.15736535072e-09
1	57021728	58865399	3295	50	0.000228034179487	9.14286117563e-09
1	58865399	59890409	1773	50	0.000165882245529	4.93425551282e-09
1	59890409	61922365	2469	50	0.000205240641066	8.00908522148e-09
1	61922365	63455089	2289	50	0.000325425005048	8.31306816959e-09
1	63455089	65041704	2971	50	0.000100624816827	7.01569737757e-09
1	65041704	66939404	2873	50	0.000303982531651	7.89615502186e-09
1	66939404	68477895	2885	50	0.000176725283723	7.0822180287e-09
1	68477895	69687616	1632	50	0.00016968461599	4.73225942042e-09
1	69687616	71372470	2634	50	0.000211677412418	7.04957413738e-09
1	71372470	71684405	514	20	7.23647462859e-05	1.72293088303e-09
1	71684405	74326907	3151	50	0.000548492645786	1.09841140259e-08
1	74326907	76728135	3459	50	0.000289726289477	8.40676902903e-09
1	76728135	79661198	4619	50	0.000561135087751	1.30325869464e-08
1	79661198	81354191	2772	50	0.000250854095319	8.17352026628e-09
1	81354191	83991748	4606	50	0.000173585273829	1.0638656816e-08
1	83991748	84844495	1190	50	0.000105943408439	3.46640154898e-09
1	84844495	86454751	2803	50	0.000192120633075	7.95786089747e-09
1	86454751	88128631	2909	50	0.000162598043018	7.90986295414e-09
1	88128631	90066303	2381	50	0.000194288663074	6.8216643601e-09
1	90066303	91886317	2543	50	0.000207669557279	7.18197539047e-09
1	91886317	93536459	2419	50	0.000154274195141	7.73496520472e-09
1	93536459	94506191	1140	47	0.0001477667921	4.40093905713e-09
1	94506191	96150893	2647	50	0.000254429858228	8.06869855619e-09
1	96150893	97885249	2645	50	0.000586355434771	9.32776043236e-09
1	97885249	99800604	2746	50	0.000274473536643	7.37135678121e-09
1	99800604	100826405	1173	50	9.23558951869e-05	4.37742422915e-09
1	100826405	102041016	2008	50	0.000105830465233	5.1858409873e-09
1	102041016	102898745	1606	50	6.93305483114e-05	3.58735638199e-09
1	102898745	103914211	1657	46	6.11671037438e-05	4.39695646254e-09
1	103914211	106087842	3786	50	0.000124255661518	7.22418517468e-09
1	106087842	108409665	3684	50	0.000394660271397	1.0377797766e-08
1	108409665	110303931	2587	50	0.00038707788547	8.73246227254e-09
1	110303931	111741737	2385	50	0.00031556971653	8.35488412435e-09
1	111741737	113273306	2727	50	0.000237896336132	7.96701041361e-09
1	113273306	114873845	2210	50	7.45263282336e-05	6.16475399094e-09
1	114873845	115880593	1385	50	0.000118670922516	4.41982294525e-09
1	115880593	118839067	3917	50	0.000213765418132	1.09632911697e-08
1	118839067	144977494	2387	50	0.000267774907023	7.55299366412e-09
1	144977494	148361253	1879	50	0.000126958237991	6.93666371389e-09
1	148361253	151538881	1856	50	0.00028322976967	7.82172777987e-09
1	151538881	153180829	2262	50	6.69927105469e-05	6.15505804203e-09
1	153180829	154770403	2121	50	9.12309890705e-05	5.53206539601e-09
1	154770403	156336133	1197	50	0.000476136976771	6.79508544842e-09
1	156336133	158027412	2617	50	0.000216300348592	7.73139056424e-09
1	158027412	159913048	3378	50	0.000124705676358	8.30769003029e-09
1	159913048	162346721	3599	50	0.000164715575894	1.0119480502e-08
1	162346721	165191702	4925	50	0.000129085214385	1.10046001745e-08
1	165191702	166460517	2243	50	8.96925283554e-05	5.98136263329e-09
1	166460517	169086324	4616	50	0.000191018270798	1.13881012493e-08
1	169086324	170557776	2990	50	8.72557704872e-05	5.65998659038e-09
1	170557776	173097907	4076	50	0.00030000549271	1.01550337955e-08
1	173097907	175089768	2301	50	0.000296669304296	7.19431825822e-09
1	175089768	177433381	3388	50	0.00022759979912	8.95762551971e-09
1	177433381	178944309	1959	50	0.000838206898839	9.72353082188e-09
1	178944309	178954470	12	1	3.61031223621e-05	4.62060698181e-11
1	178954470	181144121	4095	50	0.000118690859164	9.57757961001e-09
1	181144121	182755356	2660	50	9.23403626501e-05	7.07530272326e-09
1	182755356	184595513	2701	50	8.00531213868e-05	6.52198459564e-09
1	184595513	186810023	2508	50	0.000185877837	6.79817007999e-09
1	186810023	188759945	4484	50	0.000225240750773	8.69591647866e-09
1	188759945	189904130	1447	38	6.60719093135e-05	4.54222453839e-09
1	189904130	191868930	3345	50	0.000251739833046	7.80120358262e-09
1	191868930	194107442	3152	50	0.000176928098221	8.0550540117e-09
1	194107442	196176201	3903	50	0.000256024064836	8.35593097196e-09
1	196176201	197311514	1181	35	0.000114042260462	3.13962707853e-09
1	197311514	199239884	2348	50	0.000180863011664	7.65289380856e-09
1	199239884	200137649	1783	50	8.82011304388e-05	4.24093695817e-09
1	200137649	201589975	2773	50	0.000142451221297	8.04300898287e-09
1	201589975	203334734	2438	50	0.000525061414412	1.02058477526e-08
1	203334734	204681068	2198	50	0.000181112599107	7.23805939391e-09
1	204681068	206073265	2109	50	0.00013901263475	6.51814332045e-09
1	206073265	208410364	2544	50	0.000174860528868	8.11235028584e-09
1	208410364	210787750	3757	50	0.000386624017247	1.23472450818e-08
1	210787750	212842330	3287	50	0.000139761297256	8.99217929686e-09
1	212842330	214578266	2495	50	0.000115733393484	7.44290331593e-09
1	214578266	216243634	2660	50	9.64550154613e-05	7.03883336555e-09
