chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000316382327103	8.54426021813e-09
1	1892607	3582736	3045	50	0.000518221293363	1.70200008745e-08
1	3582736	4380811	1622	50	3.39689221859e-05	6.90127738815e-09
1	4380811	5913893	3790	50	7.7594749972e-05	1.48754719076e-08
1	5913893	7247335	2066	50	0.000106921671701	9.22544154162e-09
1	7247335	9365199	3371	50	0.000327597226096	1.66427676364e-08
1	9365199	10806984	1551	50	0.000379939757937	9.87660414758e-09
1	10806984	11777841	1319	50	0.000145909209776	7.03276241886e-09
1	11777841	12779466	1366	50	0.00115187259518	1.40971985408e-08
1	12779466	14891511	2579	50	9.71199372572e-05	1.1435478667e-08
1	14891511	16897730	4083	50	0.000292033698588	1.64001040062e-08
1	16897730	18662899	2903	50	7.85251495403e-05	1.23777443925e-08
1	18662899	20469149	3703	50	5.52124828781e-05	1.37161502692e-08
1	20469149	21736588	2066	50	0.000161976190838	8.8388056656e-09
1	21736588	23086883	2718	50	0.00013697625471	1.13787842023e-08
1	23086883	23920590	1027	50	3.70162476467e-05	4.56313935561e-09
1	23920590	25516845	2421	50	0.000507617844763	1.32446899062e-08
1	25516845	27401867	2028	50	0.000268829143258	9.56424295088e-09
1	27401867	30161881	2938	50	0.000242353723891	1.42175130914e-08
1	30161881	32438685	4147	50	0.000132282933444	1.52825343156e-08
1	32438685	34799758	2590	50	7.98144552396e-05	1.15399676172e-08
1	34799758	37549183	2869	50	5.4238540548e-05	1.22386546707e-08
1	37549183	38731847	1902	50	0.00015814655342	7.80105732316e-09
1	38731847	40200567	2042	50	0.000275002621	1.01955866515e-08
1	40200567	41975327	2933	50	0.000193945259676	1.09245766931e-08
1	41975327	43758457	2548	50	0.000265338993014	1.04621461162e-08
1	43758457	44969183	1455	50	0.000281321765813	7.65346708685e-09
1	44969183	46899501	2474	50	0.000229706164402	1.14109543626e-08
1	46899501	48002576	1540	50	0.0001992204669	6.93802186677e-09
1	48002576	48978188	1218	50	0.000192909491081	6.04915397064e-09
1	48978188	49894177	750	46	8.57967619791e-05	4.38381544934e-09
1	49894177	51713726	1240	45	0.000228030719485	7.91795527508e-09
1	51713726	54226262	2519	50	0.000125806848755	1.16234244423e-08
1	54226262	56413117	3639	50	0.000149808620901	1.43040378181e-08
1	56413117	57021728	1026	48	0.000119355090364	4.05696240752e-09
1	57021728	58865399	3295	50	5.44254690847e-05	1.1259351128e-08
1	58865399	59890409	1773	50	0.000219426574685	7.03008014046e-09
1	59890409	61922365	2469	50	0.000227227636425	1.10653556323e-08
1	61922365	63455089	2289	50	3.42207977384e-05	9.15583566504e-09
1	63455089	65041704	2971	50	7.7925793628e-05	9.49669171113e-09
1	65041704	66939404	2873	50	0.000101832582362	9.22032788743e-09
1	66939404	68477895	2885	50	0.000200910569363	9.81926036188e-09
1	68477895	69687616	1632	50	0.000104943465834	5.92091372924e-09
1	69687616	71372470	2634	50	5.71420906671e-05	8.48480863989e-09
1	71372470	71684405	514	20	4.4232027658e-05	2.0885445633e-09
1	71684405	74326907	3151	50	0.000109712701787	1.15781089073e-08
1	74326907	76728135	3459	50	0.000111637201417	1.01201018784e-08
1	76728135	79661198	4619	50	0.000299682404413	1.56636503228e-08
1	79661198	81354191	2772	50	7.45977210022e-05	9.8559290248e-09
1	81354191	83991748	4606	50	0.000164903626338	1.45746051259e-08
1	83991748	84844495	1190	50	9.55856555469e-05	4.60826619035e-09
1	84844495	86454751	2803	50	3.85306345628e-05	9.78675538288e-09
1	86454751	88128631	2909	50	8.40758214217e-05	1.02803419264e-08
1	88128631	90066303	2381	50	0.0002905964482	9.93405021689e-09
1	90066303	91886317	2543	50	8.46422582075e-05	8.89446085385e-09
1	91886317	93536459	2419	50	0.000146564560142	1.05396682264e-08
1	93536459	94506191	1140	47	0.000114165365649	5.70143739264e-09
1	94506191	96150893	2647	50	0.000188965739071	1.04766978063e-08
