chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	3.19386963317e-05	6.75640925946e-09
1	1892607	3582736	3045	50	4.29106920151e-05	1.40419610739e-08
1	3582736	4380811	1622	50	5.17617819684e-05	7.22319218843e-09
1	4380811	5913893	3790	50	7.85893024556e-05	1.52497713805e-08
1	5913893	7247335	2066	50	3.73005193622e-05	8.97782278933e-09
1	7247335	9365199	3371	50	6.96295848268e-05	1.52051767754e-08
1	9365199	10806984	1551	50	0.000108560225896	8.20381925603e-09
1	10806984	11777841	1319	50	5.81567730422e-05	6.60720465309e-09
1	11777841	12779466	1366	50	3.7979203258e-05	6.53950317462e-09
1	12779466	14891511	2579	50	3.98945801279e-05	1.13235060594e-08
1	14891511	16897730	4083	50	0.000102608005229	1.54445946676e-08
1	16897730	18662899	2903	50	4.38051764203e-05	1.24461394974e-08
1	18662899	20469149	3703	50	4.69430239036e-05	1.40017997696e-08
1	20469149	21736588	2066	50	3.93772015345e-05	8.20599316756e-09
1	21736588	23086883	2718	50	5.74535608026e-05	1.11054499123e-08
1	23086883	23920590	1027	50	4.57124666439e-05	4.76864081407e-09
1	23920590	25516845	2421	50	0.000171623095015	1.11769948664e-08
1	25516845	27401867	2028	50	0.000117932608008	8.74011693567e-09
1	27401867	30161881	2938	50	7.45275096312e-05	1.33732845072e-08
1	30161881	32438685	4147	50	3.51102889377e-05	1.49673660557e-08
1	32438685	34799758	2590	50	7.87164806188e-05	1.18273709088e-08
1	34799758	37549183	2869	50	9.50041667147e-05	1.28386021796e-08
1	37549183	38731847	1902	50	5.75206854919e-05	7.30076021146e-09
1	38731847	40200567	2042	50	7.47573586963e-05	9.03703472779e-09
1	40200567	41975327	2933	50	5.29596776546e-05	1.02043208654e-08
1	41975327	43758457	2548	50	8.22251511585e-05	9.43043759858e-09
1	43758457	44969183	1455	50	8.67790461828e-05	6.48113420119e-09
1	44969183	46899501	2474	50	1.0756512105e-05	1.0149022721e-08
1	46899501	48002576	1540	50	2.61653542461e-05	5.90723532903e-09
1	48002576	48978188	1218	50	1.49695078202e-05	4.96553591645e-09
1	48978188	49894177	750	46	2.09723148997e-05	4.06568568677e-09
1	49894177	51713726	1240	45	9.73873906819e-05	7.20406995495e-09
1	51713726	54226262	2519	50	3.09786884052e-05	1.12482016637e-08
1	54226262	56413117	3639	50	5.08011126151e-06	1.36311716701e-08
1	56413117	57021728	1026	48	5.24744035514e-05	3.71463824822e-09
1	57021728	58865399	3295	50	6.68137744959e-05	1.16376953319e-08
1	58865399	59890409	1773	50	3.63395297253e-05	5.9293526641e-09
1	59890409	61922365	2469	50	5.65766896586e-05	1.01367121251e-08
1	61922365	63455089	2289	50	1.09562126644e-05	9.23855836493e-09
1	63455089	65041704	2971	50	9.56511559648e-05	9.87219512024e-09
1	65041704	66939404	2873	50	0.000638899595368	1.32440167619e-08
1	66939404	68477895	2885	50	0.000360135974573	1.11884513824e-08
1	68477895	69687616	1632	50	5.57476459795e-05	5.74494905296e-09
1	69687616	71372470	2634	50	4.9877751546e-05	8.66371724623e-09
1	71372470	71684405	514	20	2.11149107832e-05	2.01476994597e-09
1	71684405	74326907	3151	50	8.48025092802e-05	1.16961457967e-08
1	74326907	76728135	3459	50	1.39665120372e-06	9.60529337373e-09
1	76728135	79661198	4619	50	6.2217868605e-05	1.43531643421e-08
