chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	7.90517988271e-05	9.83520746122e-09
1	1892607	3582736	3045	50	7.86739339974e-05	1.99134897687e-08
1	3582736	4380811	1622	50	-2.24865574444e-06	9.61726025635e-09
1	4380811	5913893	3790	50	1.60914749105e-05	2.07265301225e-08
1	5913893	7247335	2066	50	3.97705506238e-05	1.25625826013e-08
1	7247335	9365199	3371	50	7.75543166484e-05	2.12665899273e-08
1	9365199	10806984	1551	50	7.52067748808e-05	1.10740212716e-08
1	10806984	11777841	1319	50	3.88462760556e-05	9.03468089893e-09
1	11777841	12779466	1366	50	8.980878276e-05	9.56182042572e-09
1	12779466	14891511	2579	50	8.0535585312e-06	1.55526838e-08
1	14891511	16897730	4083	50	6.23635818444e-05	2.11483299544e-08
1	16897730	18662899	2903	50	4.05230339968e-05	1.73546209777e-08
1	18662899	20469149	3703	50	3.61031854038e-05	1.94618464497e-08
1	20469149	21736588	2066	50	5.30706311956e-06	1.11760399119e-08
1	21736588	23086883	2718	50	7.11242866676e-05	1.56005392247e-08
1	23086883	23920590	1027	50	1.35882444874e-05	6.37609746191e-09
1	23920590	25516845	2421	50	0.000131419924596	1.50780413956e-08
1	25516845	27401867	2028	50	2.23822652471e-05	1.12921489376e-08
1	27401867	30161881	2938	50	7.25468234115e-05	1.86150515927e-08
1	30161881	32438685	4147	50	3.13484423474e-06	2.06531576519e-08
1	32438685	34799758	2590	50	-9.78645908578e-06	1.57255536169e-08
1	34799758	37549183	2869	50	-4.9289917978e-06	1.70188435206e-08
1	37549183	38731847	1902	50	0.000115662375188	1.06494482087e-08
1	38731847	40200567	2042	50	2.95864375591e-05	1.21919212668e-08
1	40200567	41975327	2933	50	-1.45227234603e-05	1.36710972615e-08
1	41975327	43758457	2548	50	9.28568943037e-06	1.24994120786e-08
1	43758457	44969183	1455	50	4.27885897563e-05	8.60995137226e-09
1	44969183	46899501	2474	50	1.31199907566e-05	1.42398777579e-08
1	46899501	48002576	1540	50	2.06410254359e-06	8.06454230387e-09
1	48002576	48978188	1218	50	2.02601996203e-05	7.00862485197e-09
1	48978188	49894177	750	46	8.72610160605e-05	6.24703581106e-09
1	49894177	51713726	1240	45	3.48547262284e-05	9.45056056442e-09
1	51713726	54226262	2519	50	1.58031561142e-05	1.55999208544e-08
1	54226262	56413117	3639	50	9.0066114591e-06	1.91307908899e-08
1	56413117	57021728	1026	48	1.63228742083e-05	4.85853472772e-09
1	57021728	58865399	3295	50	-1.67047511817e-05	1.55200691679e-08
1	58865399	59890409	1773	50	3.44307747671e-05	8.26440418541e-09
1	59890409	61922365	2469	50	6.3926919569e-05	1.41945256901e-08
1	61922365	63455089	2289	50	-1.57894092879e-05	1.27239500986e-08
1	63455089	65041704	2971	50	6.81081113099e-06	1.29641706353e-08
1	65041704	66939404	2873	50	7.80399115306e-05	1.29245054532e-08
1	66939404	68477895	2885	50	9.83237354904e-05	1.29633732308e-08
1	68477895	69687616	1632	50	3.71271487973e-05	7.83828655042e-09
1	69687616	71372470	2634	50	5.54938407415e-05	1.21304017597e-08
1	71372470	71684405	514	20	1.03145398609e-05	2.73879832616e-09
1	71684405	74326907	3151	50	4.63447703297e-05	1.59502259766e-08
1	74326907	76728135	3459	50	6.68588010004e-06	1.35181233638e-08
1	76728135	79661198	4619	50	3.87751069575e-05	1.98245178478e-08
1	79661198	81354191	2772	50	3.37618895006e-05	1.37349959226e-08
1	81354191	83991748	4606	50	4.76261854973e-06	1.93308934554e-08
1	83991748	84844495	1190	50	-1.21917267344e-05	5.64563301556e-09
1	84844495	86454751	2803	50	5.14138088385e-05	1.41423457406e-08
1	86454751	88128631	2909	50	-1.84308089913e-06	1.39502892567e-08
1	88128631	90066303	2381	50	-1.12186541768e-05	1.13241344207e-08
1	90066303	91886317	2543	50	-2.58797343159e-05	1.1764872483e-08
1	91886317	93536459	2419	50	3.64741716548e-05	1.40178802237e-08
1	93536459	94506191	1140	47	-3.80700272469e-05	6.8086737152e-09
1	94506191	96150893	2647	50	1.97717921514e-06	1.32187124434e-08
1	96150893	97885249	2645	50	4.46192534029e-06	1.18528865165e-08
1	97885249	99800604	2746	50	-6.95030387667e-06	1.1515470066e-08
1	99800604	100826405	1173	50	3.05147741566e-05	7.98172122389e-09
1	100826405	102041016	2008	50	6.68164222896e-05	9.74214435833e-09
1	102041016	102898745	1606	50	1.99213698408e-05	6.58368358174e-09
1	102898745	103914211	1657	46	1.17187136849e-05	8.23102006673e-09
1	103914211	106087842	3786	50	7.73936460997e-06	1.3110623175e-08
1	106087842	108409665	3684	50	0.000203291937437	1.7859481584e-08
1	108409665	110303931	2587	50	8.92271566969e-05	1.37112283396e-08
