chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	6.975838876e-06	8.77652310994e-09
1	1892607	3582736	3045	50	9.69101976573e-05	1.90891137018e-08
1	3582736	4380811	1622	50	2.7556392833e-05	9.3785545195e-09
1	4380811	5913893	3790	50	2.2295363477e-05	1.97512242645e-08
1	5913893	7247335	2066	50	7.79110433658e-06	1.16856064859e-08
1	7247335	9365199	3371	50	0.000255084684057	2.16736113395e-08
1	9365199	10806984	1551	50	0.000147994323714	1.11276556541e-08
1	10806984	11777841	1319	50	1.80271578409e-05	8.42284985857e-09
1	11777841	12779466	1366	50	0.000175168160882	9.79456216509e-09
1	12779466	14891511	2579	50	-1.93652568773e-05	1.45580607203e-08
1	14891511	16897730	4083	50	3.91026498224e-05	1.99214438305e-08
1	16897730	18662899	2903	50	1.0969860501e-05	1.62599787089e-08
1	18662899	20469149	3703	50	2.85634850699e-05	1.84411659303e-08
1	20469149	21736588	2066	50	1.85517533592e-06	1.05921854052e-08
1	21736588	23086883	2718	50	0.000108929473537	1.51465754621e-08
1	23086883	23920590	1027	50	2.9853891514e-05	6.19092146935e-09
1	23920590	25516845	2421	50	0.000214267216708	1.50279204549e-08
1	25516845	27401867	2028	50	0.000156386851545	1.18210560624e-08
1	27401867	30161881	2938	50	3.69238747805e-05	1.74150899306e-08
1	30161881	32438685	4147	50	1.49974853793e-05	1.97249612925e-08
1	32438685	34799758	2590	50	7.38323059232e-05	1.56215883257e-08
1	34799758	37549183	2869	50	2.7922648525e-05	1.64392897682e-08
1	37549183	38731847	1902	50	7.22412837202e-05	9.79005986118e-09
1	38731847	40200567	2042	50	6.0724751282e-05	1.18434650402e-08
1	40200567	41975327	2933	50	2.34417432192e-05	1.32962164357e-08
1	41975327	43758457	2548	50	4.00952740028e-05	1.21290184333e-08
1	43758457	44969183	1455	50	2.42889144895e-05	8.03875013829e-09
1	44969183	46899501	2474	50	6.70834876415e-05	1.39725288338e-08
1	46899501	48002576	1540	50	9.73734653726e-06	7.72405300081e-09
1	48002576	48978188	1218	50	1.10991413597e-05	6.58774416468e-09
1	48978188	49894177	750	46	-2.81790040826e-06	5.22289933462e-09
1	49894177	51713726	1240	45	2.70670361998e-05	8.92292147564e-09
1	51713726	54226262	2519	50	2.58529113439e-05	1.4909155125e-08
1	54226262	56413117	3639	50	4.63201648962e-05	1.84862677952e-08
1	56413117	57021728	1026	48	3.07081502892e-05	4.73366023491e-09
1	57021728	58865399	3295	50	2.7732868251e-05	1.51062377257e-08
1	58865399	59890409	1773	50	-9.19863859001e-06	7.50508973604e-09
1	59890409	61922365	2469	50	2.6512630356e-05	1.31974381525e-08
