chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000151361848855	7.63356113908e-09
1	1892607	3582736	3045	50	0.000820995083646	1.98617593526e-08
1	3582736	4380811	1622	50	8.61468709783e-05	7.505564384e-09
1	4380811	5913893	3790	50	0.000100361784611	1.56784106538e-08
1	5913893	7247335	2066	50	0.000275807763451	1.07700071904e-08
1	7247335	9365199	3371	50	0.000286678309129	1.70351968805e-08
1	9365199	10806984	1551	50	0.000501711233148	1.10675794104e-08
1	10806984	11777841	1319	50	0.000161626105411	7.36359736906e-09
1	11777841	12779466	1366	50	6.71454128536e-05	6.7665949615e-09
1	12779466	14891511	2579	50	0.000155718660305	1.23098506504e-08
1	14891511	16897730	4083	50	0.000291556141683	1.70766643999e-08
1	16897730	18662899	2903	50	0.000755150747054	1.77316859601e-08
1	18662899	20469149	3703	50	0.000330532179667	1.62731486956e-08
1	20469149	21736588	2066	50	6.39021183848e-05	8.44755850065e-09
1	21736588	23086883	2718	50	0.000335286803687	1.32421253876e-08
1	23086883	23920590	1027	50	0.000124758262653	5.30004888084e-09
1	23920590	25516845	2421	50	0.000277478089352	1.20730671483e-08
1	25516845	27401867	2028	50	0.000110639047588	8.761963428e-09
1	27401867	30161881	2938	50	0.000118308846596	1.39024287903e-08
1	30161881	32438685	4147	50	0.000184850577857	1.63106868208e-08
1	32438685	34799758	2590	50	5.39796695637e-05	1.18187903174e-08
1	34799758	37549183	2869	50	0.000227528696912	1.39848222962e-08
1	37549183	38731847	1902	50	0.000304333256849	9.09926940804e-09
1	38731847	40200567	2042	50	0.000341451894872	1.10280232796e-08
1	40200567	41975327	2933	50	0.000269396220079	1.18745434676e-08
1	41975327	43758457	2548	50	0.000211393787905	1.04504597314e-08
1	43758457	44969183	1455	50	0.000111052922468	6.66678775294e-09
1	44969183	46899501	2474	50	0.000440030451561	1.33440019742e-08
1	46899501	48002576	1540	50	0.000358342548744	8.27573368832e-09
1	48002576	48978188	1218	50	0.000229777918992	6.47180647602e-09
1	48978188	49894177	750	46	0.000170973992978	5.08444413785e-09
1	49894177	51713726	1240	45	0.000316859416368	8.80037883159e-09
1	51713726	54226262	2519	50	0.00015449911735	1.22883124497e-08
1	54226262	56413117	3639	50	0.000152543502338	1.49194196848e-08
1	56413117	57021728	1026	48	0.000210829044181	4.77957146826e-09
1	57021728	58865399	3295	50	0.000116219929117	1.21553247139e-08
1	58865399	59890409	1773	50	0.000146762847581	6.71805297065e-09
1	59890409	61922365	2469	50	0.000425636265281	1.28952874481e-08
1	61922365	63455089	2289	50	9.68532844297e-05	9.95149272716e-09
1	63455089	65041704	2971	50	9.29623735914e-05	9.9619941216e-09
1	65041704	66939404	2873	50	0.000152642892938	9.92240225035e-09
1	66939404	68477895	2885	50	0.000182614427904	1.00407175947e-08
1	68477895	69687616	1632	50	5.24652506794e-05	5.71677565335e-09
1	69687616	71372470	2634	50	7.02007949225e-05	8.88745159174e-09
1	71372470	71684405	514	20	4.25711498491e-05	2.06353078845e-09
1	71684405	74326907	3151	50	0.000162705640805	1.24175051108e-08
1	74326907	76728135	3459	50	0.000121456677575	1.05742790847e-08
