chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000129802496287	4.16584419611e-09
1	1892607	3582736	3045	50	0.000500156415346	9.97485361302e-09
1	3582736	4380811	1622	50	5.10027717827e-05	3.93573840028e-09
1	4380811	5913893	3790	50	4.08909874011e-05	8.10765164427e-09
1	5913893	7247335	2066	50	9.2825126834e-05	5.15251457067e-09
1	7247335	9365199	3371	50	0.000126002457963	8.55956423303e-09
1	9365199	10806984	1551	50	8.90345423037e-05	4.44534843419e-09
1	10806984	11777841	1319	50	6.84478773345e-05	3.66949837949e-09
1	11777841	12779466	1366	50	0.000378997088972	5.31154494238e-09
1	12779466	14891511	2579	50	1.09591456201e-05	5.98368735171e-09
1	14891511	16897730	4083	50	0.000107691565877	8.46788493066e-09
1	16897730	18662899	2903	50	7.75205485857e-05	6.91869908558e-09
1	18662899	20469149	3703	50	6.12301298557e-05	7.66103771697e-09
1	20469149	21736588	2066	50	0.000358360557944	6.10000629365e-09
1	21736588	23086883	2718	50	5.71898407597e-05	6.03873664946e-09
1	23086883	23920590	1027	50	0.000618294513127	5.55837040843e-09
1	23920590	25516845	2421	50	0.000237147924187	6.57457923863e-09
1	25516845	27401867	2028	50	0.000637452237529	7.53152641716e-09
1	27401867	30161881	2938	50	0.000257729391769	8.23581033993e-09
1	30161881	32438685	4147	50	0.000120047069827	8.53202143131e-09
1	32438685	34799758	2590	50	6.35334406307e-05	6.37989713677e-09
1	34799758	37549183	2869	50	5.5233569831e-05	6.82001148254e-09
1	37549183	38731847	1902	50	0.000326530098632	5.37780624869e-09
1	38731847	40200567	2042	50	0.000612181319522	7.72601198478e-09
1	40200567	41975327	2933	50	0.000285971647906	6.75341289433e-09
1	41975327	43758457	2548	50	9.61930516067e-05	5.24343073998e-09
1	43758457	44969183	1455	50	0.000293507731798	4.65388298352e-09
1	44969183	46899501	2474	50	0.000365168674356	7.2938361635e-09
1	46899501	48002576	1540	50	0.000837792276998	7.38073447198e-09
1	48002576	48978188	1218	50	0.000101839818129	3.12010298576e-09
1	48978188	49894177	750	46	9.59399030566e-05	2.58175392256e-09
1	49894177	51713726	1240	45	0.00019192184887	4.47971059587e-09
1	51713726	54226262	2519	50	0.00011723162259	6.52715466505e-09
1	54226262	56413117	3639	50	0.000176841490726	8.22030391963e-09
1	56413117	57021728	1026	48	9.76847751563e-05	2.28232975613e-09
1	57021728	58865399	3295	50	4.15934820463e-05	6.20931049538e-09
1	58865399	59890409	1773	50	7.10196932736e-05	3.39998251396e-09
1	59890409	61922365	2469	50	0.000191173037476	6.21284714848e-09
1	61922365	63455089	2289	50	0.000261000260001	6.26258791333e-09
1	63455089	65041704	2971	50	0.00012758998403	5.59293647682e-09
1	65041704	66939404	2873	50	0.000637521718917	7.9843820052e-09
1	66939404	68477895	2885	50	0.000423591907831	6.82849632497e-09
1	68477895	69687616	1632	50	0.000112944804653	3.44323674348e-09
1	69687616	71372470	2634	50	7.32138547347e-05	4.83409155157e-09
1	71372470	71684405	514	20	0.000107182145018	1.53315907677e-09
1	71684405	74326907	3151	50	0.000139906340572	6.6814299615e-09
1	74326907	76728135	3459	50	6.62671784101e-05	5.48989082074e-09
1	76728135	79661198	4619	50	0.00012589031518	8.12772564904e-09
1	79661198	81354191	2772	50	0.000126061966922	5.79577519233e-09
1	81354191	83991748	4606	50	6.55524655386e-05	7.7339300059e-09
1	83991748	84844495	1190	50	6.73443350505e-05	2.52073593633e-09
1	84844495	86454751	2803	50	6.55633067631e-05	5.58325759104e-09
1	86454751	88128631	2909	50	0.000116227760428	5.94237164692e-09
1	88128631	90066303	2381	50	0.000120129154917	4.97965111759e-09
1	90066303	91886317	2543	50	0.000129995506887	5.24771814594e-09
1	91886317	93536459	2419	50	0.000186347665237	6.20797949894e-09
1	93536459	94506191	1140	47	0.0002543071767	4.01562971188e-09
1	94506191	96150893	2647	50	0.000116548610041	5.64956167401e-09
1	96150893	97885249	2645	50	0.000125655175692	5.16181882958e-09
1	97885249	99800604	2746	50	7.06882109674e-05	4.78432108704e-09
1	99800604	100826405	1173	50	9.54470996018e-05	3.42950124535e-09
1	100826405	102041016	2008	50	7.60062003134e-05	3.8915889595e-09
1	102041016	102898745	1606	50	2.78079091242e-05	2.57589858491e-09
1	102898745	103914211	1657	46	7.38410763152e-05	3.47439797312e-09
1	103914211	106087842	3786	50	6.91907889856e-05	5.34449930494e-09
1	106087842	108409665	3684	50	6.67536289958e-05	6.53406404742e-09
1	108409665	110303931	2587	50	0.000153402259332	5.74980053142e-09
1	110303931	111741737	2385	50	9.82860241123e-05	5.49827728023e-09
1	111741737	113273306	2727	50	6.14962823433e-05	5.3615522145e-09
1	113273306	114873845	2210	50	0.00016625243152	5.25466352026e-09
1	114873845	115880593	1385	50	0.000385134631781	4.83650912832e-09
1	115880593	118839067	3917	50	0.000640096351124	1.07818452314e-08
1	118839067	144977494	2387	50	0.000118150730939	5.19987300366e-09
1	144977494	148361253	1879	50	4.78603051891e-05	5.00029391888e-09
1	148361253	151538881	1856	50	0.000334923834404	6.45727799467e-09
1	151538881	153180829	2262	50	6.09378678577e-05	4.73728470035e-09
1	153180829	154770403	2121	50	0.000605585066611	6.95857231342e-09
1	154770403	156336133	1197	50	0.000158302078798	3.88001987614e-09
1	156336133	158027412	2617	50	0.000139614689033	5.68186082637e-09
1	158027412	159913048	3378	50	0.000276362596314	7.2502843691e-09
1	159913048	162346721	3599	50	0.000291402958026	8.54502887691e-09
1	162346721	165191702	4925	50	8.56024047328e-05	8.32289087806e-09
1	165191702	166460517	2243	50	7.78129320967e-05	4.58752353192e-09
1	166460517	169086324	4616	50	0.000146835720398	8.65422129147e-09
1	169086324	170557776	2990	50	0.000110462646529	4.51930503373e-09
1	170557776	173097907	4076	50	0.00025873641486	7.78701802544e-09
1	173097907	175089768	2301	50	5.71925018337e-05	4.47768799224e-09
1	175089768	177433381	3388	50	3.64182265181e-05	6.04177393845e-09
1	177433381	178944309	1959	50	0.000184005938665	4.62885837294e-09
1	178944309	178954470	12	1	5.02610932866e-05	1.11363617249e-10
1	178954470	181144121	4095	50	9.38114864001e-05	7.31214683164e-09
1	181144121	182755356	2660	50	8.34483820861e-05	5.44831028046e-09
1	182755356	184595513	2701	50	5.66991046235e-05	4.93908834051e-09
1	184595513	186810023	2508	50	0.000134696209631	5.07493947478e-09
1	186810023	188759945	4484	50	5.16312999494e-05	5.92958300749e-09
1	188759945	189904130	1447	38	4.62222254423e-05	3.42176531181e-09
1	189904130	191868930	3345	50	4.97636788767e-05	5.11036581039e-09
1	191868930	194107442	3152	50	0.000111746930257	5.96606037991e-09
1	194107442	196176201	3903	50	7.14312319432e-05	5.63033631706e-09
1	196176201	197311514	1181	35	7.20032041152e-05	2.25619558937e-09
1	197311514	199239884	2348	50	0.00159375723777	1.33014650225e-08
1	199239884	200137649	1783	50	0.000146278646224	3.60511116453e-09
1	200137649	201589975	2773	50	0.000129785651063	6.20673418376e-09
1	201589975	203334734	2438	50	0.000407426788861	7.57284648133e-09
1	203334734	204681068	2198	50	0.000157205463318	5.55210008287e-09
1	204681068	206073265	2109	50	0.00127025817031	1.09380371428e-08
1	206073265	208410364	2544	50	0.000240440730575	6.68544020158e-09
1	208410364	210787750	3757	50	0.000355661959775	9.58628807813e-09
1	210787750	212842330	3287	50	0.000341149267177	8.04586212544e-09
1	212842330	214578266	2495	50	0.000133417556366	5.88401087286e-09
1	214578266	216243634	2660	50	3.03299226451e-05	5.12686173433e-09
1	216243634	218705513	4363	50	5.51535274405e-05	7.94253670697e-09
1	218705513	219590571	1672	50	8.41628099125e-05	3.17519602536e-09
1	219590571	221858231	3435	50	0.000263919623837	7.30669068302e-09
1	221858231	222230220	623	37	2.36571645204e-05	1.39799593118e-09
1	222230220	224938520	3766	50	0.000250129870543	8.95092673468e-09
1	224938520	226810860	2741	50	0.000242753140148	7.15348424465e-09
1	226810860	229156248	4024	50	0.0001206986511	7.1894315998e-09
1	229156248	230685255	2238	50	0.000282819157833	6.17793374227e-09
1	230685255	232090252	2475	50	7.79362796775e-05	5.3562839458e-09
1	232090252	233429284	2513	50	8.43129329134e-05	5.67688864035e-09
1	233429284	234599434	2491	50	3.76435208594e-05	5.18472981232e-09
1	234599434	235819436	1973	50	0.000269319042655	6.06132453295e-09
1	235819436	237555628	3319	50	0.000130196720185	7.96154442153e-09
1	237555628	238567807	2249	50	7.7812694717e-05	4.77439588844e-09
1	238567807	239925314	2468	50	4.11042532896e-05	4.95201188571e-09
1	239925314	240564091	1578	50	6.86295263024e-05	3.53733620543e-09
1	240564091	241582220	1948	50	0.000113373509865	5.40910797742e-09
1	241582220	242071602	943	50	8.70540574369e-05	2.48955100556e-09
1	242071602	244109499	3322	50	0.000132620254585	7.72177522551e-09
1	244109499	245506746	2507	50	0.000146695185982	6.61262118622e-09
1	245506746	247344518	4109	50	0.000197965878543	8.92974644001e-09
1	247344518	249239466	3204	50	0.000711994427217	1.02329826083e-08
2	10133	1781022	3987	50	5.0909898224e-05	7.84308042817e-09
2	1781022	3973779	4493	50	7.15719626456e-05	8.2803907608e-09
2	3973779	5708337	3054	50	2.87464593977e-05	6.20312646817e-09
2	5708337	6836254	2420	50	8.27333980475e-05	4.97343314864e-09
2	6836254	8422147	2557	50	1.81625347791e-05	5.40832982297e-09
2	8422147	10298469	3371	50	0.00043415505487	9.60550221971e-09
2	10298469	12419150	4691	50	0.000116655294382	8.50767310165e-09
2	12419150	14335308	3466	50	3.29347337265e-05	6.71118824017e-09
2	14335308	16329735	3367	50	4.70868714969e-05	7.09011554474e-09
2	16329735	18647423	3804	50	5.08015716915e-05	7.4959414586e-09
2	18647423	19692404	1571	50	4.65661045622e-05	3.21071339432e-09
2	19692404	21050490	2742	50	0.000117102623452	6.14110899094e-09
2	21050490	23341383	2482	50	9.50052527153e-05	6.53950074321e-09
2	23341383	24686918	2095	50	0.000532884951613	7.42682972488e-09
2	24686918	26894985	2665	50	0.000524944233413	8.65804086901e-09
2	26894985	28598777	1314	50	0.000197789860637	4.56331545768e-09
