chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000196285057305	1.66288032778e-08
1	1892607	3582736	3045	50	0.000331429682782	3.7197220101e-08
1	3582736	4380811	1622	50	0.00024218825376	1.8009829397e-08
1	4380811	5913893	3790	50	0.000110937137246	3.71973068583e-08
1	5913893	7247335	2066	50	0.000120765887237	2.15025322845e-08
1	7247335	9365199	3371	50	0.000365988246894	4.01856388876e-08
1	9365199	10806984	1551	50	0.000960128750917	2.771293642e-08
1	10806984	11777841	1319	50	0.00355977632003	5.39913799228e-08
1	11777841	12779466	1366	50	0.000183566200064	1.5804382861e-08
1	12779466	14891511	2579	50	0.000208755196352	2.86437191094e-08
1	14891511	16897730	4083	50	0.000353922622387	4.00632596378e-08
1	16897730	18662899	2903	50	0.000279416417781	3.23503404646e-08
1	18662899	20469149	3703	50	0.000158528667084	3.50260934177e-08
1	20469149	21736588	2066	50	0.000335882046344	2.18876548265e-08
1	21736588	23086883	2718	50	0.000189440872551	2.75196947719e-08
1	23086883	23920590	1027	50	0.000170479353514	1.08810149981e-08
1	23920590	25516845	2421	50	0.00312569277618	5.91640304753e-08
1	25516845	27401867	2028	50	0.000334492630371	2.18229806558e-08
1	27401867	30161881	2938	50	0.000311311272939	3.45986589635e-08
1	30161881	32438685	4147	50	0.00028036722508	3.92157977877e-08
1	32438685	34799758	2590	50	0.000264093473806	2.98857973973e-08
1	34799758	37549183	2869	50	0.000220448768641	3.17561228545e-08
1	37549183	38731847	1902	50	0.000439077564089	2.03478353024e-08
1	38731847	40200567	2042	50	0.000123221783157	2.09929673136e-08
1	40200567	41975327	2933	50	0.000843642964143	3.27056988582e-08
1	41975327	43758457	2548	50	0.000237873989731	2.31979737785e-08
1	43758457	44969183	1455	50	0.000318446735595	1.62860194561e-08
1	44969183	46899501	2474	50	0.000288391638286	2.69961399669e-08
1	46899501	48002576	1540	50	0.00133731117974	2.7471883534e-08
1	48002576	48978188	1218	50	0.000613683937542	1.69871682749e-08
1	48978188	49894177	750	46	0.000341113768159	1.14317790162e-08
1	49894177	51713726	1240	45	0.000958269485201	2.52631083171e-08
1	51713726	54226262	2519	50	0.0010074432651	3.77596467226e-08
1	54226262	56413117	3639	50	6.37873506191e-05	3.37378223937e-08
1	56413117	57021728	1026	48	2.56810155998e-05	6.36819636168e-09
1	57021728	58865399	3295	50	3.65262933933e-05	2.69990218629e-08
1	58865399	59890409	1773	50	0.000265703747455	1.51695643904e-08
1	59890409	61922365	2469	50	0.000187225862798	2.4955386029e-08
1	61922365	63455089	2289	50	0.000254523346456	2.42043110389e-08
1	63455089	65041704	2971	50	0.000197413292905	2.36500161496e-08
1	65041704	66939404	2873	50	0.000104920743358	2.14031628663e-08
1	66939404	68477895	2885	50	0.000259214214545	2.29195695197e-08
1	68477895	69687616	1632	50	0.000125757996935	1.27410309691e-08
1	69687616	71372470	2634	50	1.2957928268e-05	1.92143306025e-08
1	71372470	71684405	514	20	0.000109791732326	3.4677523725e-09
1	71684405	74326907	3151	50	7.82444203347e-05	2.72964285574e-08
1	74326907	76728135	3459	50	5.27992982394e-05	2.30429368101e-08
1	76728135	79661198	4619	50	0.000196449717329	3.61083644625e-08
1	79661198	81354191	2772	50	8.30332225007e-05	2.33721425575e-08
1	81354191	83991748	4606	50	0.000184991326081	3.55788951553e-08
1	83991748	84844495	1190	50	0.000109073610345	9.22077807074e-09
1	84844495	86454751	2803	50	0.000202179870784	2.52244822444e-08
1	86454751	88128631	2909	50	0.00021017510875	2.57904607191e-08
1	88128631	90066303	2381	50	0.000224722190525	2.11575208676e-08
1	90066303	91886317	2543	50	0.000162532598113	2.15066456732e-08
1	91886317	93536459	2419	50	0.000228015555005	2.551984068e-08
1	93536459	94506191	1140	47	0.000289395976053	1.38404374995e-08
1	94506191	96150893	2647	50	0.000163722208539	2.38204446816e-08
1	96150893	97885249	2645	50	0.000153315587942	2.10920250884e-08
1	97885249	99800604	2746	50	7.08810813594e-05	1.96960523016e-08
1	99800604	100826405	1173	50	4.11791226751e-05	1.21515504653e-08
1	100826405	102041016	2008	50	0.000189753270076	1.65707024105e-08
1	102041016	102898745	1606	50	0.000161534536604	1.10691565795e-08
1	102898745	103914211	1657	46	0.000158904613783	1.42471206547e-08
1	103914211	106087842	3786	50	5.9433494357e-05	2.23350933801e-08
1	106087842	108409665	3684	50	0.000241311410902	3.02990726173e-08
1	108409665	110303931	2587	50	0.000206192866168	2.38646125686e-08
1	110303931	111741737	2385	50	0.000150950899093	2.33968816448e-08
1	111741737	113273306	2727	50	0.000110314569808	2.31938996126e-08
1	113273306	114873845	2210	50	0.000184366567413	2.08763790012e-08
1	114873845	115880593	1385	50	0.000179296290023	1.33004608574e-08
1	115880593	118839067	3917	50	0.000518648984022	3.97494195289e-08
1	118839067	144977494	2387	50	0.00326186230577	5.69363349512e-08
1	144977494	148361253	1879	50	0.000130955249131	2.2010040427e-08
1	148361253	151538881	1856	50	0.000269847367144	2.34650592645e-08
1	151538881	153180829	2262	50	0.000731314243469	2.72444442651e-08
1	153180829	154770403	2121	50	0.000543013818019	2.22134473699e-08
1	154770403	156336133	1197	50	0.000191884912808	1.44764253447e-08
1	156336133	158027412	2617	50	0.000112342596567	2.28089195834e-08
1	158027412	159913048	3378	50	0.000134936591634	2.72729523497e-08
1	159913048	162346721	3599	50	0.000220081937437	3.42117125105e-08
1	162346721	165191702	4925	50	0.000502478530319	4.16250019911e-08
1	165191702	166460517	2243	50	0.000115431173497	1.90659361015e-08
1	166460517	169086324	4616	50	4.50683415583e-05	3.64218392247e-08
1	169086324	170557776	2990	50	0.000760228241189	2.52567123467e-08
1	170557776	173097907	4076	50	0.000491287309418	3.44347865117e-08
1	173097907	175089768	2301	50	0.000141466515483	1.93464080579e-08
1	175089768	177433381	3388	50	0.000200384508574	2.81865780727e-08
1	177433381	178944309	1959	50	0.000146709627426	1.69556991154e-08
1	178944309	178954470	12	1	9.35854876558e-05	-2.15086678891e-09
1	178954470	181144121	4095	50	0.000274070220133	3.38073585058e-08
1	181144121	182755356	2660	50	0.000319275945774	2.54505741551e-08
1	182755356	184595513	2701	50	0.000281692122565	2.32087098466e-08
1	184595513	186810023	2508	50	0.000157998991519	2.04943210389e-08
1	186810023	188759945	4484	50	0.000142731726668	2.6591418936e-08
