chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.00046361090862	9.56656774025e-10
1	1892607	3582736	3045	50	0.000851576570869	1.85422041277e-09
1	3582736	4380811	1622	50	0.000144822797206	5.00353118286e-10
1	4380811	5913893	3790	50	0.000113879231842	8.01451112016e-10
1	5913893	7247335	2066	50	0.000370863062976	9.16921303617e-10
1	7247335	9365199	3371	50	0.00115683297255	2.35152898762e-09
1	9365199	10806984	1551	50	0.000872571475663	1.60157117327e-09
1	10806984	11777841	1319	50	0.000376329618434	8.12903491518e-10
1	11777841	12779466	1366	50	0.000150826430537	4.83226821725e-10
1	12779466	14891511	2579	50	0.000405480122517	1.07184132141e-09
1	14891511	16897730	4083	50	0.000368587201043	1.18091315972e-09
1	16897730	18662899	2903	50	0.00118550455989	2.27721171857e-09
1	18662899	20469149	3703	50	0.000636645330209	1.53209637343e-09
1	20469149	21736588	2066	50	0.000860328060518	1.60549241787e-09
1	21736588	23086883	2718	50	0.000788266962668	1.6236056714e-09
1	23086883	23920590	1027	50	0.0005785232737	1.03308604585e-09
1	23920590	25516845	2421	50	0.000576056946816	1.27648454291e-09
1	25516845	27401867	2028	50	0.00147441728949	2.5124701624e-09
1	27401867	30161881	2938	50	0.000361475361344	1.08700286234e-09
1	30161881	32438685	4147	50	0.000798072673417	1.81889210623e-09
1	32438685	34799758	2590	50	0.000448857054364	1.14637064738e-09
1	34799758	37549183	2869	50	0.000336373192881	1.0195541427e-09
1	37549183	38731847	1902	50	0.000784118805831	1.44639300064e-09
1	38731847	40200567	2042	50	0.00020614126866	6.64204518532e-10
1	40200567	41975327	2933	50	0.00184261507118	3.14529161972e-09
1	41975327	43758457	2548	50	0.000637045599043	1.31675452626e-09
1	43758457	44969183	1455	50	0.000453923985544	9.12877235571e-10
1	44969183	46899501	2474	50	0.000587821258151	1.29862413664e-09
1	46899501	48002576	1540	50	0.000563435598894	1.06791110751e-09
1	48002576	48978188	1218	50	0.000281065650719	6.12771632905e-10
1	48978188	49894177	750	46	0.000131492535496	3.50417598489e-10
1	49894177	51713726	1240	45	0.00094573315779	1.66812824452e-09
