chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000118476645729	6.51874318004e-09
1	1892607	3582736	3045	50	0.000122559436421	1.28944183402e-08
1	3582736	4380811	1622	50	6.19747054308e-05	6.43441333978e-09
1	4380811	5913893	3790	50	8.45565047228e-05	1.34839665413e-08
1	5913893	7247335	2066	50	5.56963301774e-05	8.02729381735e-09
1	7247335	9365199	3371	50	0.000402079952476	1.56069427186e-08
1	9365199	10806984	1551	50	0.000349057299955	8.84046799195e-09
1	10806984	11777841	1319	50	0.000130418685525	6.30381390653e-09
1	11777841	12779466	1366	50	0.00011364281005	6.25845596171e-09
1	12779466	14891511	2579	50	6.05976720684e-05	1.0108845185e-08
1	14891511	16897730	4083	50	7.60018562681e-05	1.34492296169e-08
1	16897730	18662899	2903	50	7.57055829147e-05	1.11730371781e-08
1	18662899	20469149	3703	50	0.000185953415446	1.32541913417e-08
1	20469149	21736588	2066	50	0.000113685602647	7.71770474225e-09
1	21736588	23086883	2718	50	0.000128731461473	1.02585452134e-08
1	23086883	23920590	1027	50	0.000352918461591	6.22666737522e-09
1	23920590	25516845	2421	50	0.000204876045714	1.01164683734e-08
1	25516845	27401867	2028	50	0.00038281517533	9.47792956487e-09
1	27401867	30161881	2938	50	0.0002168231923	1.27333290518e-08
1	30161881	32438685	4147	50	0.00036281815658	1.53519904883e-08
1	32438685	34799758	2590	50	0.000110763747145	1.06433790628e-08
1	34799758	37549183	2869	50	0.000700103494443	1.5335062468e-08
1	37549183	38731847	1902	50	0.000171505935079	7.18955724777e-09
1	38731847	40200567	2042	50	0.00015544003131	8.50602079518e-09
1	40200567	41975327	2933	50	0.000372638024133	1.11051363989e-08
1	41975327	43758457	2548	50	0.000298681440743	9.75241266654e-09
1	43758457	44969183	1455	50	0.000158171995915	6.19864204965e-09
1	44969183	46899501	2474	50	0.000369152706244	1.12955949712e-08
1	46899501	48002576	1540	50	0.000171848126777	6.15833996353e-09
1	48002576	48978188	1218	50	2.79388501893e-05	4.45011405221e-09
1	48978188	49894177	750	46	3.93456673828e-05	3.6959675183e-09
1	49894177	51713726	1240	45	9.74279480449e-05	6.36905910714e-09
1	51713726	54226262	2519	50	6.27388865674e-05	1.01120645692e-08
1	54226262	56413117	3639	50	9.12783219494e-05	1.25606443402e-08
1	56413117	57021728	1026	48	0.000356264720504	5.27751592435e-09
1	57021728	58865399	3295	50	6.91864696065e-05	1.02751618857e-08
1	58865399	59890409	1773	50	7.48365604664e-05	5.47551980045e-09
1	59890409	61922365	2469	50	8.31030621985e-05	9.10920860068e-09
1	61922365	63455089	2289	50	7.9022178839e-05	8.57430460776e-09
1	63455089	65041704	2971	50	6.98535941936e-05	8.54648069082e-09
1	65041704	66939404	2873	50	0.00134408585054	1.65646773957e-08
1	66939404	68477895	2885	50	0.000329825498603	9.78330872774e-09
1	68477895	69687616	1632	50	9.33125495625e-05	5.31488946858e-09
1	69687616	71372470	2634	50	9.49655505715e-05	7.93212013839e-09
1	71372470	71684405	514	20	7.0781513843e-05	2.09621967592e-09
1	71684405	74326907	3151	50	0.00010692032618	1.04646090049e-08
1	74326907	76728135	3459	50	0.000133329484498	9.31551202896e-09
1	76728135	79661198	4619	50	0.000161641276972	1.3307479512e-08
1	79661198	81354191	2772	50	2.80901595188e-05	8.61448936658e-09
1	81354191	83991748	4606	50	5.08972847706e-05	1.24413261355e-08
1	83991748	84844495	1190	50	4.9871558211e-05	3.90609830828e-09
1	84844495	86454751	2803	50	7.01437346591e-05	9.05632993594e-09
1	86454751	88128631	2909	50	1.43012018678e-05	8.84562619971e-09
