chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000104157984126	9.59481519732e-09
1	1892607	3582736	3045	50	0.000116758895736	1.93120772947e-08
1	3582736	4380811	1622	50	-1.10818802225e-05	9.09598715199e-09
1	4380811	5913893	3790	50	-3.18336706664e-05	1.93734151367e-08
1	5913893	7247335	2066	50	-1.18874614335e-05	1.15643428749e-08
1	7247335	9365199	3371	50	5.83030923669e-05	2.01342727495e-08
1	9365199	10806984	1551	50	0.000103620485007	1.08023802104e-08
1	10806984	11777841	1319	50	1.62677213825e-05	8.43678311532e-09
1	11777841	12779466	1366	50	0.000106346118957	9.2665931044e-09
1	12779466	14891511	2579	50	4.95594205531e-06	1.48042807689e-08
1	14891511	16897730	4083	50	3.24228763273e-05	1.99313215045e-08
1	16897730	18662899	2903	50	2.54059275615e-05	1.64308008278e-08
1	18662899	20469149	3703	50	0.000234745922294	2.01830459944e-08
1	20469149	21736588	2066	50	2.76924581844e-05	1.08374257717e-08
1	21736588	23086883	2718	50	6.95319740964e-05	1.48742361054e-08
1	23086883	23920590	1027	50	2.81997891319e-05	6.19847193452e-09
1	23920590	25516845	2421	50	0.000206397352685	1.50105422189e-08
1	25516845	27401867	2028	50	5.52726058143e-05	1.10367507902e-08
1	27401867	30161881	2938	50	4.44022414611e-05	1.75325681672e-08
1	30161881	32438685	4147	50	2.47710207926e-05	1.9868852214e-08
1	32438685	34799758	2590	50	1.4527244749e-05	1.51889480847e-08
1	34799758	37549183	2869	50	4.85573641987e-06	1.63048419766e-08
1	37549183	38731847	1902	50	0.000180893879888	1.07040644046e-08
1	38731847	40200567	2042	50	2.54314744714e-05	1.15951231546e-08
1	40200567	41975327	2933	50	3.63252924623e-05	1.34446572488e-08
1	41975327	43758457	2548	50	5.04021302413e-05	1.22525182228e-08
1	43758457	44969183	1455	50	1.52197580729e-05	7.99208011539e-09
1	44969183	46899501	2474	50	6.04518257491e-05	1.396377084e-08
1	46899501	48002576	1540	50	2.32857370584e-05	7.8600555418e-09
1	48002576	48978188	1218	50	-5.7462825939e-06	6.4736358405e-09
1	48978188	49894177	750	46	1.62659559467e-05	5.39580899381e-09
1	49894177	51713726	1240	45	3.00560027856e-05	8.9768669041e-09
1	51713726	54226262	2519	50	7.01167544198e-05	1.53182909417e-08
1	54226262	56413117	3639	50	3.13725185154e-05	1.8424108965e-08
1	56413117	57021728	1026	48	4.42297714981e-05	4.85947060504e-09
1	57021728	58865399	3295	50	-3.39199655874e-05	1.46534751812e-08
1	58865399	59890409	1773	50	6.46252347373e-05	8.12958628862e-09
1	59890409	61922365	2469	50	6.45129293715e-05	1.35498512899e-08
1	61922365	63455089	2289	50	2.13192385936e-05	1.24293227576e-08
1	63455089	65041704	2971	50	-1.94410989779e-06	1.2289743328e-08
1	65041704	66939404	2873	50	0.000127651596328	1.27400422595e-08
1	66939404	68477895	2885	50	9.80694579684e-05	1.23755879475e-08
1	68477895	69687616	1632	50	1.92943967676e-05	7.33420580732e-09
1	69687616	71372470	2634	50	7.01793004111e-05	1.16945282914e-08
1	71372470	71684405	514	20	3.32250231769e-06	2.5544407065e-09
1	71684405	74326907	3151	50	5.94280772527e-05	1.53224516552e-08
1	74326907	76728135	3459	50	4.54439081256e-05	1.32044247567e-08
1	76728135	79661198	4619	50	4.91549188432e-05	1.89935740961e-08
1	79661198	81354191	2772	50	2.22008594249e-05	1.30070827113e-08
1	81354191	83991748	4606	50	-5.09109440992e-06	1.83512668869e-08
1	83991748	84844495	1190	50	2.36790424035e-05	5.66924339347e-09
1	84844495	86454751	2803	50	-3.74654860177e-06	1.30441778219e-08
1	86454751	88128631	2909	50	1.08178197226e-05	1.34026342963e-08
1	88128631	90066303	2381	50	3.6094907611e-05	1.11780837949e-08
1	90066303	91886317	2543	50	3.4956303202e-05	1.17055829511e-08
1	91886317	93536459	2419	50	5.53663064875e-05	1.35250912194e-08
1	93536459	94506191	1140	47	4.54090909679e-05	7.15958301785e-09
1	94506191	96150893	2647	50	4.20774109636e-05	1.2928891317e-08
1	96150893	97885249	2645	50	3.14855224219e-06	1.129013065e-08
1	97885249	99800604	2746	50	2.68305943542e-06	1.10551644064e-08
1	99800604	100826405	1173	50	-8.13030375903e-06	7.30090018052e-09
1	100826405	102041016	2008	50	8.66957600699e-05	9.46131529819e-09
1	102041016	102898745	1606	50	2.74056744928e-05	6.33986500778e-09
1	102898745	103914211	1657	46	4.24480733013e-05	8.09778303365e-09
1	103914211	106087842	3786	50	5.67059466207e-05	1.2899003869e-08
1	106087842	108409665	3684	50	0.000546056988307	1.98585761675e-08
1	108409665	110303931	2587	50	0.000144134908487	1.35355903206e-08
1	110303931	111741737	2385	50	8.69196225426e-05	1.31529955123e-08
1	111741737	113273306	2727	50	5.83260058938e-06	1.26258282605e-08
1	113273306	114873845	2210	50	0.001199334991	2.07219226274e-08
1	114873845	115880593	1385	50	4.17760599169e-05	7.49186480873e-09
1	115880593	118839067	3917	50	0.000101063436622	1.93838106415e-08
1	118839067	144977494	2387	50	-5.47074623751e-06	1.14100114747e-08
1	144977494	148361253	1879	50	7.42045036337e-06	1.19195942545e-08
1	148361253	151538881	1856	50	8.32636626812e-05	1.2470097482e-08
1	151538881	153180829	2262	50	8.92407212678e-05	1.17668520621e-08
1	153180829	154770403	2121	50	5.74052744938e-05	1.00476815654e-08
1	154770403	156336133	1197	50	5.60132131482e-05	8.13377574488e-09
1	156336133	158027412	2617	50	0.000108856984192	1.32569655094e-08
1	158027412	159913048	3378	50	5.45109440758e-06	1.45431232873e-08
1	159913048	162346721	3599	50	8.12849830516e-05	1.81658257271e-08
1	162346721	165191702	4925	50	-4.60212648639e-06	1.9554074972e-08
1	165191702	166460517	2243	50	1.89938581055e-05	1.06099678014e-08
1	166460517	169086324	4616	50	5.59112371152e-05	2.00814137914e-08
1	169086324	170557776	2990	50	4.80630499731e-05	1.02604172839e-08
1	170557776	173097907	4076	50	0.000102813628624	1.68872220729e-08
1	173097907	175089768	2301	50	8.8687303601e-05	1.1167919118e-08
1	175089768	177433381	3388	50	4.36570796463e-05	1.49370605466e-08
1	177433381	178944309	1959	50	2.07598605975e-05	9.37098218213e-09
1	178944309	178954470	12	1	5.72636314695e-06	-2.19940834976e-10
1	178954470	181144121	4095	50	3.3266897269e-05	1.7258967086e-08
1	181144121	182755356	2660	50	1.55289289047e-05	1.26385382933e-08
1	182755356	184595513	2701	50	6.31785397563e-05	1.21084826085e-08
1	184595513	186810023	2508	50	9.90151460737e-05	1.17389251846e-08
1	186810023	188759945	4484	50	2.57819124911e-05	1.43192537081e-08
1	188759945	189904130	1447	38	1.01598485947e-05	8.05799987116e-09
1	189904130	191868930	3345	50	1.24812448163e-05	1.22086656143e-08
1	191868930	194107442	3152	50	6.37822829647e-06	1.3482377536e-08
1	194107442	196176201	3903	50	2.78660923887e-05	1.33427353288e-08
1	196176201	197311514	1181	35	3.65548462638e-05	5.05973832798e-09
1	197311514	199239884	2348	50	9.57132675331e-05	1.33982240263e-08
1	199239884	200137649	1783	50	-8.33134196057e-06	7.08549494937e-09
1	200137649	201589975	2773	50	0.000168123530695	1.51630043105e-08
1	201589975	203334734	2438	50	4.3450132792e-05	1.39744463022e-08
1	203334734	204681068	2198	50	1.04570425205e-05	1.19112310242e-08
1	204681068	206073265	2109	50	-2.989410303e-05	1.06831187087e-08
1	206073265	208410364	2544	50	0.000110454221787	1.44617441886e-08
1	208410364	210787750	3757	50	7.63850908288e-05	1.98736192659e-08
1	210787750	212842330	3287	50	3.58443966176e-05	1.59265895419e-08
1	212842330	214578266	2495	50	8.58261333774e-05	1.36487600328e-08
1	214578266	216243634	2660	50	1.69881088245e-06	1.24103056148e-08
1	216243634	218705513	4363	50	5.61383001762e-05	1.95001453806e-08
1	218705513	219590571	1672	50	6.08333214028e-05	7.37507847561e-09
1	219590571	221858231	3435	50	3.81901831491e-05	1.51080590666e-08
1	221858231	222230220	623	37	4.23878506072e-05	3.59901171682e-09
1	222230220	224938520	3766	50	-1.57236325725e-05	1.89053373029e-08
1	224938520	226810860	2741	50	4.99356821839e-05	1.50959353363e-08
1	226810860	229156248	4024	50	4.22459407971e-05	1.66842733969e-08
1	229156248	230685255	2238	50	4.18375311387e-05	1.21085131995e-08
1	230685255	232090252	2475	50	1.26609545162e-05	1.24581180212e-08
1	232090252	233429284	2513	50	7.64042481118e-06	1.31285431393e-08
1	233429284	234599434	2491	50	5.27041287728e-06	1.24889586298e-08
1	234599434	235819436	1973	50	0.000124679413362	1.26662865668e-08
1	235819436	237555628	3319	50	6.2854431731e-05	1.86393213859e-08
1	237555628	238567807	2249	50	4.12338906602e-05	1.12528664591e-08
1	238567807	239925314	2468	50	-2.31222894091e-06	1.18074151981e-08
1	239925314	240564091	1578	50	2.70220698387e-05	8.19481190161e-09
1	240564091	241582220	1948	50	-4.52326250487e-05	1.16650084198e-08
1	241582220	242071602	943	50	2.7845634694e-05	5.37474945221e-09
