chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000274683787959	6.95991333294e-09
1	1892607	3582736	3045	50	0.000350273662437	1.32460535033e-08
1	3582736	4380811	1622	50	0.000778415578165	1.03998324426e-08
1	4380811	5913893	3790	50	5.1187989491e-05	1.2119501065e-08
1	5913893	7247335	2066	50	0.000154916405868	7.9627712996e-09
1	7247335	9365199	3371	50	0.00017573154121	1.29244603624e-08
1	9365199	10806984	1551	50	7.87939969548e-05	6.45607412921e-09
1	10806984	11777841	1319	50	3.14578450113e-05	5.15846807994e-09
1	11777841	12779466	1366	50	7.75917761273e-05	5.5088193788e-09
1	12779466	14891511	2579	50	4.96805765693e-05	9.17082710601e-09
1	14891511	16897730	4083	50	7.39414200083e-05	1.22839240764e-08
1	16897730	18662899	2903	50	5.86453997942e-05	1.01086422981e-08
1	18662899	20469149	3703	50	7.14406538757e-05	1.14236858172e-08
1	20469149	21736588	2066	50	0.000234681294755	7.833030007e-09
1	21736588	23086883	2718	50	0.00120371283554	1.61930857223e-08
1	23086883	23920590	1027	50	0.000255587638438	5.16074133303e-09
1	23920590	25516845	2421	50	0.000402028599054	1.05329633719e-08
1	25516845	27401867	2028	50	0.000459065378034	9.23398976823e-09
1	27401867	30161881	2938	50	0.000211013582565	1.16451327015e-08
1	30161881	32438685	4147	50	0.00019912228295	1.30778411973e-08
1	32438685	34799758	2590	50	8.07512406453e-05	9.55248546441e-09
1	34799758	37549183	2869	50	0.000228824804504	1.12109630819e-08
1	37549183	38731847	1902	50	6.53234228102e-05	5.93341095682e-09
1	38731847	40200567	2042	50	0.000162811890008	7.84804297231e-09
1	40200567	41975327	2933	50	0.000258086858004	9.51327937177e-09
1	41975327	43758457	2548	50	0.000185647380158	8.26656908196e-09
1	43758457	44969183	1455	50	0.000133584624109	5.53882060262e-09
1	44969183	46899501	2474	50	0.000416050854553	1.07066687585e-08
1	46899501	48002576	1540	50	0.000101829596967	5.21959089595e-09
1	48002576	48978188	1218	50	6.048577734e-05	4.26476208611e-09
1	48978188	49894177	750	46	0.000111474799644	3.82773773973e-09
1	49894177	51713726	1240	45	0.000101689096111	5.85945756477e-09
1	51713726	54226262	2519	50	9.29059082448e-05	9.43421697465e-09
1	54226262	56413117	3639	50	0.000915486118505	1.67120443549e-08
1	56413117	57021728	1026	48	0.00175088032854	1.36773981326e-08
1	57021728	58865399	3295	50	0.000168847529458	1.00246660741e-08
1	58865399	59890409	1773	50	8.70681264842e-05	5.08688605613e-09
1	59890409	61922365	2469	50	0.000140778281739	8.69704976386e-09
1	61922365	63455089	2289	50	0.000198797164191	8.59916742833e-09
1	63455089	65041704	2971	50	3.44548562707e-05	7.59109375398e-09
1	65041704	66939404	2873	50	0.000183440594153	8.16781661085e-09
1	66939404	68477895	2885	50	0.000221356430378	8.33237804397e-09
1	68477895	69687616	1632	50	0.000159230015273	5.28334585073e-09
1	69687616	71372470	2634	50	9.46640793306e-05	7.25834147982e-09
1	71372470	71684405	514	20	8.42969638381e-05	2.00587891295e-09
1	71684405	74326907	3151	50	0.00013906474537	9.78121722645e-09
1	74326907	76728135	3459	50	6.50284297631e-05	8.10358046839e-09
1	76728135	79661198	4619	50	0.000200031150621	1.24346408282e-08
1	79661198	81354191	2772	50	3.9821484837e-05	7.93932893932e-09
1	81354191	83991748	4606	50	0.000134046797922	1.18958009989e-08
1	83991748	84844495	1190	50	0.000128986339553	4.06666801507e-09
1	84844495	86454751	2803	50	5.47075843907e-05	8.18314265388e-09
1	86454751	88128631	2909	50	0.000130025769967	8.80394854219e-09
1	88128631	90066303	2381	50	4.56262044085e-05	6.80436053997e-09
1	90066303	91886317	2543	50	0.000115311955429	7.56811519841e-09
1	91886317	93536459	2419	50	0.000218979735514	9.22117284942e-09
1	93536459	94506191	1140	47	0.000138526503589	4.91976531245e-09
1	94506191	96150893	2647	50	0.000124464790329	8.32932383393e-09
1	96150893	97885249	2645	50	0.000174655214222	7.84801239293e-09
1	97885249	99800604	2746	50	0.000137474593697	7.47374117192e-09
1	99800604	100826405	1173	50	5.43578236049e-05	4.73692981222e-09
1	100826405	102041016	2008	50	0.000203861726068	6.51844169745e-09
1	102041016	102898745	1606	50	4.33418632336e-05	3.91403296097e-09
1	102898745	103914211	1657	46	7.11159608527e-05	5.07573091333e-09
1	103914211	106087842	3786	50	2.04885481337e-05	7.5826845529e-09
1	106087842	108409665	3684	50	0.000150002396389	1.01958783839e-08
1	108409665	110303931	2587	50	0.00014578934945	8.32925047302e-09
1	110303931	111741737	2385	50	0.000238712424606	8.96613959224e-09
1	111741737	113273306	2727	50	0.000187810755528	8.72450221784e-09
1	113273306	114873845	2210	50	0.000107303869101	7.24843055698e-09
1	114873845	115880593	1385	50	6.58776703459e-05	4.68051094613e-09
1	115880593	118839067	3917	50	0.000533320009061	1.45270028489e-08
1	118839067	144977494	2387	50	0.000152383443422	7.82209908491e-09
1	144977494	148361253	1879	50	8.50255770602e-05	7.64115302691e-09
1	148361253	151538881	1856	50	0.000274280202827	8.79629988239e-09
1	151538881	153180829	2262	50	0.000138669121598	7.48626465151e-09
1	153180829	154770403	2121	50	0.000204671601262	7.02108879951e-09
1	154770403	156336133	1197	50	0.000545019366798	8.01664568334e-09
1	156336133	158027412	2617	50	4.11106211612e-05	7.67303945003e-09
1	158027412	159913048	3378	50	0.0018789369775	2.05789608539e-08
1	159913048	162346721	3599	50	0.00018032848371	1.16515984602e-08
1	162346721	165191702	4925	50	0.00013298559732	1.26131077034e-08
1	165191702	166460517	2243	50	9.74279691003e-05	6.87230189342e-09
1	166460517	169086324	4616	50	0.000104208141421	1.24507264448e-08
1	169086324	170557776	2990	50	4.37341406555e-05	6.1801922984e-09
1	170557776	173097907	4076	50	0.000152134080989	1.05951645412e-08
1	173097907	175089768	2301	50	0.000106993668458	6.92767939673e-09
1	175089768	177433381	3388	50	5.76496395661e-05	9.11119268146e-09
1	177433381	178944309	1959	50	9.57004809906e-05	6.10506218989e-09
1	178944309	178954470	12	1	3.65115488871e-05	2.09788772814e-11
1	178954470	181144121	4095	50	8.65423896477e-05	1.07464583103e-08
1	181144121	182755356	2660	50	0.00010878480995	8.18534680626e-09
1	182755356	184595513	2701	50	0.000277538363317	8.69707599158e-09
1	184595513	186810023	2508	50	0.000123404871998	7.32513849346e-09
1	186810023	188759945	4484	50	3.86684496225e-05	8.70618735731e-09
1	188759945	189904130	1447	38	7.77244152285e-05	5.25140743723e-09
1	189904130	191868930	3345	50	2.30580264477e-05	7.39942018931e-09
1	191868930	194107442	3152	50	0.000132666381687	8.89059023485e-09
1	194107442	196176201	3903	50	0.000104534682487	8.5229700098e-09
1	196176201	197311514	1181	35	0.000143689287836	3.72842705319e-09
1	197311514	199239884	2348	50	0.000273425440333	9.2903314318e-09
1	199239884	200137649	1783	50	6.08016022167e-05	4.64854116901e-09
1	200137649	201589975	2773	50	0.000102505583932	8.91984146202e-09
1	201589975	203334734	2438	50	0.000193831741759	9.39215285835e-09
1	203334734	204681068	2198	50	0.000127183866004	7.88741752435e-09
1	204681068	206073265	2109	50	0.000660000997495	1.07068328049e-08
1	206073265	208410364	2544	50	0.000151079785616	9.08693347986e-09
1	208410364	210787750	3757	50	7.79201256193e-05	1.20577081481e-08
1	210787750	212842330	3287	50	0.00013544007149	1.02389755411e-08
1	212842330	214578266	2495	50	0.00020078129829	9.03122762244e-09
1	214578266	216243634	2660	50	7.00783998752e-05	7.87098232447e-09
1	216243634	218705513	4363	50	6.38720388523e-05	1.18429626215e-08
1	218705513	219590571	1672	50	0.000135092605491	4.95270765965e-09
1	219590571	221858231	3435	50	0.000396949393058	1.1387319774e-08
