chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000127647962443	9.28625631491e-09
1	1892607	3582736	3045	50	0.000186365595427	1.88550876929e-08
1	3582736	4380811	1622	50	4.37335028428e-05	9.03692064504e-09
1	4380811	5913893	3790	50	1.33531505913e-05	1.86876717246e-08
1	5913893	7247335	2066	50	4.99729230624e-05	1.14297345834e-08
1	7247335	9365199	3371	50	0.000324979202357	2.11866560951e-08
1	9365199	10806984	1551	50	0.000176653813822	1.08209453572e-08
1	10806984	11777841	1319	50	5.97903608216e-05	8.32935342808e-09
1	11777841	12779466	1366	50	0.000135292846198	9.01905706562e-09
1	12779466	14891511	2579	50	1.98236773245e-05	1.41289715457e-08
1	14891511	16897730	4083	50	0.000149593180454	1.98014138093e-08
1	16897730	18662899	2903	50	7.90200186418e-06	1.54165521052e-08
1	18662899	20469149	3703	50	8.08516256226e-05	1.79308764741e-08
1	20469149	21736588	2066	50	5.37708831924e-05	1.04669124828e-08
1	21736588	23086883	2718	50	1.41741901372e-05	1.36527537592e-08
1	23086883	23920590	1027	50	7.03815057685e-05	6.20198004973e-09
1	23920590	25516845	2421	50	0.000172124793933	1.39782237114e-08
1	25516845	27401867	2028	50	7.5458501303e-05	1.06149159698e-08
1	27401867	30161881	2938	50	4.40620677111e-05	1.65997248774e-08
1	30161881	32438685	4147	50	4.87189541504e-05	1.90001414099e-08
1	32438685	34799758	2590	50	7.16853799737e-05	1.48303008797e-08
1	34799758	37549183	2869	50	8.46989505612e-05	1.60647679255e-08
1	37549183	38731847	1902	50	5.14935095453e-05	9.14502932151e-09
1	38731847	40200567	2042	50	5.88068369696e-05	1.12415076205e-08
1	40200567	41975327	2933	50	8.34766910484e-05	1.31040272513e-08
1	41975327	43758457	2548	50	6.09665245324e-05	1.16887999759e-08
1	43758457	44969183	1455	50	8.4457322944e-05	8.11105383044e-09
1	44969183	46899501	2474	50	0.000189533535365	1.42493460261e-08
1	46899501	48002576	1540	50	5.57731694321e-05	7.69767082145e-09
1	48002576	48978188	1218	50	1.62829084136e-05	6.29636077439e-09
1	48978188	49894177	750	46	4.08929011651e-05	5.30108450423e-09
1	49894177	51713726	1240	45	1.88577593813e-05	8.41150182243e-09
1	51713726	54226262	2519	50	1.62314960571e-06	1.39690823551e-08
1	54226262	56413117	3639	50	2.26524409517e-05	1.7374417935e-08
1	56413117	57021728	1026	48	8.39940771619e-06	4.32285814364e-09
1	57021728	58865399	3295	50	4.429971224e-05	1.44798541764e-08
1	58865399	59890409	1773	50	8.93244157578e-05	7.90016677013e-09
1	59890409	61922365	2469	50	7.27264350685e-05	1.29014090265e-08
1	61922365	63455089	2289	50	4.38232729314e-05	1.19444425759e-08
1	63455089	65041704	2971	50	5.59437534302e-05	1.20873059704e-08
1	65041704	66939404	2873	50	6.80407668932e-05	1.16117590158e-08
1	66939404	68477895	2885	50	0.000168917548925	1.22922861211e-08
1	68477895	69687616	1632	50	1.86868314391e-05	6.93780504062e-09
1	69687616	71372470	2634	50	1.77954751003e-05	1.06670072855e-08
1	71372470	71684405	514	20	4.60882096372e-05	2.75102954003e-09
1	71684405	74326907	3151	50	8.60130159614e-05	1.47240133706e-08
1	74326907	76728135	3459	50	5.67691591418e-06	1.21905727217e-08
1	76728135	79661198	4619	50	2.04945582431e-05	1.77590150874e-08
1	79661198	81354191	2772	50	4.82843087932e-05	1.25199605082e-08
1	81354191	83991748	4606	50	3.27169882835e-05	1.76669666998e-08
1	83991748	84844495	1190	50	2.72208686941e-05	5.395306957e-09
1	84844495	86454751	2803	50	3.49854765885e-05	1.26496735257e-08
1	86454751	88128631	2909	50	3.67611536862e-05	1.28909246403e-08
1	88128631	90066303	2381	50	5.34351494678e-05	1.07221395995e-08
1	90066303	91886317	2543	50	1.48725775296e-05	1.09253283093e-08
1	91886317	93536459	2419	50	0.000137063735994	1.34576826568e-08
1	93536459	94506191	1140	47	6.95980316084e-05	6.97369193677e-09
1	94506191	96150893	2647	50	1.39220871281e-05	1.20209443636e-08
