chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000210618321078	6.00811249082e-09
1	1892607	3582736	3045	50	0.000561708605075	1.33867721409e-08
1	3582736	4380811	1622	50	0.000286870975023	6.70476991365e-09
1	4380811	5913893	3790	50	5.89578112607e-05	1.10505739993e-08
1	5913893	7247335	2066	50	8.71808375072e-05	6.85980819251e-09
1	7247335	9365199	3371	50	0.000211076579617	1.19825876191e-08
1	9365199	10806984	1551	50	0.000224875881694	6.75675320741e-09
1	10806984	11777841	1319	50	0.000102149562825	5.11400011332e-09
1	11777841	12779466	1366	50	0.000284448366229	6.26181705293e-09
1	12779466	14891511	2579	50	7.25126741777e-05	8.46877529224e-09
1	14891511	16897730	4083	50	0.000458579982599	1.34813354425e-08
1	16897730	18662899	2903	50	0.000128996911218	9.60764314374e-09
1	18662899	20469149	3703	50	0.000113438458089	1.06324055838e-08
1	20469149	21736588	2066	50	0.000288326445208	7.49462865246e-09
1	21736588	23086883	2718	50	0.000152056614657	8.69830842595e-09
1	23086883	23920590	1027	50	0.000260462367613	4.7856080511e-09
1	23920590	25516845	2421	50	0.000316568611807	9.1534007442e-09
1	25516845	27401867	2028	50	0.000298455898396	7.54192197615e-09
1	27401867	30161881	2938	50	0.000286444919099	1.10749420323e-08
1	30161881	32438685	4147	50	0.000143341721948	1.15782314961e-08
1	32438685	34799758	2590	50	0.000192364484536	9.35827480906e-09
1	34799758	37549183	2869	50	7.55947873414e-05	9.30856183583e-09
1	37549183	38731847	1902	50	0.000221972165647	6.34227169574e-09
1	38731847	40200567	2042	50	0.000246444388635	7.66786343004e-09
1	40200567	41975327	2933	50	0.00018793601585	8.27988611724e-09
1	41975327	43758457	2548	50	0.000202963384095	7.65522507839e-09
1	43758457	44969183	1455	50	0.000370881904184	6.48735180813e-09
1	44969183	46899501	2474	50	0.000907116392706	1.27835834904e-08
1	46899501	48002576	1540	50	0.000601622247481	7.76306607818e-09
1	48002576	48978188	1218	50	0.000348282623637	5.61323782513e-09
1	48978188	49894177	750	46	0.000162466458557	3.8122287688e-09
1	49894177	51713726	1240	45	0.00027781187027	6.40232989446e-09
1	51713726	54226262	2519	50	0.000267887294332	9.63602865619e-09
1	54226262	56413117	3639	50	0.000147175500251	1.07812913e-08
1	56413117	57021728	1026	48	0.000146307235906	3.2981924744e-09
1	57021728	58865399	3295	50	5.85687156636e-05	8.47548825071e-09
1	58865399	59890409	1773	50	0.000129068742096	4.89290083974e-09
1	59890409	61922365	2469	50	0.000217027666407	8.38695432659e-09
1	61922365	63455089	2289	50	0.000142261233274	7.51641866662e-09
1	63455089	65041704	2971	50	8.20428421268e-05	7.18147487879e-09
1	65041704	66939404	2873	50	0.000141606067283	7.20954120083e-09
1	66939404	68477895	2885	50	0.000239744955295	7.73159986752e-09
1	68477895	69687616	1632	50	0.000192248484456	5.03780310909e-09
1	69687616	71372470	2634	50	6.96399314576e-05	6.46079581687e-09
1	71372470	71684405	514	20	7.77914545491e-05	1.8087927967e-09
1	71684405	74326907	3151	50	0.000106245247266	8.71268600071e-09
1	74326907	76728135	3459	50	2.79699686667e-05	7.14570820366e-09
1	76728135	79661198	4619	50	0.000125994063409	1.08857144501e-08
1	79661198	81354191	2772	50	8.14685358672e-05	7.46295395522e-09
1	81354191	83991748	4606	50	8.18246734263e-05	1.05099674574e-08
1	83991748	84844495	1190	50	0.000111377422078	3.62291192993e-09
1	84844495	86454751	2803	50	8.30271139363e-05	7.60806847033e-09
1	86454751	88128631	2909	50	9.85010025561e-05	7.83241214988e-09
1	88128631	90066303	2381	50	0.000360766737747	8.07899852103e-09
1	90066303	91886317	2543	50	0.000180552391371	7.28994506141e-09
1	91886317	93536459	2419	50	0.00020967007698	8.36986884967e-09
1	93536459	94506191	1140	47	0.000211398467331	4.94118775309e-09
1	94506191	96150893	2647	50	8.43670409773e-05	7.34920531708e-09
1	96150893	97885249	2645	50	0.000130530255044	6.90347474717e-09
1	97885249	99800604	2746	50	0.000111921844702	6.66518624921e-09
1	99800604	100826405	1173	50	0.000123255983389	4.72757567997e-09
1	100826405	102041016	2008	50	0.000151638935186	5.65867665902e-09
1	102041016	102898745	1606	50	7.05093851797e-05	3.72824080573e-09
1	102898745	103914211	1657	46	6.09926314371e-05	4.56558956529e-09
1	103914211	106087842	3786	50	8.34238321549e-05	7.26212772267e-09
1	106087842	108409665	3684	50	6.47568724695e-05	8.77579014357e-09
1	108409665	110303931	2587	50	0.000146581922083	7.60119951832e-09
1	110303931	111741737	2385	50	0.000182692451491	7.86357898973e-09
1	111741737	113273306	2727	50	0.000114977039947	7.52876196137e-09
1	113273306	114873845	2210	50	6.01370380698e-05	6.32242989933e-09
1	114873845	115880593	1385	50	0.000340997954385	5.91618626304e-09
1	115880593	118839067	3917	50	0.000311656203486	1.1987671303e-08
1	118839067	144977494	2387	50	0.000331437139365	8.21484297184e-09
1	144977494	148361253	1879	50	0.000264400655496	8.03359039451e-09
1	148361253	151538881	1856	50	0.000216225845888	7.70781334247e-09
1	151538881	153180829	2262	50	0.000179003619503	7.07277311382e-09
1	153180829	154770403	2121	50	0.000174142250482	6.24456739272e-09
1	154770403	156336133	1197	50	0.000833342572168	9.15734148512e-09
1	156336133	158027412	2617	50	0.000242031772846	8.17966547534e-09
1	158027412	159913048	3378	50	0.000364371505944	1.00807259137e-08
1	159913048	162346721	3599	50	0.000464871028275	1.23329152529e-08
1	162346721	165191702	4925	50	0.000131205218941	1.14639308741e-08
1	165191702	166460517	2243	50	3.10404731523e-05	5.86333581907e-09
1	166460517	169086324	4616	50	0.000194783517396	1.18659825716e-08
1	169086324	170557776	2990	50	8.08594945881e-05	5.84231570651e-09
1	170557776	173097907	4076	50	0.000415305310746	1.12373119296e-08
1	173097907	175089768	2301	50	0.000214785063282	6.96252247618e-09
1	175089768	177433381	3388	50	0.000102248369234	8.54806872536e-09
1	177433381	178944309	1959	50	8.12329343038e-05	5.47943070799e-09
1	178944309	178954470	12	1	4.86584860857e-05	1.07377959663e-10
1	178954470	181144121	4095	50	0.000182887928703	1.03505625297e-08
1	181144121	182755356	2660	50	0.000147004382385	7.68516966627e-09
1	182755356	184595513	2701	50	0.000192921391836	7.45921262873e-09
1	184595513	186810023	2508	50	8.20609831483e-05	6.43158453095e-09
1	186810023	188759945	4484	50	2.43618958694e-05	7.82095954504e-09
1	188759945	189904130	1447	38	3.95440603853e-05	4.55840045421e-09
1	189904130	191868930	3345	50	2.96138262954e-05	6.7577601911e-09
1	191868930	194107442	3152	50	9.80096773344e-05	7.89283676109e-09
1	194107442	196176201	3903	50	5.59461295498e-05	7.46779046265e-09
1	196176201	197311514	1181	35	9.77905094511e-05	3.15120446224e-09
1	197311514	199239884	2348	50	0.00142470252478	1.54278634175e-08
1	199239884	200137649	1783	50	0.000225865123532	5.22586647862e-09
1	200137649	201589975	2773	50	0.000151153448988	8.41188861957e-09
1	201589975	203334734	2438	50	0.000306579609913	9.25197305386e-09
1	203334734	204681068	2198	50	0.000437005358195	9.05306063174e-09
1	204681068	206073265	2109	50	0.000484439787667	8.84467001337e-09
1	206073265	208410364	2544	50	0.000186078466483	8.49518657821e-09
1	208410364	210787750	3757	50	0.000346095199458	1.25740525449e-08
1	210787750	212842330	3287	50	0.000267038801741	1.01167855671e-08
1	212842330	214578266	2495	50	0.000795411609236	1.18251371371e-08
1	214578266	216243634	2660	50	0.000168650340805	7.75199363481e-09
1	216243634	218705513	4363	50	0.000339614870024	1.2420878512e-08
1	218705513	219590571	1672	50	0.000193004414549	4.88039341402e-09
1	219590571	221858231	3435	50	0.000279130568172	9.73095696077e-09
1	221858231	222230220	623	37	5.80719926521e-05	2.08907572265e-09
1	222230220	224938520	3766	50	0.000211784057159	1.1644864021e-08
1	224938520	226810860	2741	50	0.000172360982369	9.0291285636e-09
1	226810860	229156248	4024	50	0.000127427598751	9.66178054496e-09
1	229156248	230685255	2238	50	0.000236924300771	7.81866506119e-09
1	230685255	232090252	2475	50	0.000871736574903	1.19570103564e-08
1	232090252	233429284	2513	50	0.000144590676467	7.97386723072e-09
1	233429284	234599434	2491	50	8.66578477143e-05	7.28609690784e-09
1	234599434	235819436	1973	50	0.000296380236939	8.11271630501e-09
1	235819436	237555628	3319	50	0.000110592890063	1.05378652726e-08
1	237555628	238567807	2249	50	6.07222039069e-05	6.29434670684e-09
1	238567807	239925314	2468	50	7.44097615834e-05	6.87341471146e-09
1	239925314	240564091	1578	50	3.60486840206e-05	4.53743322484e-09
1	240564091	241582220	1948	50	3.73299860949e-05	6.7634792287e-09
1	241582220	242071602	943	50	7.18390815455e-05	3.2065975606e-09
1	242071602	244109499	3322	50	0.000118991693841	1.02472931741e-08
1	244109499	245506746	2507	50	0.000139819436186	8.77425775077e-09
1	245506746	247344518	4109	50	7.31939559726e-05	1.11456317183e-08
1	247344518	249239466	3204	50	0.00055270701935	1.21972253168e-08
2	10133	1781022	3987	50	0.000107639623913	1.0916146077e-08
2	1781022	3973779	4493	50	0.000127793698588	1.14843675579e-08
2	3973779	5708337	3054	50	7.40332229714e-06	8.24898893868e-09
2	5708337	6836254	2420	50	8.15953498137e-05	6.6545711965e-09
2	6836254	8422147	2557	50	9.44694050202e-05	7.77194449612e-09
2	8422147	10298469	3371	50	0.000365624314714	1.21673757047e-08
2	10298469	12419150	4691	50	0.000127463283406	1.14732544909e-08
2	12419150	14335308	3466	50	0.000157592931921	9.81175581897e-09
2	14335308	16329735	3367	50	7.07344211407e-05	9.70174374206e-09
2	16329735	18647423	3804	50	7.7480860816e-05	1.02653369117e-08
2	18647423	19692404	1571	50	8.04780421979e-05	4.51602742364e-09
2	19692404	21050490	2742	50	0.000161816897912	8.47605814863e-09
2	21050490	23341383	2482	50	9.54737521856e-05	8.77027228029e-09
2	23341383	24686918	2095	50	0.000677324530849	1.04069774431e-08
2	24686918	26894985	2665	50	0.000433999646176	1.06634248032e-08
2	26894985	28598777	1314	50	0.000448182087662	7.49695535596e-09
2	28598777	29217559	1059	50	0.000209741100363	4.44124720189e-09
2	29217559	30463711	2306	50	4.67178000867e-05	7.69740316018e-09
2	30463711	31550450	2324	50	0.00017135967062	8.06245378995e-09
2	31550450	33363777	2345	50	0.000147181467176	9.95803629106e-09
2	33363777	35345028	4248	50	8.48942283755e-05	1.12208239951e-08
2	35345028	36122006	2035	50	0.00012526500398	5.60403106056e-09
2	36122006	38132712	3874	50	0.000180916617876	1.18005117461e-08
2	38132712	39031337	1516	50	5.3529567274e-05	6.09768523913e-09
2	39031337	40281483	1376	50	0.000176615717305	6.25490716826e-09
2	40281483	43309590	5973	50	0.00017530957039	1.17757830126e-08
2	43309590	44313803	1758	50	0.000538510406033	9.22839575631e-09
2	44313803	46482634	4137	50	0.00224634841163	2.42603016222e-08
2	46482634	47318772	1661	50	0.000343838867216	7.7964645749e-09
2	47318772	48213001	1563	50	0.000102696608797	6.438187063e-09
2	48213001	50022257	3445	50	0.000126700460023	1.14595312104e-08
2	50022257	50818928	1672	50	7.36008753761e-05	5.44713638095e-09
2	50818928	52491133	2917	50	1.20647375721e-05	9.6616254512e-09
2	52491133	53508452	2382	50	3.08277656999e-05	7.38908206021e-09
2	53508452	54685226	2128	50	0.000155477840263	8.00766733805e-09
2	54685226	56203345	2673	50	0.000199606016029	9.43365218944e-09
2	56203345	57429100	2027	50	3.73969717496e-05	6.74580667796e-09
2	57429100	58297315	1799	50	5.62966937443e-05	5.16757968904e-09
2	58297315	60292000	2693	50	0.000345580476122	1.19872058499e-08
2	60292000	62429044	2565	50	0.00145735123235	1.76668552581e-08
2	62429044	64625913	2554	50	0.000299809019905	1.10508376122e-08
2	64625913	65933444	2043	50	0.000341100455798	8.07389037984e-09
2	65933444	67226166	1906	50	0.00023771426545	7.24028220259e-09
2	67226166	68010176	1667	50	6.73544968064e-05	5.24745739582e-09
2	68010176	69139564	2072	50	9.98961473942e-05	5.94309737331e-09
2	69139564	70755198	2288	50	0.000206389403831	6.99338056704e-09
2	70755198	73174848	3647	50	0.000112354680741	1.13820441788e-08
2	73174848	75630086	3248	50	0.000132850955047	1.15057797497e-08
2	75630086	76913661	2501	50	2.69198638452e-06	6.37906954681e-09
2	76913661	78079264	2259	50	4.25175588009e-05	6.87601573575e-09
2	78079264	80050403	3830	50	2.82002634533e-05	9.5907427604e-09
2	80050403	81620841	2408	50	6.31067734673e-05	7.37061114442e-09
2	81620841	85140680	5926	50	2.88666671509e-05	1.08689160542e-08
2	85140680	88038507	2986	50	0.000309498029638	9.97282318835e-09
2	88038507	89154526	1097	50	7.20364002211e-05	4.21362521103e-09
2	89154526	95326452	220	12	4.046818749e-05	9.55410523721e-10
2	95326452	98995201	2181	50	0.000107401533168	9.5320175727e-09
2	98995201	101822329	4016	50	0.000326362336039	1.21356716346e-08
2	101822329	102688765	1349	50	0.000117042397617	3.88133183657e-09
2	102688765	103588215	1771	50	5.1952553231e-05	4.14715168013e-09
2	103588215	105125034	1589	50	2.02599705296e-05	5.33870759914e-09
2	105125034	106210058	1814	50	8.13518710875e-05	5.13779851286e-09
2	106210058	107408267	2314	50	5.46489962655e-05	5.94649869907e-09
2	107408267	108429177	1794	50	4.65111616322e-05	4.11003236516e-09
2	108429177	110572432	2799	50	0.000206807860976	8.47494053639e-09
2	110572432	113921856	3289	50	0.00128486992309	1.6385101736e-08
2	113921856	116772470	3886	50	0.000498236471396	1.28898030338e-08
2	116772470	118367466	2468	50	7.03511706647e-05	7.78527978613e-09
