chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	8.84459504706e-05	5.13841576987e-09
1	1892607	3582736	3045	50	0.00052702581149	1.28648658009e-08
1	3582736	4380811	1622	50	5.41233137074e-05	5.16755384391e-09
1	4380811	5913893	3790	50	2.87138984857e-05	1.05771556174e-08
1	5913893	7247335	2066	50	9.22889757628e-05	6.71109266653e-09
1	7247335	9365199	3371	50	0.000412928615061	1.28787503235e-08
1	9365199	10806984	1551	50	0.00031782745292	7.14214655462e-09
1	10806984	11777841	1319	50	7.82839825362e-05	4.84161114661e-09
1	11777841	12779466	1366	50	0.000119399205782	5.13755682386e-09
1	12779466	14891511	2579	50	2.00093065055e-05	7.93371920927e-09
1	14891511	16897730	4083	50	0.000131201335739	1.1205287515e-08
1	16897730	18662899	2903	50	5.66400587919e-05	8.92838869059e-09
1	18662899	20469149	3703	50	9.2320102824e-05	1.02289694035e-08
1	20469149	21736588	2066	50	8.8962917536e-05	6.13318927766e-09
1	21736588	23086883	2718	50	0.000112709030753	8.24167294542e-09
1	23086883	23920590	1027	50	8.46229280802e-05	3.63641569614e-09
1	23920590	25516845	2421	50	0.000775582929513	1.16557314103e-08
1	25516845	27401867	2028	50	0.000843371626703	1.05908470607e-08
1	27401867	30161881	2938	50	0.000491620308206	1.20195133664e-08
1	30161881	32438685	4147	50	0.000152312503301	1.13310211492e-08
1	32438685	34799758	2590	50	3.36944695181e-05	8.17824631106e-09
1	34799758	37549183	2869	50	0.000462922687624	1.13657241068e-08
1	37549183	38731847	1902	50	0.000162044143717	5.83295785121e-09
1	38731847	40200567	2042	50	0.000201928141169	7.21602638235e-09
1	40200567	41975327	2933	50	0.000229930992137	8.32018204437e-09
1	41975327	43758457	2548	50	0.000116076196175	6.94891927108e-09
1	43758457	44969183	1455	50	0.000126077092286	4.89227593249e-09
1	44969183	46899501	2474	50	0.00071481516733	1.13702519013e-08
1	46899501	48002576	1540	50	0.000132723255842	4.82648216939e-09
1	48002576	48978188	1218	50	0.000129150040778	4.19259562478e-09
1	48978188	49894177	750	46	7.68587236962e-05	3.21485031739e-09
1	49894177	51713726	1240	45	2.23326577841e-05	4.73824140197e-09
1	51713726	54226262	2519	50	0.000261542991547	9.35955882112e-09
1	54226262	56413117	3639	50	0.000354519937749	1.17361458576e-08
1	56413117	57021728	1026	48	0.000191907238702	3.48846548569e-09
1	57021728	58865399	3295	50	3.19740447162e-05	8.09301768512e-09
1	58865399	59890409	1773	50	7.7168763856e-05	4.46275363067e-09
1	59890409	61922365	2469	50	6.39031683111e-05	7.26881513268e-09
1	61922365	63455089	2289	50	0.00133352670185	1.43904822797e-08
1	63455089	65041704	2971	50	9.98215120816e-05	7.09891948693e-09
1	65041704	66939404	2873	50	0.000120324695262	6.89933087486e-09
1	66939404	68477895	2885	50	0.000209967637169	7.36489256368e-09
1	68477895	69687616	1632	50	3.22758669932e-05	3.96961073229e-09
1	69687616	71372470	2634	50	5.40340039009e-05	6.19854740866e-09
1	71372470	71684405	514	20	9.71787109791e-05	1.8785066317e-09
1	71684405	74326907	3151	50	4.42215719937e-05	8.11724081639e-09
1	74326907	76728135	3459	50	3.5304928955e-05	6.99785398231e-09
1	76728135	79661198	4619	50	0.000171119796334	1.08707954783e-08
1	79661198	81354191	2772	50	5.31972338384e-05	7.09961708701e-09
1	81354191	83991748	4606	50	0.000180935073739	1.08228236926e-08
1	83991748	84844495	1190	50	5.11092434262e-05	3.17622297469e-09
1	84844495	86454751	2803	50	3.94289294398e-05	7.14999822384e-09
1	86454751	88128631	2909	50	2.75127939893e-05	7.20698199759e-09
1	88128631	90066303	2381	50	0.000149315098471	6.63588869138e-09
1	90066303	91886317	2543	50	0.000128039044039	6.79553666014e-09
1	91886317	93536459	2419	50	0.000152697722837	7.82217605625e-09
1	93536459	94506191	1140	47	0.000179004437896	4.63179444471e-09
1	94506191	96150893	2647	50	0.000776284817223	1.12618822962e-08
1	96150893	97885249	2645	50	8.73261930499e-05	6.47062528541e-09
1	97885249	99800604	2746	50	3.06078802343e-05	6.01135078783e-09
1	99800604	100826405	1173	50	9.01035615816e-06	3.93260155534e-09
1	100826405	102041016	2008	50	8.43514010416e-05	5.11855831841e-09
1	102041016	102898745	1606	50	2.31565416014e-05	3.35171071532e-09
1	102898745	103914211	1657	46	6.45245956266e-05	4.46674420811e-09
1	103914211	106087842	3786	50	6.67542844891e-05	6.97317698274e-09
1	106087842	108409665	3684	50	6.17388109742e-05	8.52583523973e-09
1	108409665	110303931	2587	50	0.000118417987141	7.24004300678e-09
1	110303931	111741737	2385	50	0.000255782681137	8.09895424888e-09
1	111741737	113273306	2727	50	0.0014929212291	1.55090845209e-08
1	113273306	114873845	2210	50	0.000236998487098	7.20398854745e-09
1	114873845	115880593	1385	50	0.000641258460505	7.55869002068e-09
1	115880593	118839067	3917	50	0.00053828201205	1.30384808442e-08
1	118839067	144977494	2387	50	9.2194297043e-05	6.60060026048e-09
1	144977494	148361253	1879	50	0.000160546229721	7.22144339882e-09
1	148361253	151538881	1856	50	0.000198673275274	7.41234127467e-09
1	151538881	153180829	2262	50	7.64562572701e-05	6.28752171399e-09
1	153180829	154770403	2121	50	0.000633465175032	8.80951605942e-09
1	154770403	156336133	1197	50	0.000156756272949	4.97306099047e-09
1	156336133	158027412	2617	50	0.000454210987115	9.23639430786e-09
1	158027412	159913048	3378	50	0.000382973558955	9.94823594647e-09
1	159913048	162346721	3599	50	0.000571243251453	1.26706079791e-08
1	162346721	165191702	4925	50	0.000123882941694	1.1121766867e-08
1	165191702	166460517	2243	50	9.13996782954e-06	5.57671839124e-09
1	166460517	169086324	4616	50	9.99726825254e-05	1.09971136476e-08
1	169086324	170557776	2990	50	0.000159934032982	6.15844544429e-09
1	170557776	173097907	4076	50	0.00931080359886	6.38426231592e-08
1	173097907	175089768	2301	50	0.000318583681341	7.4060369831e-09
1	175089768	177433381	3388	50	0.000192323438762	8.8601102328e-09
1	177433381	178944309	1959	50	8.02903234051e-05	5.33127867969e-09
1	178944309	178954470	12	1	3.7254020142e-05	3.87257658089e-11
1	178954470	181144121	4095	50	6.57192890958e-05	9.38908313564e-09
1	181144121	182755356	2660	50	1.54032989915e-05	6.70814440393e-09
1	182755356	184595513	2701	50	0.000132332975674	6.91335496244e-09
1	184595513	186810023	2508	50	0.000152580778554	6.68161958423e-09
1	186810023	188759945	4484	50	1.30056485578e-05	7.54380792073e-09
1	188759945	189904130	1447	38	6.96349616213e-05	4.61521163492e-09
1	189904130	191868930	3345	50	1.84762423884e-05	6.51082941958e-09
1	191868930	194107442	3152	50	0.000144331266033	7.96201952423e-09
1	194107442	196176201	3903	50	3.74008974862e-05	7.15997905486e-09
1	196176201	197311514	1181	35	0.00011447795679	3.17079410605e-09
1	197311514	199239884	2348	50	0.000209845491135	7.91894741742e-09
1	199239884	200137649	1783	50	0.000151034727	4.6589596997e-09
1	200137649	201589975	2773	50	3.63924334357e-05	7.51519530342e-09
1	201589975	203334734	2438	50	0.000120176700626	7.92002180918e-09
1	203334734	204681068	2198	50	0.000257794215025	7.78055159884e-09
1	204681068	206073265	2109	50	0.000223347598028	7.09668538357e-09
1	206073265	208410364	2544	50	0.000775388106769	1.17784675202e-08
1	208410364	210787750	3757	50	5.31331272484e-05	1.05186122722e-08
1	210787750	212842330	3287	50	0.000290322297851	1.00034538395e-08
1	212842330	214578266	2495	50	6.13751571214e-05	7.21418365185e-09
1	214578266	216243634	2660	50	5.31475094734e-05	6.87045597163e-09
1	216243634	218705513	4363	50	3.55030792161e-05	1.03028262626e-08
1	218705513	219590571	1672	50	1.33655886242e-05	3.70031258121e-09
1	219590571	221858231	3435	50	0.000147387773642	8.70798540902e-09
1	221858231	222230220	623	37	6.75520224955e-05	2.091294371e-09
1	222230220	224938520	3766	50	0.000245811517248	1.15505141042e-08
1	224938520	226810860	2741	50	0.000273883779347	9.40193892033e-09
1	226810860	229156248	4024	50	0.0001702045678	9.66539386927e-09
1	229156248	230685255	2238	50	0.000448692186501	8.88177859639e-09
1	230685255	232090252	2475	50	9.59980968999e-05	7.1026459199e-09
