chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	7.95083393697e-05	9.58957203412e-09
1	1892607	3582736	3045	50	7.26597896781e-05	1.93521629232e-08
1	3582736	4380811	1622	50	3.81020845997e-05	9.69589809385e-09
1	4380811	5913893	3790	50	1.3339636441e-05	2.01641612216e-08
1	5913893	7247335	2066	50	2.21984250828e-05	1.20936157224e-08
1	7247335	9365199	3371	50	9.73486122338e-06	2.01599483302e-08
1	9365199	10806984	1551	50	-3.48164870908e-06	1.01460694605e-08
1	10806984	11777841	1319	50	3.21793845856e-05	8.74714068511e-09
1	11777841	12779466	1366	50	9.99725717932e-05	9.4040716707e-09
1	12779466	14891511	2579	50	-3.08067635578e-06	1.50552072945e-08
1	14891511	16897730	4083	50	7.18298752745e-05	2.06807917269e-08
1	16897730	18662899	2903	50	3.93760304012e-05	1.68959220382e-08
1	18662899	20469149	3703	50	1.32567458934e-05	1.87689030285e-08
1	20469149	21736588	2066	50	5.92568504487e-05	1.13268289788e-08
1	21736588	23086883	2718	50	1.57103927024e-05	1.47443290379e-08
1	23086883	23920590	1027	50	4.53157655927e-05	6.46961120472e-09
1	23920590	25516845	2421	50	1.75163804595e-05	1.37611898536e-08
1	25516845	27401867	2028	50	0.00018690679712	1.23497015533e-08
1	27401867	30161881	2938	50	0.00012556721177	1.85733305079e-08
1	30161881	32438685	4147	50	1.54646973485e-05	2.02157338425e-08
1	32438685	34799758	2590	50	3.48511725353e-05	1.56806837393e-08
1	34799758	37549183	2869	50	2.03083360791e-05	1.67812816738e-08
1	37549183	38731847	1902	50	3.29333300774e-05	9.70398926167e-09
1	38731847	40200567	2042	50	2.33360291932e-05	1.18245324928e-08
1	40200567	41975327	2933	50	3.61492192876e-05	1.37284432778e-08
1	41975327	43758457	2548	50	4.8681641251e-05	1.24968840616e-08
1	43758457	44969183	1455	50	-1.89347227222e-05	7.88247446025e-09
1	44969183	46899501	2474	50	1.40769221301e-05	1.38766200838e-08
1	46899501	48002576	1540	50	5.52065416198e-05	8.28867116142e-09
1	48002576	48978188	1218	50	-6.0564803848e-06	6.61087968532e-09
1	48978188	49894177	750	46	2.37789910418e-05	5.57213608428e-09
1	49894177	51713726	1240	45	5.52955980553e-05	9.37412254627e-09
1	51713726	54226262	2519	50	-1.79354622979e-05	1.49160313757e-08
1	54226262	56413117	3639	50	0.000269464304056	2.0779184445e-08
1	56413117	57021728	1026	48	0.000107249329483	5.47616915974e-09
1	57021728	58865399	3295	50	2.13208191818e-05	1.54253568899e-08
1	58865399	59890409	1773	50	-1.18076164445e-05	7.67204414018e-09
1	59890409	61922365	2469	50	4.74455550656e-05	1.36945443646e-08
1	61922365	63455089	2289	50	0.000374338960464	1.55954435447e-08
1	63455089	65041704	2971	50	2.62921703856e-05	1.27856846059e-08
1	65041704	66939404	2873	50	-3.40089663495e-06	1.19254825144e-08
1	66939404	68477895	2885	50	3.04763586349e-05	1.20772427783e-08
1	68477895	69687616	1632	50	2.31321763654e-05	7.52167328218e-09
1	69687616	71372470	2634	50	-3.4782191882e-05	1.10772588223e-08
1	71372470	71684405	514	20	1.99789328037e-05	2.74577979473e-09
1	71684405	74326907	3151	50	9.50031622641e-05	1.59386046386e-08
1	74326907	76728135	3459	50	1.06598631731e-05	1.31977617662e-08
1	76728135	79661198	4619	50	-7.97231405834e-06	1.89252999019e-08
1	79661198	81354191	2772	50	6.43526894919e-06	1.31545829185e-08
1	81354191	83991748	4606	50	8.88667101902e-06	1.8860339619e-08
1	83991748	84844495	1190	50	1.16138956832e-05	5.69045589387e-09
1	84844495	86454751	2803	50	8.9463621016e-06	1.3428711984e-08
1	86454751	88128631	2909	50	5.81864405944e-05	1.407871822e-08
1	88128631	90066303	2381	50	1.9457837129e-05	1.12782215916e-08
1	90066303	91886317	2543	50	2.03173007493e-05	1.1833478806e-08
1	91886317	93536459	2419	50	2.61783814571e-05	1.35703948821e-08
1	93536459	94506191	1140	47	3.28812892156e-05	7.20692105033e-09
1	94506191	96150893	2647	50	4.05960259381e-05	1.31904125821e-08
1	96150893	97885249	2645	50	3.86126977875e-05	1.18234855063e-08
1	97885249	99800604	2746	50	-2.70715662797e-05	1.10478445531e-08
1	99800604	100826405	1173	50	1.9494625027e-05	7.68503791664e-09
1	100826405	102041016	2008	50	3.27608245338e-06	8.97263374681e-09
1	102041016	102898745	1606	50	9.73780596998e-06	6.3291684543e-09
1	102898745	103914211	1657	46	1.14961815315e-05	8.01433828548e-09
1	103914211	106087842	3786	50	5.72640840965e-06	1.27517677708e-08
1	106087842	108409665	3684	50	4.43150086735e-05	1.61059024325e-08
1	108409665	110303931	2587	50	0.000720118168369	1.85473333257e-08
1	110303931	111741737	2385	50	3.26263230332e-05	1.29813119473e-08
1	111741737	113273306	2727	50	8.99475160394e-05	1.35876299722e-08
1	113273306	114873845	2210	50	5.20899033418e-05	1.16389760754e-08
1	114873845	115880593	1385	50	7.93098995788e-05	7.9569258804e-09
1	115880593	118839067	3917	50	6.47464212139e-06	1.90104316797e-08
1	118839067	144977494	2387	50	6.49443929356e-06	1.17536693668e-08
1	144977494	148361253	1879	50	1.59403519956e-05	1.22447384607e-08
1	148361253	151538881	1856	50	4.34423468089e-05	1.24031906622e-08
1	151538881	153180829	2262	50	2.87650623462e-05	1.15148736596e-08
1	153180829	154770403	2121	50	7.96353240264e-05	1.04408497454e-08
1	154770403	156336133	1197	50	5.50955631307e-05	8.2961652802e-09
1	156336133	158027412	2617	50	0.000107385087145	1.35197451892e-08
1	158027412	159913048	3378	50	6.71835295871e-05	1.53625082045e-08
1	159913048	162346721	3599	50	7.86417384056e-05	1.8526323195e-08
1	162346721	165191702	4925	50	6.19575139375e-05	2.05227345104e-08
1	165191702	166460517	2243	50	-3.92463050856e-06	1.06479033937e-08
1	166460517	169086324	4616	50	5.67615706086e-06	2.0092423163e-08
1	169086324	170557776	2990	50	1.91622050326e-05	1.02392916941e-08
1	170557776	173097907	4076	50	2.40305663022e-05	1.6591488838e-08
