chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	8.83676583225e-05	1.4214940438e-08
1	1892607	3582736	3045	50	8.28090491358e-05	2.93178100117e-08
1	3582736	4380811	1622	50	8.20991905595e-06	1.40859449068e-08
1	4380811	5913893	3790	50	2.49585650077e-05	3.07373392552e-08
1	5913893	7247335	2066	50	2.73806223322e-05	1.81800843446e-08
1	7247335	9365199	3371	50	4.48372845155e-05	3.0980852105e-08
1	9365199	10806984	1551	50	0.000121003686191	1.64556605716e-08
1	10806984	11777841	1319	50	0.000102227695871	1.36559414253e-08
1	11777841	12779466	1366	50	6.43156099908e-05	1.34254973549e-08
1	12779466	14891511	2579	50	-1.89891891273e-05	2.2598722812e-08
1	14891511	16897730	4083	50	8.02346228953e-05	3.13572997017e-08
1	16897730	18662899	2903	50	4.53249277643e-05	2.55605031742e-08
1	18662899	20469149	3703	50	-1.10887586602e-05	2.8210497726e-08
1	20469149	21736588	2066	50	3.74082285245e-05	1.66301542442e-08
1	21736588	23086883	2718	50	4.04007114251e-05	2.24871099698e-08
1	23086883	23920590	1027	50	-9.92492353691e-06	8.8410650713e-09
1	23920590	25516845	2421	50	0.000119848284793	2.17577775809e-08
1	25516845	27401867	2028	50	1.56421100175e-05	1.63692030872e-08
1	27401867	30161881	2938	50	9.43860204673e-05	2.75580446871e-08
1	30161881	32438685	4147	50	9.56770775443e-05	3.15157839761e-08
1	32438685	34799758	2590	50	4.78206582793e-05	2.37659870094e-08
1	34799758	37549183	2869	50	4.65424530735e-05	2.56384931754e-08
1	37549183	38731847	1902	50	6.2178343229e-05	1.4713573892e-08
1	38731847	40200567	2042	50	9.79189118696e-05	1.84702343322e-08
1	40200567	41975327	2933	50	0.00013338161969	2.16088469764e-08
1	41975327	43758457	2548	50	3.51912407988e-05	1.85462559362e-08
1	43758457	44969183	1455	50	7.22053492826e-05	1.26636398187e-08
1	44969183	46899501	2474	50	2.64286375706e-05	2.10251825401e-08
1	46899501	48002576	1540	50	2.18501692899e-05	1.18404265996e-08
1	48002576	48978188	1218	50	6.45853111755e-06	9.87308971619e-09
1	48978188	49894177	750	46	6.49580406785e-05	8.49189585015e-09
1	49894177	51713726	1240	45	4.19904408496e-05	1.37167123713e-08
1	51713726	54226262	2519	50	-2.46954976348e-05	2.25142162427e-08
1	54226262	56413117	3639	50	2.77884450056e-05	2.84514090709e-08
1	56413117	57021728	1026	48	1.09627260626e-05	6.7443017182e-09
1	57021728	58865399	3295	50	-1.58357749324e-06	2.30382598543e-08
1	58865399	59890409	1773	50	2.02577288413e-05	1.1720666335e-08
