chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000135143781086	6.13482687248e-09
1	1892607	3582736	3045	50	0.000151537788138	1.20897665515e-08
1	3582736	4380811	1622	50	0.000551670399366	9.03787410533e-09
1	4380811	5913893	3790	50	6.27468225482e-05	1.23000446249e-08
1	5913893	7247335	2066	50	0.000100815859795	7.68950959897e-09
1	7247335	9365199	3371	50	0.000131028556941	1.27500913215e-08
1	9365199	10806984	1551	50	8.42105882872e-05	6.54955964088e-09
1	10806984	11777841	1319	50	3.3543695047e-05	5.22122038811e-09
1	11777841	12779466	1366	50	0.000169976978254	6.14478975335e-09
1	12779466	14891511	2579	50	5.86024698538e-05	9.31006778428e-09
1	14891511	16897730	4083	50	5.22283020207e-05	1.225334424e-08
1	16897730	18662899	2903	50	8.22044902528e-05	1.03485110289e-08
1	18662899	20469149	3703	50	0.000134799767624	1.19275279352e-08
1	20469149	21736588	2066	50	0.000158736742946	7.41836656854e-09
1	21736588	23086883	2718	50	0.000281184811875	1.04460249856e-08
1	23086883	23920590	1027	50	0.000488961178522	6.67940575218e-09
1	23920590	25516845	2421	50	0.000469235880078	1.10441116637e-08
1	25516845	27401867	2028	50	0.00152266820034	1.60459316151e-08
1	27401867	30161881	2938	50	0.000285364154261	1.22168084625e-08
1	30161881	32438685	4147	50	0.00010124023941	1.25654648061e-08
1	32438685	34799758	2590	50	6.77935905172e-05	9.5551042277e-09
1	34799758	37549183	2869	50	6.19022332222e-05	1.02447256978e-08
1	37549183	38731847	1902	50	0.000337485796559	7.71185454906e-09
1	38731847	40200567	2042	50	0.000492125288985	1.00042657688e-08
1	40200567	41975327	2933	50	0.000305857249512	9.89635311879e-09
1	41975327	43758457	2548	50	0.000624070303993	1.11180595153e-08
1	43758457	44969183	1455	50	0.000136407685345	5.60672259482e-09
1	44969183	46899501	2474	50	0.00037083659102	1.05054259902e-08
1	46899501	48002576	1540	50	0.000258162713991	6.25681514765e-09
1	48002576	48978188	1218	50	4.17806905136e-05	4.18777224691e-09
1	48978188	49894177	750	46	9.37617337517e-05	3.75206425954e-09
1	49894177	51713726	1240	45	0.000137128990484	6.13736806511e-09
1	51713726	54226262	2519	50	9.40006687248e-05	9.5247971019e-09
1	54226262	56413117	3639	50	0.000129024588535	1.18299979796e-08
1	56413117	57021728	1026	48	0.000139932020786	3.57955652291e-09
1	57021728	58865399	3295	50	1.9950534308e-06	9.05139886347e-09
1	58865399	59890409	1773	50	7.05076744853e-05	5.02959969332e-09
1	59890409	61922365	2469	50	9.82691109957e-05	8.50356707984e-09
1	61922365	63455089	2289	50	2.34247137502e-05	7.56078831574e-09
1	63455089	65041704	2971	50	3.55276579367e-05	7.66772617913e-09
1	65041704	66939404	2873	50	0.00012589444482	7.87365894821e-09
1	66939404	68477895	2885	50	0.00014931969356	7.9467487347e-09
1	68477895	69687616	1632	50	8.71256661225e-05	4.87452773764e-09
1	69687616	71372470	2634	50	5.43931754139e-05	7.06854934347e-09
1	71372470	71684405	514	20	5.67684688491e-05	1.85378782861e-09
1	71684405	74326907	3151	50	2.95542839518e-05	9.17096731084e-09
1	74326907	76728135	3459	50	2.25902955317e-05	7.90762973302e-09
1	76728135	79661198	4619	50	0.000219917214296	1.26668470426e-08
1	79661198	81354191	2772	50	4.40925186503e-05	8.03901586896e-09
1	81354191	83991748	4606	50	2.61098288674e-05	1.13118332831e-08
1	83991748	84844495	1190	50	8.56686641201e-05	3.83074134364e-09
1	84844495	86454751	2803	50	0.000106761041974	8.58766319658e-09
1	86454751	88128631	2909	50	6.31574659545e-05	8.45701009507e-09
1	88128631	90066303	2381	50	9.63389431031e-05	7.1887215497e-09
1	90066303	91886317	2543	50	0.000172420909716	7.99765963239e-09
1	91886317	93536459	2419	50	0.00027558453206	9.65888919911e-09
1	93536459	94506191	1140	47	8.4507455643e-05	4.62289687749e-09
1	94506191	96150893	2647	50	4.12837626053e-05	7.87527060016e-09
1	96150893	97885249	2645	50	2.62162946648e-05	6.9753448832e-09
1	97885249	99800604	2746	50	7.26385158448e-05	7.12893435827e-09
1	99800604	100826405	1173	50	4.86026764685e-05	4.74593075272e-09
1	100826405	102041016	2008	50	6.45891505698e-05	5.6932164943e-09
1	102041016	102898745	1606	50	2.00901050414e-05	3.80583227235e-09
1	102898745	103914211	1657	46	9.15483209882e-06	4.73152973621e-09
1	103914211	106087842	3786	50	6.32627352062e-05	7.92412859736e-09
1	106087842	108409665	3684	50	0.000145134972829	1.02534003278e-08
1	108409665	110303931	2587	50	0.000229263678284	8.93175505454e-09
1	110303931	111741737	2385	50	0.000166853648959	8.58624187241e-09
1	111741737	113273306	2727	50	0.000211210914821	8.94817401745e-09
1	113273306	114873845	2210	50	0.000134687282145	7.4870304364e-09
1	114873845	115880593	1385	50	0.00018133279067	5.45533994784e-09
1	115880593	118839067	3917	50	0.000187040237684	1.2437326527e-08
1	118839067	144977494	2387	50	7.55610657268e-05	7.40372288146e-09
1	144977494	148361253	1879	50	3.77954868496e-05	7.41057876798e-09
1	148361253	151538881	1856	50	0.000429875648786	9.85645317312e-09
1	151538881	153180829	2262	50	0.000126552529363	7.47567283772e-09
1	153180829	154770403	2121	50	0.000418349779278	8.43490210027e-09
1	154770403	156336133	1197	50	0.000457962728549	7.52584258228e-09
1	156336133	158027412	2617	50	0.000181574012615	8.63430503705e-09
1	158027412	159913048	3378	50	0.00134624485859	1.73254937318e-08
1	159913048	162346721	3599	50	0.000201267297837	1.1884480127e-08
1	162346721	165191702	4925	50	3.01340401622e-05	1.2067012348e-08
1	165191702	166460517	2243	50	9.69076179771e-05	6.93116879429e-09
1	166460517	169086324	4616	50	0.000242410796941	1.34390937374e-08
1	169086324	170557776	2990	50	0.000115633025222	6.69339638798e-09
1	170557776	173097907	4076	50	0.000473500612328	1.27293490326e-08
1	173097907	175089768	2301	50	7.04242895202e-05	6.75834747618e-09
1	175089768	177433381	3388	50	9.44133802251e-05	9.42653232852e-09
1	177433381	178944309	1959	50	0.000107263004156	6.23406212083e-09
1	178944309	178954470	12	1	3.85060597212e-05	3.95407015366e-11
1	178954470	181144121	4095	50	9.29595348433e-05	1.08819349709e-08
1	181144121	182755356	2660	50	0.000122592965027	8.34575820695e-09
1	182755356	184595513	2701	50	0.00010636513243	7.68447114914e-09
1	184595513	186810023	2508	50	0.000207459349351	7.92311863155e-09
1	186810023	188759945	4484	50	6.55079667829e-05	8.95559195476e-09
1	188759945	189904130	1447	38	8.49999936188e-05	5.34654970641e-09
1	189904130	191868930	3345	50	5.56427848677e-05	7.67459815677e-09
1	191868930	194107442	3152	50	0.000117289594941	8.87106607957e-09
1	194107442	196176201	3903	50	2.58756831964e-05	8.09959407391e-09
1	196176201	197311514	1181	35	6.48948076672e-05	3.26528804852e-09
1	197311514	199239884	2348	50	0.000147403948798	8.56858577203e-09
1	199239884	200137649	1783	50	5.64109985256e-05	4.66526273906e-09
1	200137649	201589975	2773	50	0.000132801463646	9.19125322018e-09
1	201589975	203334734	2438	50	0.000323075234781	1.02931070808e-08
1	203334734	204681068	2198	50	0.000978066741933	1.33526223664e-08
1	204681068	206073265	2109	50	0.00045003707109	9.45548697949e-09
1	206073265	208410364	2544	50	0.000232776163533	9.68466895662e-09
1	208410364	210787750	3757	50	7.44898156623e-05	1.21415943576e-08
1	210787750	212842330	3287	50	0.000480438835617	1.25203452465e-08
1	212842330	214578266	2495	50	9.18440773096e-05	8.41748542727e-09
1	214578266	216243634	2660	50	6.06688201582e-05	7.88252099521e-09
1	216243634	218705513	4363	50	7.82607048369e-05	1.20388850795e-08
1	218705513	219590571	1672	50	2.64763117437e-05	4.31093727522e-09
1	219590571	221858231	3435	50	0.000274152392561	1.06992559727e-08
1	221858231	222230220	623	37	6.69972553478e-05	2.36139827842e-09
1	222230220	224938520	3766	50	0.000162914051658	1.25727240713e-08
1	224938520	226810860	2741	50	0.000320049324045	1.09250926965e-08
1	226810860	229156248	4024	50	0.00012835239414	1.0712597537e-08
1	229156248	230685255	2238	50	0.000629796648466	1.11089748626e-08
1	230685255	232090252	2475	50	0.000125610295629	8.26927410725e-09
1	232090252	233429284	2513	50	9.32442505986e-05	8.49686044747e-09
1	233429284	234599434	2491	50	3.80788413212e-05	7.76941701803e-09
1	234599434	235819436	1973	50	0.000351451015049	9.27357865026e-09
1	235819436	237555628	3319	50	0.000130496969179	1.18140433834e-08
1	237555628	238567807	2249	50	6.37176769394e-05	7.00207132576e-09
1	238567807	239925314	2468	50	3.84584627755e-05	7.39467450178e-09
1	239925314	240564091	1578	50	5.40078363048e-05	5.15044852989e-09
1	240564091	241582220	1948	50	9.3904224782e-05	7.87197790598e-09
1	241582220	242071602	943	50	4.54226143906e-05	3.37679021752e-09
1	242071602	244109499	3322	50	0.000167492213311	1.16696468863e-08
1	244109499	245506746	2507	50	3.02311307481e-05	9.01894275935e-09
1	245506746	247344518	4109	50	4.83306278961e-05	1.22183814758e-08
1	247344518	249239466	3204	50	0.00167782328447	2.05314324942e-08
2	10133	1781022	3987	50	0.000116298494199	1.21644562618e-08
2	1781022	3973779	4493	50	5.76412713076e-05	1.22878154143e-08
2	3973779	5708337	3054	50	6.17418496509e-05	9.52170792447e-09
2	5708337	6836254	2420	50	2.72283887602e-05	7.03199801711e-09
2	6836254	8422147	2557	50	7.89013872093e-06	8.06600614711e-09
