chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000176017942902	8.2866228462e-09
1	1892607	3582736	3045	50	0.000144114221273	1.57760339957e-08
1	3582736	4380811	1622	50	9.07938260583e-05	8.01746316231e-09
1	4380811	5913893	3790	50	8.95551214293e-05	1.6400409449e-08
1	5913893	7247335	2066	50	0.000160105194178	1.0510368639e-08
1	7247335	9365199	3371	50	0.000234900769003	1.74837632488e-08
1	9365199	10806984	1551	50	8.90873498145e-05	8.62738995545e-09
1	10806984	11777841	1319	50	0.000134183193867	7.62516964638e-09
1	11777841	12779466	1366	50	2.20373020133e-05	6.88905319234e-09
1	12779466	14891511	2579	50	6.35570288452e-05	1.22992163329e-08
1	14891511	16897730	4083	50	0.000121066017737	1.66576982325e-08
1	16897730	18662899	2903	50	6.24352497631e-05	1.34635251335e-08
1	18662899	20469149	3703	50	8.409032727e-05	1.5263723492e-08
1	20469149	21736588	2066	50	0.000158909411584	9.65913980639e-09
1	21736588	23086883	2718	50	9.99936932195e-05	1.2198976886e-08
1	23086883	23920590	1027	50	7.80163823764e-05	5.34151760886e-09
1	23920590	25516845	2421	50	8.26878245201e-05	1.12879627061e-08
1	25516845	27401867	2028	50	0.000148954197168	9.56677425543e-09
1	27401867	30161881	2938	50	0.000155082792785	1.49008227987e-08
1	30161881	32438685	4147	50	0.000133581574233	1.674925624e-08
1	32438685	34799758	2590	50	0.000117875862186	1.2941952971e-08
1	34799758	37549183	2869	50	0.000122069210092	1.39323241092e-08
1	37549183	38731847	1902	50	0.000145767729352	8.45709747426e-09
1	38731847	40200567	2042	50	6.39066130801e-05	9.59071801339e-09
1	40200567	41975327	2933	50	0.000179956093838	1.18508349135e-08
1	41975327	43758457	2548	50	6.43878858461e-05	9.95911312491e-09
1	43758457	44969183	1455	50	0.000412399238579	9.29724712939e-09
1	44969183	46899501	2474	50	0.000115180910163	1.1637891588e-08
1	46899501	48002576	1540	50	6.37157795638e-05	6.60392692796e-09
1	48002576	48978188	1218	50	2.38739765019e-05	5.39019210926e-09
1	48978188	49894177	750	46	5.48152811304e-05	4.60616182058e-09
1	49894177	51713726	1240	45	0.000141603024864	8.02309274564e-09
1	51713726	54226262	2519	50	0.000190325549986	1.32108488165e-08
1	54226262	56413117	3639	50	7.65578495636e-05	1.51284791716e-08
1	56413117	57021728	1026	48	8.75513524894e-06	3.65940913984e-09
1	57021728	58865399	3295	50	0.000178246444419	1.32692570705e-08
1	58865399	59890409	1773	50	7.83812641615e-05	6.65767369979e-09
1	59890409	61922365	2469	50	8.12657507233e-05	1.10316919338e-08
1	61922365	63455089	2289	50	4.14151534199e-05	1.01235919814e-08
1	63455089	65041704	2971	50	6.02140620502e-05	1.03004061043e-08
1	65041704	66939404	2873	50	6.46005265879e-05	9.84785897983e-09
1	66939404	68477895	2885	50	1.66146831487e-05	9.39881340291e-09
1	68477895	69687616	1632	50	0.000158864945823	6.89908161572e-09
1	69687616	71372470	2634	50	0.00012425030107	9.81793525796e-09
1	71372470	71684405	514	20	0.000102542479352	2.75463658045e-09
1	71684405	74326907	3151	50	0.000357199680179	1.45017495279e-08
1	74326907	76728135	3459	50	0.000294320002432	1.24317993944e-08
