chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.00046287248141	9.50115608542e-09
1	1892607	3582736	3045	50	0.000472647748594	1.65854905983e-08
1	3582736	4380811	1622	50	3.18377424241e-05	6.83403590005e-09
1	4380811	5913893	3790	50	7.41376090833e-05	1.47388874049e-08
1	5913893	7247335	2066	50	0.00018858815619	9.72357774181e-09
1	7247335	9365199	3371	50	0.000191800156193	1.5577070773e-08
1	9365199	10806984	1551	50	0.000586819879591	1.12441866173e-08
1	10806984	11777841	1319	50	0.000136019877545	6.91378571218e-09
1	11777841	12779466	1366	50	0.00126468868469	1.48003667825e-08
1	12779466	14891511	2579	50	8.27356602895e-05	1.12499383518e-08
1	14891511	16897730	4083	50	0.000365295169918	1.67922025773e-08
1	16897730	18662899	2903	50	4.73659422442e-06	1.17712359477e-08
1	18662899	20469149	3703	50	0.000103073064061	1.39452161582e-08
1	20469149	21736588	2066	50	0.000116122315447	8.45698553052e-09
1	21736588	23086883	2718	50	0.000176746272391	1.1570998859e-08
1	23086883	23920590	1027	50	3.93596304778e-05	4.54488287569e-09
1	23920590	25516845	2421	50	0.000331124312956	1.19307043592e-08
1	25516845	27401867	2028	50	0.000266802431355	9.48353960031e-09
1	27401867	30161881	2938	50	0.000359275820017	1.49281137695e-08
1	30161881	32438685	4147	50	0.000131046713557	1.51597680947e-08
1	32438685	34799758	2590	50	0.000121003531807	1.1739404252e-08
1	34799758	37549183	2869	50	0.000127517325638	1.26554351219e-08
1	37549183	38731847	1902	50	0.000165608548999	7.79667047743e-09
1	38731847	40200567	2042	50	0.000127447379312	9.10085938793e-09
1	40200567	41975327	2933	50	0.000253140033224	1.12564710203e-08
1	41975327	43758457	2548	50	0.000252463681141	1.02991926381e-08
1	43758457	44969183	1455	50	0.000261537476134	7.46485764993e-09
1	44969183	46899501	2474	50	0.000117022956738	1.05466234941e-08
1	46899501	48002576	1540	50	0.00016466260753	6.65048749574e-09
1	48002576	48978188	1218	50	0.000227945243102	6.2497526978e-09
1	48978188	49894177	750	46	8.95089068824e-05	4.37768367212e-09
1	49894177	51713726	1240	45	9.95580129846e-05	6.97315821608e-09
1	51713726	54226262	2519	50	7.40825865807e-05	1.11777288433e-08
1	54226262	56413117	3639	50	0.000141955823537	1.41431832388e-08
1	56413117	57021728	1026	48	0.00031992853606	5.41416502791e-09
1	57021728	58865399	3295	50	6.39305764991e-05	1.12400402273e-08
1	58865399	59890409	1773	50	0.000451052257783	8.58452528197e-09
1	59890409	61922365	2469	50	0.000172478775451	1.06060043486e-08
1	61922365	63455089	2289	50	5.87722018984e-05	9.25643133718e-09
1	63455089	65041704	2971	50	3.59193158503e-05	9.13397357208e-09
1	65041704	66939404	2873	50	6.81845302888e-05	8.91845043873e-09
1	66939404	68477895	2885	50	0.000191857323133	9.68604609693e-09
1	68477895	69687616	1632	50	0.000105896752478	5.88443946992e-09
1	69687616	71372470	2634	50	4.21145492207e-05	8.31658702216e-09
1	71372470	71684405	514	20	4.49252475904e-05	2.0780468485e-09
1	71684405	74326907	3151	50	0.000125424385366	1.16009580577e-08
1	74326907	76728135	3459	50	0.000126107370825	1.01454427202e-08
1	76728135	79661198	4619	50	0.000186477310458	1.47626352895e-08
1	79661198	81354191	2772	50	6.37601481139e-06	9.30830713025e-09
1	81354191	83991748	4606	50	0.000200606664551	1.47153824849e-08
1	83991748	84844495	1190	50	7.42894833143e-05	4.42781687632e-09
1	84844495	86454751	2803	50	6.28195418977e-05	9.88088335381e-09
1	86454751	88128631	2909	50	0.000140448786218	1.05946939004e-08
1	88128631	90066303	2381	50	0.000442080580523	1.09154827291e-08
1	90066303	91886317	2543	50	0.000142552490781	9.22969494652e-09
1	91886317	93536459	2419	50	0.000127934612809	1.0332940585e-08
1	93536459	94506191	1140	47	0.000141712271786	5.85084655789e-09
1	94506191	96150893	2647	50	0.00018758715578	1.03913526698e-08
1	96150893	97885249	2645	50	0.000106951176781	8.8684629602e-09
1	97885249	99800604	2746	50	9.48892181672e-05	8.61640650231e-09
1	99800604	100826405	1173	50	0.000110750120056	6.05574560213e-09
1	100826405	102041016	2008	50	0.000122110022091	7.14732848958e-09
1	102041016	102898745	1606	50	3.26116151976e-05	4.60581369102e-09
1	102898745	103914211	1657	46	1.35214601723e-05	5.66434569795e-09
1	103914211	106087842	3786	50	5.74166571558e-05	9.37949840495e-09
1	106087842	108409665	3684	50	7.35701095828e-05	1.16574505876e-08
1	108409665	110303931	2587	50	9.09391391705e-05	9.55793369332e-09
1	110303931	111741737	2385	50	0.000176312506044	1.02106484664e-08
