chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000138246459522	8.10686813182e-09
1	1892607	3582736	3045	50	0.000164435565075	1.61176178471e-08
1	3582736	4380811	1622	50	7.01161578089e-05	7.96329548031e-09
1	4380811	5913893	3790	50	0.000125791122905	1.6869589689e-08
1	5913893	7247335	2066	50	0.000142716369035	1.05082106018e-08
1	7247335	9365199	3371	50	0.000229270253259	1.76516599268e-08
1	9365199	10806984	1551	50	0.000114307978413	8.91701243443e-09
1	10806984	11777841	1319	50	0.000120286533065	7.61378042026e-09
1	11777841	12779466	1366	50	3.11565235554e-05	7.04196164263e-09
1	12779466	14891511	2579	50	2.24249375281e-05	1.21493956969e-08
1	14891511	16897730	4083	50	9.22366023107e-05	1.66496951055e-08
1	16897730	18662899	2903	50	4.8242015498e-05	1.35260715663e-08
1	18662899	20469149	3703	50	7.07362025789e-05	1.53539223379e-08
1	20469149	21736588	2066	50	0.000159415711862	9.7775239087e-09
1	21736588	23086883	2718	50	0.000129373712027	1.2563876339e-08
1	23086883	23920590	1027	50	6.65019651969e-05	5.3215780721e-09
1	23920590	25516845	2421	50	6.08296876373e-05	1.1266207667e-08
1	25516845	27401867	2028	50	6.57844370472e-05	9.07147423083e-09
1	27401867	30161881	2938	50	0.000164907561354	1.51536615216e-08
1	30161881	32438685	4147	50	0.000120612602277	1.68585793673e-08
1	32438685	34799758	2590	50	0.000123623084844	1.31419003449e-08
1	34799758	37549183	2869	50	0.000120311522224	1.40893863804e-08
1	37549183	38731847	1902	50	0.000112093188235	8.31078441059e-09
1	38731847	40200567	2042	50	0.000125494518163	1.01602517485e-08
1	40200567	41975327	2933	50	0.000208715616018	1.22030127893e-08
1	41975327	43758457	2548	50	5.72963379825e-05	1.00298977348e-08
1	43758457	44969183	1455	50	0.000430719464014	9.52980292883e-09
1	44969183	46899501	2474	50	4.67541281139e-05	1.12773518006e-08
1	46899501	48002576	1540	50	8.29193573558e-05	6.82508291812e-09
1	48002576	48978188	1218	50	4.12478579057e-05	5.58447733962e-09
1	48978188	49894177	750	46	4.94173504997e-05	4.62276592089e-09
1	49894177	51713726	1240	45	5.87025500925e-05	7.51133836669e-09
1	51713726	54226262	2519	50	0.000127671836345	1.29086386854e-08
1	54226262	56413117	3639	50	4.33638976209e-05	1.50714024787e-08
1	56413117	57021728	1026	48	2.52721377931e-05	3.8262692586e-09
1	57021728	58865399	3295	50	0.000137331927863	1.31279134619e-08
1	58865399	59890409	1773	50	7.90693263013e-05	6.74340712143e-09
1	59890409	61922365	2469	50	0.000159970745911	1.17444650924e-08
1	61922365	63455089	2289	50	6.14721842645e-05	1.03965411931e-08
1	63455089	65041704	2971	50	2.62036562063e-05	1.01782723823e-08
1	65041704	66939404	2873	50	9.3964458873e-05	1.0184461154e-08
1	66939404	68477895	2885	50	4.74291596574e-05	9.74259772618e-09
1	68477895	69687616	1632	50	0.00010642026669	6.59564277319e-09
1	69687616	71372470	2634	50	0.000164370744316	1.02301827876e-08
1	71372470	71684405	514	20	0.000130887289075	2.99200613058e-09
1	71684405	74326907	3151	50	0.000377958050745	1.48204931316e-08
1	74326907	76728135	3459	50	0.000345596170558	1.29511349773e-08
1	76728135	79661198	4619	50	5.63969542145e-05	1.55123389281e-08
1	79661198	81354191	2772	50	9.91201777485e-05	1.11366367303e-08
1	81354191	83991748	4606	50	6.66027665495e-05	1.54250091994e-08
1	83991748	84844495	1190	50	8.79981668811e-05	5.07809979027e-09
1	84844495	86454751	2803	50	9.77217843348e-06	1.06830829992e-08
1	86454751	88128631	2909	50	9.87056146455e-05	1.15306193026e-08
1	88128631	90066303	2381	50	9.53930147204e-05	9.53001865043e-09
1	90066303	91886317	2543	50	0.000304585928275	1.14996706301e-08
1	91886317	93536459	2419	50	7.7700934524e-05	1.11813684134e-08
1	93536459	94506191	1140	47	0.000117220093336	6.36037054086e-09
1	94506191	96150893	2647	50	9.16602985099e-05	1.08868584113e-08
1	96150893	97885249	2645	50	0.000282979482045	1.1213586636e-08
1	97885249	99800604	2746	50	0.000257126038621	1.08359506116e-08
1	99800604	100826405	1173	50	6.60959583852e-05	6.45456936738e-09
1	100826405	102041016	2008	50	9.83569598559e-05	7.82163788976e-09
1	102041016	102898745	1606	50	4.04055954134e-05	5.25106088581e-09
1	102898745	103914211	1657	46	8.34069355011e-05	6.89555078875e-09
1	103914211	106087842	3786	50	8.13899024749e-05	1.06904973109e-08
1	106087842	108409665	3684	50	9.62636573328e-05	1.32175288214e-08
1	108409665	110303931	2587	50	9.64548015203e-05	1.0740448111e-08
1	110303931	111741737	2385	50	0.000230536361916	1.17909039993e-08
1	111741737	113273306	2727	50	0.000221437544085	1.18318495933e-08
1	113273306	114873845	2210	50	4.90168911822e-05	9.26406352245e-09
1	114873845	115880593	1385	50	5.8820719281e-05	6.22752643445e-09
1	115880593	118839067	3917	50	8.22478964944e-05	1.56754528586e-08
1	118839067	144977494	2387	50	4.74944056985e-05	9.64233065992e-09
1	144977494	148361253	1879	50	4.04781768142e-05	9.92004802365e-09
1	148361253	151538881	1856	50	0.000117961785148	1.04342854374e-08
1	151538881	153180829	2262	50	4.70011674793e-05	9.30299543319e-09
1	153180829	154770403	2121	50	2.40838110897e-06	7.78924358812e-09
1	154770403	156336133	1197	50	2.6025013878e-05	6.41563478942e-09
1	156336133	158027412	2617	50	7.32366146643e-05	1.05769213103e-08
1	158027412	159913048	3378	50	0.000179423355226	1.30863066535e-08
1	159913048	162346721	3599	50	6.74787538675e-05	1.47077722923e-08
1	162346721	165191702	4925	50	6.54071738147e-05	1.63912165273e-08
1	165191702	166460517	2243	50	5.62323840043e-05	8.89414762201e-09
1	166460517	169086324	4616	50	0.000127704330353	1.68768956403e-08
1	169086324	170557776	2990	50	4.93016866439e-05	8.36720559601e-09
1	170557776	173097907	4076	50	0.000112447990722	1.38560558702e-08
1	173097907	175089768	2301	50	8.23493229762e-05	9.07874769668e-09
1	175089768	177433381	3388	50	0.000173499264995	1.31102402069e-08
1	177433381	178944309	1959	50	7.89376950463e-05	8.04127171105e-09
1	178944309	178954470	12	1	1.65630235472e-05	-1.13035970303e-10
1	178954470	181144121	4095	50	4.19827581311e-05	1.41013422372e-08
1	181144121	182755356	2660	50	0.000169792087983	1.13992876993e-08
1	182755356	184595513	2701	50	6.58451849686e-05	9.89101355248e-09
1	184595513	186810023	2508	50	8.63963360897e-05	9.50438115576e-09
1	186810023	188759945	4484	50	5.01994578874e-05	1.18210570623e-08
1	188759945	189904130	1447	38	0.000152729967903	7.58333957329e-09
1	189904130	191868930	3345	50	6.53660353056e-05	1.03041007055e-08
1	191868930	194107442	3152	50	0.000117057024586	1.17594994499e-08
1	194107442	196176201	3903	50	0.000106697385758	1.14277175528e-08
1	196176201	197311514	1181	35	0.000120459453333	4.73471878782e-09
1	197311514	199239884	2348	50	7.99909794602e-05	1.08281824382e-08
1	199239884	200137649	1783	50	0.000104471588051	6.56133279296e-09
1	200137649	201589975	2773	50	5.24336411717e-05	1.15815607468e-08
1	201589975	203334734	2438	50	0.000151359606991	1.21660574936e-08
1	203334734	204681068	2198	50	0.000232108415313	1.12979213648e-08
1	204681068	206073265	2109	50	0.000103530702539	9.62321082207e-09
1	206073265	208410364	2544	50	5.52375601878e-05	1.14136356461e-08
1	208410364	210787750	3757	50	0.000121362220083	1.65252949853e-08
1	210787750	212842330	3287	50	0.000152971974547	1.38162415362e-08
1	212842330	214578266	2495	50	0.000129206027573	1.14582327974e-08
1	214578266	216243634	2660	50	7.25415687814e-05	1.05919950166e-08
1	216243634	218705513	4363	50	8.07087978403e-05	1.6056787839e-08
1	218705513	219590571	1672	50	-1.01803810298e-06	5.56945523207e-09
1	219590571	221858231	3435	50	0.000116562926975	1.28675296043e-08
1	221858231	222230220	623	37	8.15379988888e-05	3.22439408895e-09
1	222230220	224938520	3766	50	2.97722505994e-05	1.56751835518e-08
1	224938520	226810860	2741	50	9.70713206075e-05	1.26367830684e-08
1	226810860	229156248	4024	50	3.78072244462e-05	1.35439043196e-08
1	229156248	230685255	2238	50	0.000101981022486	1.02969803137e-08
1	230685255	232090252	2475	50	8.15009774779e-05	1.06240738939e-08
1	232090252	233429284	2513	50	4.02698389642e-05	1.09000685976e-08
1	233429284	234599434	2491	50	8.79477999949e-05	1.07453101193e-08
1	234599434	235819436	1973	50	0.000155699211213	1.05966521486e-08
1	235819436	237555628	3319	50	3.40032815678e-05	1.49687326524e-08
1	237555628	238567807	2249	50	7.29773372548e-05	9.39263420127e-09
1	238567807	239925314	2468	50	6.88038883588e-05	1.01008160196e-08
1	239925314	240564091	1578	50	4.75731461069e-05	6.81407664697e-09
1	240564091	241582220	1948	50	7.99464903462e-05	1.03505064399e-08
1	241582220	242071602	943	50	5.36676843815e-05	4.56041644858e-09
1	242071602	244109499	3322	50	0.000201573499733	1.5693744548e-08
1	244109499	245506746	2507	50	6.3033458094e-05	1.2299274259e-08
1	245506746	247344518	4109	50	2.77201895665e-05	1.61612215412e-08
1	247344518	249239466	3204	50	6.6434857462e-05	1.3713757606e-08
2	10133	1781022	3987	50	6.90042709827e-05	1.58149313746e-08
2	1781022	3973779	4493	50	4.75245003158e-05	1.63205558882e-08
2	3973779	5708337	3054	50	0.000128935174026	1.31876529854e-08
2	5708337	6836254	2420	50	0.000110809626035	1.00190425778e-08
2	6836254	8422147	2557	50	9.8306506828e-05	1.14738456002e-08
2	8422147	10298469	3371	50	8.85208688584e-05	1.55050423117e-08
2	10298469	12419150	4691	50	0.000198865483786	1.74210622757e-08
2	12419150	14335308	3466	50	0.000129246074713	1.41685435543e-08
2	14335308	16329735	3367	50	0.000115496215597	1.46822725853e-08
2	16329735	18647423	3804	50	0.00012704364513	1.55448099215e-08
2	18647423	19692404	1571	50	3.8127921496e-06	6.06594680553e-09
2	19692404	21050490	2742	50	4.21840205552e-05	1.1506346573e-08
2	21050490	23341383	2482	50	0.000165984462262	1.34462247693e-08
2	23341383	24686918	2095	50	8.98885174853e-05	1.01209898265e-08
2	24686918	26894985	2665	50	0.000115359736314	1.28586955664e-08
2	26894985	28598777	1314	50	0.000124964273194	8.10345465304e-09
2	28598777	29217559	1059	50	7.90908316433e-05	5.35347612284e-09
2	29217559	30463711	2306	50	0.000161647895375	1.22550189513e-08
2	30463711	31550450	2324	50	5.5473847334e-05	1.09039590519e-08
2	31550450	33363777	2345	50	6.77643766806e-05	1.40274012964e-08
2	33363777	35345028	4248	50	0.000123070763612	1.6869897049e-08
2	35345028	36122006	2035	50	7.40763305725e-05	7.79799632328e-09
2	36122006	38132712	3874	50	5.42711369558e-05	1.63634445763e-08
2	38132712	39031337	1516	50	4.93240758406e-05	8.991150906e-09
2	39031337	40281483	1376	50	0.000106596632907	8.54537379679e-09
2	40281483	43309590	5973	50	6.08719806511e-05	1.64255863091e-08
2	43309590	44313803	1758	50	5.48999928187e-05	9.3541603615e-09
2	44313803	46482634	4137	50	0.000188060509183	1.73347447297e-08
2	46482634	47318772	1661	50	7.07022331697e-06	8.61452175337e-09
2	47318772	48213001	1563	50	4.63658699015e-05	9.03658242825e-09
