chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000132191125579	3.53698284392e-09
1	1892607	3582736	3045	50	0.000808966796806	9.99188608727e-09
1	3582736	4380811	1622	50	0.000161991222156	3.82501000752e-09
1	4380811	5913893	3790	50	2.15196266922e-05	6.68938617908e-09
1	5913893	7247335	2066	50	0.000164941139028	4.67525863745e-09
1	7247335	9365199	3371	50	0.000681422833057	9.82805509458e-09
1	9365199	10806984	1551	50	0.000625248459589	6.27262062421e-09
1	10806984	11777841	1319	50	8.3263989115e-05	3.15614774929e-09
1	11777841	12779466	1366	50	0.0010198663031	7.60494301115e-09
1	12779466	14891511	2579	50	6.11889865259e-05	5.23305106595e-09
1	14891511	16897730	4083	50	0.000112245428465	7.13099509103e-09
1	16897730	18662899	2903	50	5.78199712305e-05	5.71009267939e-09
1	18662899	20469149	3703	50	0.000227935272542	7.20678974493e-09
1	20469149	21736588	2066	50	0.000209067739279	4.52921163458e-09
1	21736588	23086883	2718	50	0.000113746017825	5.32772656279e-09
1	23086883	23920590	1027	50	0.00024678661295	3.13762956124e-09
1	23920590	25516845	2421	50	0.000356499345701	6.14518379095e-09
1	25516845	27401867	2028	50	0.00183162095128	1.21792493762e-08
1	27401867	30161881	2938	50	0.000681600354129	8.98469209485e-09
1	30161881	32438685	4147	50	0.000148026572866	7.30072258887e-09
1	32438685	34799758	2590	50	0.000139623552915	5.70774584587e-09
1	34799758	37549183	2869	50	0.000253008120876	6.64826237295e-09
1	37549183	38731847	1902	50	0.000118443724478	3.63632364796e-09
1	38731847	40200567	2042	50	0.000187606754236	4.69017851176e-09
1	40200567	41975327	2933	50	0.000691940356395	7.66906998316e-09
1	41975327	43758457	2548	50	0.000233243561207	5.05928694514e-09
1	43758457	44969183	1455	50	0.000449273570493	4.73384345817e-09
1	44969183	46899501	2474	50	0.00105416534137	9.49097670559e-09
1	46899501	48002576	1540	50	0.000431078105083	4.58124122688e-09
1	48002576	48978188	1218	50	0.000110890579578	2.68367850515e-09
1	48978188	49894177	750	46	9.3883544006e-05	2.17940301325e-09
1	49894177	51713726	1240	45	6.61878014939e-05	3.22020217593e-09
1	51713726	54226262	2519	50	0.00020112969532	5.88947737022e-09
1	54226262	56413117	3639	50	0.000289182030826	7.46331879799e-09
1	56413117	57021728	1026	48	0.000311189976441	2.94410826237e-09
1	57021728	58865399	3295	50	0.000112742351524	5.5329435072e-09
1	58865399	59890409	1773	50	0.000172396954448	3.33999190712e-09
1	59890409	61922365	2469	50	0.000151619206108	5.07324978704e-09
1	61922365	63455089	2289	50	0.000291374190459	5.47362436104e-09
1	63455089	65041704	2971	50	8.80768966319e-05	4.52993937761e-09
1	65041704	66939404	2873	50	0.000386919816176	5.73759076842e-09
1	66939404	68477895	2885	50	0.000257024549384	5.08221154246e-09
1	68477895	69687616	1632	50	9.47261425562e-05	2.82958252359e-09
1	69687616	71372470	2634	50	6.71818142765e-05	4.03230258499e-09
1	71372470	71684405	514	20	6.2078028868e-05	1.10598654512e-09
1	71684405	74326907	3151	50	8.13487412669e-05	5.35361724459e-09
1	74326907	76728135	3459	50	0.000103983580693	4.78384468368e-09
1	76728135	79661198	4619	50	0.000220948599088	7.28340224855e-09
1	79661198	81354191	2772	50	2.57570957454e-05	4.41137041026e-09
1	81354191	83991748	4606	50	0.000103300168194	6.65819658415e-09
1	83991748	84844495	1190	50	3.74955543014e-05	1.98604141062e-09
1	84844495	86454751	2803	50	6.62695508064e-05	4.68662529347e-09
1	86454751	88128631	2909	50	0.000267158864127	5.7172666704e-09
1	88128631	90066303	2381	50	0.0002038714172	4.59674207611e-09
1	90066303	91886317	2543	50	0.000433218245879	5.86115334347e-09
1	91886317	93536459	2419	50	0.000340604449753	5.98324543373e-09
1	93536459	94506191	1140	47	0.000288464531211	3.61165577565e-09
1	94506191	96150893	2647	50	0.00036623007437	5.93919402241e-09
1	96150893	97885249	2645	50	0.000103830784035	4.25274588785e-09
1	97885249	99800604	2746	50	5.44844336136e-05	3.94169192438e-09
1	99800604	100826405	1173	50	4.34359531208e-05	2.65178527847e-09
1	100826405	102041016	2008	50	0.000133104529619	3.54407173804e-09
1	102041016	102898745	1606	50	9.81568073021e-05	2.48779222088e-09
1	102898745	103914211	1657	46	0.000128106822728	3.18130086104e-09
1	103914211	106087842	3786	50	5.20662820365e-05	4.40447141186e-09
1	106087842	108409665	3684	50	8.773783435e-05	5.57708063368e-09
1	108409665	110303931	2587	50	0.00018237114491	4.9949832049e-09
1	110303931	111741737	2385	50	0.000502249965446	6.53428421447e-09
1	111741737	113273306	2727	50	0.000897951310272	8.44884619775e-09
1	113273306	114873845	2210	50	0.00014395628711	4.34457602247e-09
1	114873845	115880593	1385	50	0.000122625357782	2.95268887129e-09
1	115880593	118839067	3917	50	0.000759108629426	9.82335894779e-09
1	118839067	144977494	2387	50	0.000104799648573	4.32147600575e-09
1	144977494	148361253	1879	50	0.000262900901534	5.20495366974e-09
1	148361253	151538881	1856	50	0.000614587315649	6.84364829673e-09
1	151538881	153180829	2262	50	8.67900848844e-05	4.09699897674e-09
1	153180829	154770403	2121	50	0.000598444832733	6.01757957138e-09
1	154770403	156336133	1197	50	0.000420393808889	4.53367717843e-09
1	156336133	158027412	2617	50	0.00103449072731	9.02369517544e-09
1	158027412	159913048	3378	50	0.000246344335395	6.01930438064e-09
1	159913048	162346721	3599	50	0.000340625643933	7.48199748354e-09
1	162346721	165191702	4925	50	0.000224582974711	7.6385112718e-09
1	165191702	166460517	2243	50	0.000118486164332	4.04870781583e-09
1	166460517	169086324	4616	50	0.000153836392347	7.31420221122e-09
1	169086324	170557776	2990	50	0.000149830052524	3.9987860051e-09
1	170557776	173097907	4076	50	0.00185649958848	1.41663934347e-08
1	173097907	175089768	2301	50	0.00018048063887	4.33851059116e-09
1	175089768	177433381	3388	50	5.20488424621e-05	5.12824659623e-09
1	177433381	178944309	1959	50	0.000249629386471	4.24391319602e-09
1	178944309	178954470	12	1	5.43822796689e-05	1.26897597742e-10
1	178954470	181144121	4095	50	0.000178121222312	6.53791326913e-09
1	181144121	182755356	2660	50	5.99445334721e-05	4.46682066318e-09
1	182755356	184595513	2701	50	0.000164176186484	4.64931429825e-09
1	184595513	186810023	2508	50	0.000392765398416	5.5052265806e-09
1	186810023	188759945	4484	50	4.75141518331e-05	4.94735108011e-09
1	188759945	189904130	1447	38	6.88159826897e-05	2.97688869565e-09
1	189904130	191868930	3345	50	5.09388473142e-05	4.2875042862e-09
1	191868930	194107442	3152	50	6.65103150363e-05	4.80791987894e-09
1	194107442	196176201	3903	50	8.53090997566e-05	4.79058538143e-09
1	196176201	197311514	1181	35	0.000158750975856	2.31564216469e-09
1	197311514	199239884	2348	50	0.000509364420634	6.62673254071e-09
1	199239884	200137649	1783	50	0.000141727762207	3.0426817677e-09
1	200137649	201589975	2773	50	0.000126858082173	5.21626041817e-09
1	201589975	203334734	2438	50	0.000243988424403	5.71129494751e-09
1	203334734	204681068	2198	50	0.000457423929217	6.11254398318e-09
1	204681068	206073265	2109	50	0.00235243954979	1.47537567037e-08
1	206073265	208410364	2544	50	0.000245016438264	5.69656077137e-09
1	208410364	210787750	3757	50	0.000176694977994	7.29592305866e-09
1	210787750	212842330	3287	50	0.000228965600271	6.32116523988e-09
1	212842330	214578266	2495	50	0.000557844463461	6.96794953465e-09
1	214578266	216243634	2660	50	6.86391923648e-05	4.46881535859e-09
1	216243634	218705513	4363	50	0.000145987466319	7.07994208412e-09
1	218705513	219590571	1672	50	0.000115981788205	2.82977146453e-09
1	219590571	221858231	3435	50	0.00028128490634	6.28549296677e-09
1	221858231	222230220	623	37	0.000146969483032	1.75093274571e-09
1	222230220	224938520	3766	50	0.000129709088413	6.99993865636e-09
1	224938520	226810860	2741	50	0.000510075294288	7.3313620922e-09
1	226810860	229156248	4024	50	0.000235112199238	6.58879677481e-09
1	229156248	230685255	2238	50	0.000634674536063	6.9301161494e-09
1	230685255	232090252	2475	50	0.000182388347058	4.9922703908e-09
1	232090252	233429284	2513	50	8.58999166971e-05	4.77661231928e-09
