chr	start	end	num_snp	k	local_h2g	var	se	z	p
1	10583	1892607	1286	50	0.0001293	1.2819e-08	0.00011322	1.142	0.12673
1	1892607	3582736	3045	50	0.0003232	2.7102e-08	0.00016463	1.9632	0.024809
1	3582736	4380811	1622	50	6.7587e-05	1.282e-08	0.00011323	0.59692	0.27528
1	4380811	5913893	3790	50	3.1445e-05	2.6111e-08	0.00016159	0.1946	0.42285
1	5913893	7247335	2066	50	7.5542e-05	1.6096e-08	0.00012687	0.59543	0.27578
1	7247335	9365199	3371	50	0.00054272	3.0816e-08	0.00017554	3.0917	0.00099517
1	9365199	10806984	1551	50	0.00054017	1.8128e-08	0.00013464	4.012	3.0108e-05
1	10806984	11777841	1319	50	8.2398e-05	1.1818e-08	0.00010871	0.75795	0.22424
1	11777841	12779466	1366	50	0.00067221	1.7317e-08	0.0001316	5.1081	1.6268e-07
1	12779466	14891511	2579	50	5.7324e-05	1.9966e-08	0.0001413	0.40569	0.34249
1	14891511	16897730	4083	50	0.00021628	2.7844e-08	0.00016687	1.2961	0.097467
1	16897730	18662899	2903	50	5.3047e-05	2.1834e-08	0.00014776	0.359	0.3598
1	18662899	20469149	3703	50	0.00010722	2.5008e-08	0.00015814	0.67801	0.24888
1	20469149	21736588	2066	50	9.7365e-05	1.4936e-08	0.00012221	0.79669	0.21282
1	21736588	23086883	2718	50	0.00011197	1.9871e-08	0.00014096	0.79432	0.2135
1	23086883	23920590	1027	50	0.00045221	1.2182e-08	0.00011037	4.0971	2.0919e-05
1	23920590	25516845	2421	50	0.00056782	2.2756e-08	0.00015085	3.7641	8.3566e-05
1	25516845	27401867	2028	50	0.0003984	1.7648e-08	0.00013285	2.999	0.0013543
1	27401867	30161881	2938	50	0.0003186	2.5499e-08	0.00015968	1.9952	0.023012
1	30161881	32438685	4147	50	0.00018324	2.7542e-08	0.00016596	1.1041	0.13477
1	32438685	34799758	2590	50	0.00017655	2.1455e-08	0.00014647	1.2053	0.11404
1	34799758	37549183	2869	50	6.4101e-05	2.1989e-08	0.00014829	0.43227	0.33277
1	37549183	38731847	1902	50	0.00017024	1.382e-08	0.00011756	1.4481	0.073791
1	38731847	40200567	2042	50	0.00015179	1.6438e-08	0.00012821	1.1839	0.11822
1	40200567	41975327	2933	50	8.2532e-05	1.8093e-08	0.00013451	0.61358	0.26975
1	41975327	43758457	2548	50	0.00044622	1.9711e-08	0.0001404	3.1783	0.0007408
1	43758457	44969183	1455	50	0.00010698	1.148e-08	0.00010715	0.9984	0.15904
1	44969183	46899501	2474	50	0.0002074	1.9652e-08	0.00014018	1.4795	0.069509
1	46899501	48002576	1540	50	0.00014654	1.1587e-08	0.00010764	1.3614	0.086695
1	48002576	48978188	1218	50	7.0789e-05	9.4165e-09	9.7039e-05	0.7295	0.23285
1	48978188	49894177	750	46	5.1598e-05	7.6302e-09	8.7351e-05	0.59069	0.27736
1	49894177	51713726	1240	45	4.9991e-05	1.2075e-08	0.00010989	0.45493	0.32458
1	51713726	54226262	2519	50	9.6759e-05	2.0304e-08	0.00014249	0.67904	0.24856
1	54226262	56413117	3639	50	5.3119e-05	2.4383e-08	0.00015615	0.34018	0.36686
1	56413117	57021728	1026	48	7.7219e-05	6.8869e-09	8.2987e-05	0.93049	0.17606
1	57021728	58865399	3295	50	7.9101e-05	2.0381e-08	0.00014276	0.55407	0.28976
