chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000364440720428	5.30628750514e-09
1	1892607	3582736	3045	50	0.000370834699127	9.16735810707e-09
1	3582736	4380811	1622	50	0.000104236039974	4.14860292649e-09
1	4380811	5913893	3790	50	0.000137721729862	8.47516115287e-09
1	5913893	7247335	2066	50	0.000252938344798	5.89467702285e-09
1	7247335	9365199	3371	50	0.000303137653744	9.33640069725e-09
1	9365199	10806984	1551	50	0.00026819507182	5.29606632534e-09
1	10806984	11777841	1319	50	0.000435561020135	5.4929754014e-09
1	11777841	12779466	1366	50	0.000122632378388	3.93162729707e-09
1	12779466	14891511	2579	50	0.000162853939543	6.66737422856e-09
1	14891511	16897730	4083	50	0.000156166218623	8.5833398015e-09
1	16897730	18662899	2903	50	0.000206934881393	7.47454621797e-09
1	18662899	20469149	3703	50	0.000201470611928	8.25993389421e-09
1	20469149	21736588	2066	50	0.000241463362778	5.41856201301e-09
1	21736588	23086883	2718	50	0.00028418328524	7.10869692789e-09
1	23086883	23920590	1027	50	0.000415003339252	4.45752292568e-09
1	23920590	25516845	2421	50	0.000142136093366	5.99117028486e-09
1	25516845	27401867	2028	50	0.000386017170862	6.1490149457e-09
1	27401867	30161881	2938	50	0.000185510692202	7.74119569958e-09
1	30161881	32438685	4147	50	0.000436633328766	1.00267448831e-08
1	32438685	34799758	2590	50	0.000563806129613	8.84775844148e-09
1	34799758	37549183	2869	50	0.000303232718823	7.98574668168e-09
1	37549183	38731847	1902	50	0.000290253347461	5.12021533827e-09
1	38731847	40200567	2042	50	0.000358394910223	6.32649651826e-09
1	40200567	41975327	2933	50	0.000736042305289	8.96455293844e-09
1	41975327	43758457	2548	50	0.00031720955327	6.29639749034e-09
1	43758457	44969183	1455	50	0.000206915709065	4.14991603174e-09
1	44969183	46899501	2474	50	0.000209689477382	6.39363026581e-09
1	46899501	48002576	1540	50	0.000178193163137	3.92449360102e-09
1	48002576	48978188	1218	50	0.000173672210417	3.44356724054e-09
1	48978188	49894177	750	46	0.000269207718878	3.43175825468e-09
1	49894177	51713726	1240	45	0.000611286545987	6.56263458851e-09
1	51713726	54226262	2519	50	0.000292565797406	7.32656792138e-09
1	54226262	56413117	3639	50	0.000279332586495	8.62060005282e-09
1	56413117	57021728	1026	48	0.000352796676988	3.55484581131e-09
1	57021728	58865399	3295	50	0.000226196511937	7.05847855463e-09
1	58865399	59890409	1773	50	0.000202936246552	4.02482973006e-09
1	59890409	61922365	2469	50	0.000220655099563	6.27205629433e-09
1	61922365	63455089	2289	50	0.000296382763906	6.35418634163e-09
1	63455089	65041704	2971	50	0.000205361406721	5.90735255058e-09
1	65041704	66939404	2873	50	0.000332864803931	6.32069244424e-09
1	66939404	68477895	2885	50	0.000227192525013	5.72987496002e-09
1	68477895	69687616	1632	50	0.000155030122375	3.60980684707e-09
1	69687616	71372470	2634	50	0.000147396657645	5.14034655448e-09
1	71372470	71684405	514	20	8.04738727789e-05	1.38025580036e-09
1	71684405	74326907	3151	50	0.000402407432802	7.92669411248e-09
1	74326907	76728135	3459	50	0.000253729496343	6.36593415175e-09
1	76728135	79661198	4619	50	0.000856351033938	1.17574126012e-08
1	79661198	81354191	2772	50	0.000256977801939	6.37929762405e-09
1	81354191	83991748	4606	50	0.000198585487212	8.29475495818e-09
1	83991748	84844495	1190	50	9.54270515789e-05	2.62914985904e-09
1	84844495	86454751	2803	50	0.000376910667858	7.09311841053e-09
1	86454751	88128631	2909	50	0.000393935088693	7.27602825784e-09
1	88128631	90066303	2381	50	0.000179273477452	5.20840761122e-09
1	90066303	91886317	2543	50	0.000133290272662	5.18630458335e-09
1	91886317	93536459	2419	50	0.000201030394959	6.19117056394e-09
1	93536459	94506191	1140	47	9.64658471549e-05	3.1568412384e-09
1	94506191	96150893	2647	50	0.00015724001183	5.77249361134e-09
1	96150893	97885249	2645	50	0.000516774519088	7.08856514593e-09
1	97885249	99800604	2746	50	0.000278857073202	5.77763894309e-09
1	99800604	100826405	1173	50	6.9992962029e-05	3.25027906687e-09
1	100826405	102041016	2008	50	4.44218268611e-05	3.67227179347e-09
1	102041016	102898745	1606	50	5.00792758401e-05	2.65203910247e-09
1	102898745	103914211	1657	46	0.000169717825779	3.91387876895e-09
1	103914211	106087842	3786	50	0.00018366463422	5.84875749742e-09
1	106087842	108409665	3684	50	0.000379781619798	8.03848047684e-09
1	108409665	110303931	2587	50	0.000321202234707	6.52420416716e-09
1	110303931	111741737	2385	50	0.000325276478474	6.5780132194e-09
1	111741737	113273306	2727	50	0.000217772028693	6.07954116801e-09
1	113273306	114873845	2210	50	4.38958588293e-05	4.55107303203e-09
1	114873845	115880593	1385	50	0.000105658942707	3.34762114452e-09
1	115880593	118839067	3917	50	0.00018467884901	8.28944903569e-09
1	118839067	144977494	2387	50	0.000331010438988	6.2125034026e-09
1	144977494	148361253	1879	50	0.000219838380892	5.80396725297e-09
1	148361253	151538881	1856	50	0.000519909429709	7.31542218226e-09
1	151538881	153180829	2262	50	0.000129320627766	5.01491490383e-09
1	153180829	154770403	2121	50	0.000169022788007	4.63749197785e-09
1	154770403	156336133	1197	50	0.000920240790417	7.72205186882e-09
1	156336133	158027412	2617	50	0.000197304736976	5.89236709878e-09
1	158027412	159913048	3378	50	0.00015847892118	6.53943146009e-09
1	159913048	162346721	3599	50	0.000121588756595	7.54487622696e-09
1	162346721	165191702	4925	50	0.000174339984888	8.64703844222e-09
1	165191702	166460517	2243	50	9.87147421388e-05	4.62516187684e-09
1	166460517	169086324	4616	50	0.000226283325459	8.9276134696e-09
1	169086324	170557776	2990	50	0.00023608288323	5.0955692201e-09
1	170557776	173097907	4076	50	0.000521275067672	9.01976930355e-09
1	173097907	175089768	2301	50	0.000254135232412	5.41777800551e-09
1	175089768	177433381	3388	50	0.000697558438128	9.33914385306e-09
1	177433381	178944309	1959	50	0.000860952765546	8.02763640966e-09
1	178944309	178954470	12	1	4.60069324807e-05	9.43406960416e-11
1	178954470	181144121	4095	50	0.000167958736227	7.57826876431e-09
1	181144121	182755356	2660	50	9.71477329139e-05	5.43482112968e-09
1	182755356	184595513	2701	50	0.000469549039643	6.97830789203e-09
1	184595513	186810023	2508	50	0.000197494470347	5.32144272379e-09
1	186810023	188759945	4484	50	0.000212476468362	6.66161739383e-09
1	188759945	189904130	1447	38	7.47090312599e-05	3.51635871082e-09
1	189904130	191868930	3345	50	0.000376148998826	6.70379315494e-09
1	191868930	194107442	3152	50	0.0001877159836	6.26445718643e-09
1	194107442	196176201	3903	50	0.000201751765505	6.21132980787e-09
1	196176201	197311514	1181	35	0.000151266480567	2.63048760539e-09
1	197311514	199239884	2348	50	0.0002245375989	6.13068073341e-09
1	199239884	200137649	1783	50	0.000153467690205	3.59201031719e-09
1	200137649	201589975	2773	50	0.000161628073607	6.2755353721e-09
1	201589975	203334734	2438	50	0.000545244000153	8.17421328757e-09
1	203334734	204681068	2198	50	0.000249999342392	5.94538248062e-09
1	204681068	206073265	2109	50	0.000330545560106	5.99967911733e-09
1	206073265	208410364	2544	50	0.000188067213824	6.31894824142e-09
1	208410364	210787750	3757	50	0.000350835138132	9.41928717717e-09
1	210787750	212842330	3287	50	0.000306794908949	7.75290044024e-09
1	212842330	214578266	2495	50	0.000231230095886	6.29665497046e-09
1	214578266	216243634	2660	50	0.000476762323864	7.33482301247e-09
1	216243634	218705513	4363	50	0.000370285442524	9.43642954699e-09
1	218705513	219590571	1672	50	0.000318007184865	4.32509328103e-09
1	219590571	221858231	3435	50	0.000235861612909	7.0553078731e-09
1	221858231	222230220	623	37	9.54917800055e-05	1.74638815772e-09
1	222230220	224938520	3766	50	0.000186479859569	8.48749143531e-09
1	224938520	226810860	2741	50	0.00033791344969	7.53622316334e-09
1	226810860	229156248	4024	50	0.00042035574655	8.61718575405e-09
1	229156248	230685255	2238	50	8.24695867665e-05	5.06384385158e-09
1	230685255	232090252	2475	50	0.000210345278914	5.9526369789e-09
1	232090252	233429284	2513	50	0.000128392120993	5.81537731677e-09
1	233429284	234599434	2491	50	7.76871812444e-05	5.3087583082e-09
1	234599434	235819436	1973	50	0.000280884718469	6.0345934038e-09
1	235819436	237555628	3319	50	0.000154088493343	7.96001480269e-09
1	237555628	238567807	2249	50	0.000112328897662	4.87863716822e-09
1	238567807	239925314	2468	50	0.000154645135515	5.45671715802e-09
1	239925314	240564091	1578	50	8.11405362968e-05	3.54924996958e-09
1	240564091	241582220	1948	50	0.000127060827235	5.39750820473e-09
1	241582220	242071602	943	50	9.98601697537e-05	2.52130704686e-09
1	242071602	244109499	3322	50	0.000195630929055	7.92548597279e-09
1	244109499	245506746	2507	50	0.000137847828759	6.46650648411e-09
1	245506746	247344518	4109	50	9.40697526557e-05	8.25713881235e-09
1	247344518	249239466	3204	50	6.36477233406e-05	6.76489400876e-09
2	10133	1781022	3987	50	0.00163245864928	1.58529847639e-08
2	1781022	3973779	4493	50	0.000180652760932	8.70935814133e-09
2	3973779	5708337	3054	50	0.000179562941666	6.8784619421e-09
2	5708337	6836254	2420	50	0.000241493090778	5.71111314401e-09
2	6836254	8422147	2557	50	0.000161181308415	6.05593387315e-09
2	8422147	10298469	3371	50	0.000375751559565	9.166127838e-09
2	10298469	12419150	4691	50	0.000157771169282	8.58497092298e-09
2	12419150	14335308	3466	50	0.000202831953552	7.47659250108e-09
2	14335308	16329735	3367	50	0.000169268292207	7.60482959848e-09
2	16329735	18647423	3804	50	9.88995792079e-05	7.62330755059e-09
2	18647423	19692404	1571	50	8.41976037987e-05	3.35559026815e-09
2	19692404	21050490	2742	50	0.000209368920485	6.52045472666e-09
2	21050490	23341383	2482	50	0.000169587320089	6.82065318363e-09
2	23341383	24686918	2095	50	0.000557482673807	7.45524767442e-09
2	24686918	26894985	2665	50	0.000612450774515	8.98832424012e-09
2	26894985	28598777	1314	50	0.000804567896286	7.60414429366e-09
2	28598777	29217559	1059	50	0.000230412080492	3.48512673326e-09
2	29217559	30463711	2306	50	0.000115319493195	5.97541184291e-09
2	30463711	31550450	2324	50	0.000196871065741	6.11388440039e-09
2	31550450	33363777	2345	50	0.000350127589096	8.38540041954e-09
2	33363777	35345028	4248	50	0.00022649459656	8.94196413541e-09
2	35345028	36122006	2035	50	0.000128435281145	4.17743641114e-09
2	36122006	38132712	3874	50	0.000403786186266	9.85437926674e-09
2	38132712	39031337	1516	50	0.000110792727449	4.75919149169e-09
2	39031337	40281483	1376	50	9.39385990923e-05	4.24989445724e-09
2	40281483	43309590	5973	50	0.000428422191362	9.98780742652e-09
2	43309590	44313803	1758	50	0.000159011378286	5.16372406447e-09
2	44313803	46482634	4137	50	0.000338303186137	9.51074001563e-09
2	46482634	47318772	1661	50	0.000301350907546	5.70227147662e-09
2	47318772	48213001	1563	50	0.00013629534772	4.92262093538e-09
2	48213001	50022257	3445	50	0.000215853955708	8.87725618276e-09
2	50022257	50818928	1672	50	0.0002852438438	5.0912986777e-09
2	50818928	52491133	2917	50	0.000243303950579	8.2135610319e-09
2	52491133	53508452	2382	50	0.000115904816797	5.82372555393e-09
2	53508452	54685226	2128	50	0.000220464749164	6.26449590186e-09
2	54685226	56203345	2673	50	0.000651126356892	9.31920151358e-09
2	56203345	57429100	2027	50	0.000224970848664	5.88617264025e-09
2	57429100	58297315	1799	50	0.000155041866422	4.29719560283e-09
2	58297315	60292000	2693	50	0.000559847297396	1.00697235644e-08
2	60292000	62429044	2565	50	0.000315942114044	8.07417696454e-09
2	62429044	64625913	2554	50	0.000203699157757	7.75863364187e-09
2	64625913	65933444	2043	50	0.000231951713214	5.56036234901e-09
2	65933444	67226166	1906	50	0.000157998815571	5.02721403145e-09
2	67226166	68010176	1667	50	0.00027727691315	4.93246719506e-09
2	68010176	69139564	2072	50	0.000225098573739	5.02949388406e-09
2	69139564	70755198	2288	50	0.000201444961789	5.20704632106e-09
2	70755198	73174848	3647	50	0.00043629469486	1.00183606352e-08
2	73174848	75630086	3248	50	0.00021337914394	8.87115105311e-09
2	75630086	76913661	2501	50	0.000110219953312	5.18305723022e-09
2	76913661	78079264	2259	50	0.000136670233196	5.50592513416e-09
2	78079264	80050403	3830	50	0.000223996804591	7.99191163522e-09
2	80050403	81620841	2408	50	0.000126791250472	5.7249228435e-09
2	81620841	85140680	5926	50	7.84687945426e-05	8.17022537841e-09
2	85140680	88038507	2986	50	0.000309889203299	7.47819752462e-09
2	88038507	89154526	1097	50	0.000192468643706	3.72596755745e-09
