chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	8.54326920481e-05	5.33689250519e-09
1	1892607	3582736	3045	50	0.000506313690325	1.32490165755e-08
1	3582736	4380811	1622	50	0.000742157413035	9.55673361607e-09
1	4380811	5913893	3790	50	4.64721383447e-05	1.1159374038e-08
1	5913893	7247335	2066	50	0.000193485696323	7.61285165059e-09
1	7247335	9365199	3371	50	0.000122268834847	1.16349633304e-08
1	9365199	10806984	1551	50	4.96315260347e-05	5.79428681531e-09
1	10806984	11777841	1319	50	0.000193135165491	5.74130335362e-09
1	11777841	12779466	1366	50	0.000278111776296	6.31067799987e-09
1	12779466	14891511	2579	50	1.87734470041e-05	8.28023236127e-09
1	14891511	16897730	4083	50	0.000130094379125	1.16872693863e-08
1	16897730	18662899	2903	50	3.95658265659e-05	9.21915144283e-09
1	18662899	20469149	3703	50	5.88835462718e-05	1.04747555015e-08
1	20469149	21736588	2066	50	0.000556461065235	9.22853436501e-09
1	21736588	23086883	2718	50	0.000123768968407	8.66421517263e-09
1	23086883	23920590	1027	50	0.000681993784321	7.39597966741e-09
1	23920590	25516845	2421	50	0.000384281737957	9.70132634445e-09
1	25516845	27401867	2028	50	0.00197380780019	1.78042554929e-08
1	27401867	30161881	2938	50	0.00117651905883	1.66617685117e-08
1	30161881	32438685	4147	50	8.87149942893e-05	1.14352288107e-08
1	32438685	34799758	2590	50	9.23285827505e-05	8.89781556936e-09
1	34799758	37549183	2869	50	0.000151200843772	9.92093888315e-09
1	37549183	38731847	1902	50	0.000221963197531	6.43420577779e-09
1	38731847	40200567	2042	50	0.000138244839808	7.1260903533e-09
1	40200567	41975327	2933	50	0.000306270844821	9.12634739646e-09
1	41975327	43758457	2548	50	0.00122960238438	1.39976674464e-08
1	43758457	44969183	1455	50	0.000145623367114	5.21087998932e-09
1	44969183	46899501	2474	50	0.000215632338825	8.75609083046e-09
1	46899501	48002576	1540	50	0.000705477420204	8.48831353972e-09
1	48002576	48978188	1218	50	0.000128573621726	4.35706269311e-09
1	48978188	49894177	750	46	0.000149227596003	3.78257933816e-09
1	49894177	51713726	1240	45	0.000201761223473	6.03198141415e-09
1	51713726	54226262	2519	50	0.000125936640679	8.92195331035e-09
1	54226262	56413117	3639	50	0.000186211750643	1.11940827402e-08
1	56413117	57021728	1026	48	0.00010077090601	3.06528623788e-09
1	57021728	58865399	3295	50	4.01841931867e-05	8.50256674504e-09
1	58865399	59890409	1773	50	8.63799278989e-05	4.70587226111e-09
1	59890409	61922365	2469	50	0.000112169677114	7.8792549922e-09
1	61922365	63455089	2289	50	0.000268995409111	8.40232692063e-09
1	63455089	65041704	2971	50	0.000127959267117	7.57443021474e-09
1	65041704	66939404	2873	50	0.000122287751195	7.20411244985e-09
1	66939404	68477895	2885	50	0.000142510922415	7.25774309285e-09
1	68477895	69687616	1632	50	4.50661213524e-05	4.21797255085e-09
1	69687616	71372470	2634	50	5.38612630711e-05	6.46740646224e-09
1	71372470	71684405	514	20	8.69282217133e-05	1.88339961878e-09
1	71684405	74326907	3151	50	0.000124333074763	8.96298784921e-09
1	74326907	76728135	3459	50	4.11405809373e-05	7.3423199662e-09
1	76728135	79661198	4619	50	0.000211226510397	1.1582797266e-08
1	79661198	81354191	2772	50	0.000120627485053	7.82003171911e-09
1	81354191	83991748	4606	50	7.42628555829e-05	1.06378481818e-08
1	83991748	84844495	1190	50	4.71729904266e-05	3.28463736227e-09
1	84844495	86454751	2803	50	4.46412035821e-05	7.49708499272e-09
1	86454751	88128631	2909	50	0.000107007532787	8.00917720536e-09
1	88128631	90066303	2381	50	5.14846191611e-05	6.31975954816e-09
1	90066303	91886317	2543	50	0.000188381898446	7.44847270199e-09
1	91886317	93536459	2419	50	0.000174926527127	8.28774711858e-09
1	93536459	94506191	1140	47	0.000144067124171	4.60171334645e-09
1	94506191	96150893	2647	50	0.000126511755138	7.72218354436e-09
1	96150893	97885249	2645	50	3.92787090165e-05	6.45712206558e-09
1	97885249	99800604	2746	50	3.729224404e-05	6.31642434919e-09
1	99800604	100826405	1173	50	9.44582312255e-05	4.62199560184e-09
1	100826405	102041016	2008	50	5.60441036648e-05	5.16355451116e-09
1	102041016	102898745	1606	50	3.45854465995e-05	3.56482579356e-09
1	102898745	103914211	1657	46	5.78668553995e-05	4.61575920914e-09
1	103914211	106087842	3786	50	6.36548883409e-05	7.25798241433e-09
1	106087842	108409665	3684	50	9.93133774105e-05	9.12956963653e-09
1	108409665	110303931	2587	50	0.000283284942316	8.54890533179e-09
1	110303931	111741737	2385	50	0.000212752387838	8.16709551011e-09
1	111741737	113273306	2727	50	6.49820032207e-05	7.34427664547e-09
1	113273306	114873845	2210	50	0.000115073383858	6.75574450579e-09
1	114873845	115880593	1385	50	0.000263357226706	5.52462506067e-09
1	115880593	118839067	3917	50	0.000129525343286	1.10669124381e-08
1	118839067	144977494	2387	50	9.19711203377e-05	6.88231459061e-09
1	144977494	148361253	1879	50	9.03008963891e-05	7.09753314435e-09
1	148361253	151538881	1856	50	0.000278115871996	8.1997141957e-09
1	151538881	153180829	2262	50	6.76894187722e-05	6.50528106639e-09
1	153180829	154770403	2121	50	0.000321812693537	7.23180765336e-09
1	154770403	156336133	1197	50	0.000114927638735	4.91980354498e-09
1	156336133	158027412	2617	50	0.000296032153439	8.63084193907e-09
1	158027412	159913048	3378	50	0.0104579339165	7.15349665571e-08
1	159913048	162346721	3599	50	0.000316963763546	1.16188694747e-08
1	162346721	165191702	4925	50	5.46166662123e-05	1.1185787485e-08
1	165191702	166460517	2243	50	8.75212565569e-05	6.29931304814e-09
1	166460517	169086324	4616	50	0.000203727808494	1.21125528118e-08
1	169086324	170557776	2990	50	3.39414765261e-05	5.64876128946e-09
1	170557776	173097907	4076	50	0.000506856426979	1.19626633994e-08
1	173097907	175089768	2301	50	6.80172719062e-05	6.17652973441e-09
1	175089768	177433381	3388	50	8.19121458023e-05	8.56225169986e-09
1	177433381	178944309	1959	50	0.000153674424376	6.00231483681e-09
1	178944309	178954470	12	1	3.92229839888e-05	4.16379597393e-11
1	178954470	181144121	4095	50	8.60541580107e-05	9.92719249837e-09
1	181144121	182755356	2660	50	7.98553605502e-05	7.39768841487e-09
1	182755356	184595513	2701	50	0.000159488841282	7.36989203619e-09
1	184595513	186810023	2508	50	0.000124217497145	6.78819132905e-09
1	186810023	188759945	4484	50	8.03399327252e-07	7.80683476448e-09
1	188759945	189904130	1447	38	6.79222559401e-05	4.80023083695e-09
1	189904130	191868930	3345	50	6.61569973402e-05	7.08910684554e-09
1	191868930	194107442	3152	50	9.99378867071e-05	8.03077926065e-09
1	194107442	196176201	3903	50	4.07732569863e-05	7.49663597997e-09
1	196176201	197311514	1181	35	0.000107617523008	3.25266861157e-09
1	197311514	199239884	2348	50	0.00106347444828	1.34253051155e-08
1	199239884	200137649	1783	50	8.32188201441e-05	4.43502265965e-09
1	200137649	201589975	2773	50	7.79175076387e-05	8.09989474477e-09
1	201589975	203334734	2438	50	0.000710872396405	1.18454838043e-08
1	203334734	204681068	2198	50	7.87995610387e-05	7.00938417226e-09
1	204681068	206073265	2109	50	0.000324243491115	7.9960405376e-09
1	206073265	208410364	2544	50	0.000209297249552	8.76836587296e-09
1	208410364	210787750	3757	50	0.000217089454692	1.19850276649e-08
1	210787750	212842330	3287	50	0.000447781442707	1.13720425608e-08
1	212842330	214578266	2495	50	0.000340124618259	9.22109197045e-09
1	214578266	216243634	2660	50	0.000101401459418	7.46395823599e-09
1	216243634	218705513	4363	50	2.06323020598e-05	1.06728049866e-08
1	218705513	219590571	1672	50	5.1384433185e-05	4.09152178389e-09
1	219590571	221858231	3435	50	0.000334559456465	1.02169310568e-08
1	221858231	222230220	623	37	5.3911380909e-05	2.08943195833e-09
1	222230220	224938520	3766	50	0.000123493415234	1.12944740554e-08
1	224938520	226810860	2741	50	0.000570552200131	1.15903065786e-08
1	226810860	229156248	4024	50	0.000269266943026	1.06803686139e-08
1	229156248	230685255	2238	50	0.000403170146491	8.94426455095e-09
1	230685255	232090252	2475	50	7.8440680796e-05	7.30165763033e-09
1	232090252	233429284	2513	50	2.32782385379e-05	7.36283537488e-09
1	233429284	234599434	2491	50	5.43693768079e-05	7.20625334354e-09
1	234599434	235819436	1973	50	0.000110101084924	7.10261448852e-09
1	235819436	237555628	3319	50	3.82846470598e-05	1.02706585624e-08
1	237555628	238567807	2249	50	2.95596908882e-05	6.20523928947e-09
1	238567807	239925314	2468	50	5.67131083927e-05	6.87544133389e-09
1	239925314	240564091	1578	50	4.5107638142e-05	4.66216878325e-09
1	240564091	241582220	1948	50	5.2341800022e-05	6.96391225031e-09
1	241582220	242071602	943	50	4.8395046508e-05	3.10941073743e-09
1	242071602	244109499	3322	50	8.84563833134e-05	1.02287086619e-08
1	244109499	245506746	2507	50	9.04869279102e-05	8.61433310641e-09
1	245506746	247344518	4109	50	9.03136842706e-05	1.1435686418e-08
1	247344518	249239466	3204	50	0.00125709756728	1.66581776717e-08
2	10133	1781022	3987	50	4.63456023431e-05	1.07227627917e-08
2	1781022	3973779	4493	50	2.916383055e-05	1.10725044819e-08
2	3973779	5708337	3054	50	1.97117174353e-05	8.46125060465e-09
2	5708337	6836254	2420	50	1.15843516688e-05	6.33517168522e-09
2	6836254	8422147	2557	50	6.99955092019e-05	7.7476792709e-09
2	8422147	10298469	3371	50	0.00142085141745	1.87780342864e-08
2	10298469	12419150	4691	50	0.000210126347051	1.21654549598e-08
2	12419150	14335308	3466	50	6.4078875891e-05	9.40052662921e-09
2	14335308	16329735	3367	50	6.10209606952e-05	9.80269596291e-09
2	16329735	18647423	3804	50	0.000108182936315	1.06219269962e-08
2	18647423	19692404	1571	50	3.70520031561e-05	4.32047803601e-09
2	19692404	21050490	2742	50	4.15215134469e-05	7.87892995726e-09
2	21050490	23341383	2482	50	4.71571346437e-05	8.61876398282e-09
2	23341383	24686918	2095	50	0.00128694085561	1.4243477692e-08
2	24686918	26894985	2665	50	0.000381790329671	1.0503835739e-08
2	26894985	28598777	1314	50	0.000575898289488	8.37058313812e-09
2	28598777	29217559	1059	50	8.35009204003e-05	3.73714492759e-09
2	29217559	30463711	2306	50	4.33987502538e-05	7.80277238703e-09
2	30463711	31550450	2324	50	0.000110289270595	7.81717521062e-09
2	31550450	33363777	2345	50	5.60146946169e-05	9.56414143582e-09
2	33363777	35345028	4248	50	6.01083788022e-05	1.12563476316e-08
2	35345028	36122006	2035	50	7.61831642222e-05	5.39091388119e-09
2	36122006	38132712	3874	50	7.17777218735e-05	1.13274249171e-08
2	38132712	39031337	1516	50	0.000107385922226	6.52075082508e-09
2	39031337	40281483	1376	50	0.000171186569091	6.31489017482e-09
2	40281483	43309590	5973	50	0.000131970400022	1.17033373921e-08
2	43309590	44313803	1758	50	0.000348071254339	8.20030495212e-09
2	44313803	46482634	4137	50	0.000244516087181	1.23702756261e-08
2	46482634	47318772	1661	50	0.000104560484246	6.4576888496e-09
2	47318772	48213001	1563	50	0.000123907205389	6.66682558292e-09
2	48213001	50022257	3445	50	8.68498905371e-05	1.14053091525e-08
2	50022257	50818928	1672	50	5.61479222878e-05	5.42548799287e-09
2	50818928	52491133	2917	50	2.94249273352e-05	9.92973844682e-09
2	52491133	53508452	2382	50	6.07595260233e-05	7.69162346799e-09
2	53508452	54685226	2128	50	5.55320985888e-05	7.52633842611e-09
2	54685226	56203345	2673	50	6.60622218864e-05	8.77054693251e-09
2	56203345	57429100	2027	50	8.0887318786e-06	6.67711580967e-09
2	57429100	58297315	1799	50	9.12527636023e-05	5.45923192097e-09
2	58297315	60292000	2693	50	0.000292103547052	1.18478063215e-08
2	60292000	62429044	2565	50	0.00140569236316	1.75802072648e-08
2	62429044	64625913	2554	50	0.000193628589387	1.05768221792e-08
2	64625913	65933444	2043	50	0.000420511140579	8.6716564984e-09
2	65933444	67226166	1906	50	6.80164874126e-05	6.31889952254e-09
2	67226166	68010176	1667	50	3.32249343817e-05	5.12164557464e-09
2	68010176	69139564	2072	50	0.00019296069732	6.59830177221e-09
2	69139564	70755198	2288	50	0.000345003250521	7.93781857725e-09
2	70755198	73174848	3647	50	0.000243950660861	1.23714759228e-08
2	73174848	75630086	3248	50	0.000251830199808	1.24194695114e-08
2	75630086	76913661	2501	50	2.05836870425e-05	6.59197001347e-09
2	76913661	78079264	2259	50	5.37761364035e-05	7.05541491164e-09
2	78079264	80050403	3830	50	3.43436070611e-05	9.78846161716e-09
2	80050403	81620841	2408	50	0.00011534106875	7.80637716012e-09
2	81620841	85140680	5926	50	7.60961654302e-05	1.13398097507e-08
2	85140680	88038507	2986	50	0.00018213104843	9.35103421129e-09
2	88038507	89154526	1097	50	9.40698649223e-05	4.40914673972e-09
2	89154526	95326452	220	12	4.23342850031e-05	9.73095165955e-10
2	95326452	98995201	2181	50	0.000250626135237	1.0557782821e-08
2	98995201	101822329	4016	50	0.000223557270177	1.16996047229e-08
2	101822329	102688765	1349	50	9.90409290609e-05	3.82650609669e-09
2	102688765	103588215	1771	50	9.97196469742e-05	4.49822363359e-09
2	103588215	105125034	1589	50	7.2510040801e-05	5.7401584596e-09
2	105125034	106210058	1814	50	0.000109559862614	5.38669442926e-09
2	106210058	107408267	2314	50	9.82545623983e-05	6.30465039434e-09
2	107408267	108429177	1794	50	5.15607133596e-05	4.20236118446e-09
2	108429177	110572432	2799	50	0.000146147285987	8.23751841987e-09
2	110572432	113921856	3289	50	0.000676385182319	1.29004372288e-08
2	113921856	116772470	3886	50	5.22935697963e-05	1.03698068687e-08
2	116772470	118367466	2468	50	9.42778870698e-05	8.05633240112e-09
2	118367466	121303783	4550	50	0.000113770178792	1.15785578926e-08
2	121303783	123302906	3042	50	5.25848659547e-05	9.11810182349e-09
2	123302906	124732250	2816	50	8.23376302445e-06	4.71376925846e-09
2	124732250	125840921	1994	50	4.97828623732e-05	4.5943126837e-09
2	125840921	127373764	3003	50	7.54999612772e-05	6.43775736589e-09
2	127373764	128034347	1490	50	0.000101828500305	4.31425716506e-09
2	128034347	129474441	2377	50	7.72681059509e-05	6.4300973986e-09
2	129474441	130067170	1142	50	4.09457663594e-05	2.67203233493e-09
2	130067170	130658085	1014	48	4.07504143509e-05	2.66629187549e-09
2	130658085	133042784	2206	50	6.50826580532e-05	6.99058916559e-09
2	133042784	135158578	3457	50	8.33970440712e-05	1.07212453491e-08
2	135158578	137042794	1757	50	0.000129625919102	7.88384499005e-09
2	137042794	138698117	3076	50	-5.02438437721e-06	9.38250755027e-09
2	138698117	140100271	2230	50	5.29391989355e-05	4.85611111835e-09
2	140100271	141805351	3321	50	1.01313096293e-05	6.99309122757e-09
2	141805351	142518602	1648	50	3.37055064903e-05	4.20872544304e-09
2	142518602	144519484	2996	50	9.93489006198e-05	8.37294104312e-09
2	144519484	146445570	1701	50	0.000120539228822	5.87964865606e-09
2	146445570	147277162	748	39	7.92075614713e-05	2.84381758851e-09
2	147277162	150210292	3326	50	0.000202149305438	9.93934639656e-09
2	150210292	151731462	2073	50	7.30752355583e-05	5.57844294462e-09
2	151731462	152486782	1358	50	0.000301902345986	5.31812137665e-09
2	152486782	154005056	2292	50	0.000157006421496	7.62633855462e-09
2	154005056	155391135	2588	50	0.000138133135137	7.03804263724e-09
2	155391135	157560635	2846	50	4.48014777833e-05	7.56713566538e-09
2	157560635	158533218	645	46	6.11012550607e-05	2.64326532137e-09
2	158533218	159577082	1715	50	0.000132796313148	5.15158511239e-09
2	159577082	161769733	3693	50	0.000500016274359	1.19488820816e-08
2	161769733	163503551	1600	50	0.00014345922114	5.42230296537e-09
2	163503551	164466638	1147	50	0.000102034478286	4.57629062915e-09
