chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	42	5.1114149946e-05	4.52274239031e-08
1	1892607	3582736	3045	42	0.000210201907857	1.21300349271e-07
1	3582736	4380811	1622	42	7.63777979163e-05	4.9044790268e-08
1	4380811	5913893	3790	42	8.80089400612e-05	1.28282895043e-07
1	5913893	7247335	2066	42	0.000185619083822	7.00093224649e-08
1	7247335	9365199	3371	42	0.000174741986998	1.3043304572e-07
1	9365199	10806984	1551	42	0.0001438078284	5.63317790624e-08
1	10806984	11777841	1319	42	9.44879276121e-05	4.28744622306e-08
1	11777841	12779466	1366	42	9.32776105985e-05	4.35837077587e-08
1	12779466	14891511	2579	42	-1.26081954863e-05	8.89716955087e-08
1	14891511	16897730	4083	42	0.000355702476258	1.34583807952e-07
1	16897730	18662899	2903	42	1.93713250934e-05	1.00748415159e-07
1	18662899	20469149	3703	42	8.07514490329e-05	1.17685076797e-07
1	20469149	21736588	2066	42	0.000178090714821	6.19732939307e-08
1	21736588	23086883	2718	42	9.95922415064e-05	8.8037845448e-08
1	23086883	23920590	1027	42	0.000265103096943	2.92904483796e-08
1	23920590	25516845	2421	42	0.000184838376099	8.25662453357e-08
1	25516845	27401867	2028	42	-3.33659284449e-05	5.70865853121e-08
1	27401867	30161881	2938	42	0.000233362955417	1.12754620763e-07
1	30161881	32438685	4147	42	0.000139416600371	1.2969903912e-07
1	32438685	34799758	2590	42	4.2377496799e-05	9.25238942753e-08
1	34799758	37549183	2869	42	0.000172469093709	1.04500782793e-07
1	37549183	38731847	1902	42	0.000235687627081	5.29474501097e-08
1	38731847	40200567	2042	42	0.000929998346387	8.45342086711e-08
1	40200567	41975327	2933	42	0.000152322901493	8.04671381613e-08
1	41975327	43758457	2548	42	0.00053121381094	7.90753654212e-08
1	43758457	44969183	1455	42	8.94950161952e-05	3.95160716874e-08
1	44969183	46899501	2474	42	0.000468678788021	8.99697830695e-08
1	46899501	48002576	1540	42	2.46830323243e-05	3.66132698127e-08
1	48002576	48978188	1218	42	0.000125529407651	3.02925536751e-08
1	48978188	49894177	750	42	1.24445847618e-05	1.84943974275e-08
1	49894177	51713726	1240	42	8.34123325141e-05	4.58203830306e-08
1	51713726	54226262	2519	42	0.000225676909629	9.41822397857e-08
1	54226262	56413117	3639	42	0.00013360381937	1.18114113907e-07
1	56413117	57021728	1026	42	0.000107363059749	1.49483239921e-08
1	57021728	58865399	3295	42	7.50703310201e-05	9.21895586855e-08
1	58865399	59890409	1773	42	0.000187173385917	3.97179610203e-08
1	59890409	61922365	2469	42	5.53517028494e-05	7.73666485164e-08
1	61922365	63455089	2289	42	0.000154472143036	7.37884879631e-08
1	63455089	65041704	2971	42	5.35151560339e-05	7.19104592967e-08
1	65041704	66939404	2873	42	0.000273980720013	7.2287971258e-08
1	66939404	68477895	2885	42	-4.28361072114e-06	6.5159488548e-08
1	68477895	69687616	1632	42	0.000298449969495	3.89968788386e-08
1	69687616	71372470	2634	42	6.71680431689e-06	6.19973930235e-08
1	71372470	71684405	514	20	0.000105277613311	3.63206444047e-10
1	71684405	74326907	3151	42	0.000385747859194	9.84575977461e-08
1	74326907	76728135	3459	42	7.49752357773e-05	7.6371700684e-08
1	76728135	79661198	4619	42	0.000163349124767	1.22023811518e-07
1	79661198	81354191	2772	42	-6.19348877542e-06	7.44978446869e-08
1	81354191	83991748	4606	42	4.23487966282e-05	1.17771948675e-07
1	83991748	84844495	1190	42	0.000133082840918	2.27307785348e-08
1	84844495	86454751	2803	42	8.20483332674e-05	7.83366960292e-08
1	86454751	88128631	2909	42	0.000136980612907	8.13723719887e-08
1	88128631	90066303	2381	42	0.000123057585601	6.27909421435e-08
1	90066303	91886317	2543	42	3.9176672348e-05	6.49495783172e-08
1	91886317	93536459	2419	42	0.000229667121968	8.16327511576e-08
1	93536459	94506191	1140	42	6.56583295788e-05	3.09828293532e-08
1	94506191	96150893	2647	42	5.54357607242e-05	7.40679845748e-08
1	96150893	97885249	2645	42	-6.7925040118e-05	6.13885126085e-08
1	97885249	99800604	2746	42	4.90211098637e-05	6.22578675242e-08
1	99800604	100826405	1173	42	9.04091150287e-05	3.58042523172e-08
1	100826405	102041016	2008	42	0.00020902094977	4.87884071613e-08
1	102041016	102898745	1606	42	2.94132880098e-05	2.51870264157e-08
1	102898745	103914211	1657	42	0.000175054467783	4.0551882517e-08
1	103914211	106087842	3786	42	0.000116302086579	7.43057192861e-08
1	106087842	108409665	3684	42	0.000101611426931	9.64264967838e-08
1	108409665	110303931	2587	42	0.000257630853055	7.68975910182e-08
1	110303931	111741737	2385	42	0.000147955796253	7.50739358843e-08
1	111741737	113273306	2727	42	0.000200454495996	7.72409810681e-08
1	113273306	114873845	2210	42	5.60874761224e-05	6.19818713401e-08
1	114873845	115880593	1385	42	0.000254348997026	3.78387473077e-08
1	115880593	118839067	3917	42	0.000135101747172	1.21132813877e-07
1	118839067	144977494	2387	42	4.22905357097e-05	6.52668136805e-08
1	144977494	148361253	1879	42	0.000103721181887	6.96747231375e-08
1	148361253	151538881	1856	42	0.000297692956717	7.34995340226e-08
1	151538881	153180829	2262	42	0.000176981049725	6.51668471111e-08
1	153180829	154770403	2121	42	0.000168678820602	5.40476994969e-08
1	154770403	156336133	1197	42	0.000164005680245	3.97564151176e-08
1	156336133	158027412	2617	42	0.000181164723426	7.52545623768e-08
1	158027412	159913048	3378	42	0.000187585052875	9.14479773874e-08
1	159913048	162346721	3599	42	0.000209402225895	1.14748139182e-07
1	162346721	165191702	4925	42	-3.43650166213e-05	1.25200615952e-07
1	165191702	166460517	2243	42	5.31077187921e-05	5.80205482212e-08
1	166460517	169086324	4616	42	0.00012247250244	1.28997416931e-07
1	169086324	170557776	2990	42	0.000280419458034	5.86866952318e-08
1	170557776	173097907	4076	42	0.000101843764287	1.01276714333e-07
1	173097907	175089768	2301	42	0.000102567687929	5.90581255221e-08
1	175089768	177433381	3388	42	1.08550711995e-05	8.81185306707e-08
1	177433381	178944309	1959	42	0.000109666868622	4.99061378518e-08
1	178944309	178954470	12	1	6.70264948688e-05	-2.09359104859e-08
1	178954470	181144121	4095	42	0.000547421538756	1.184229499e-07
1	181144121	182755356	2660	42	7.46681102848e-05	7.3937016964e-08
1	182755356	184595513	2701	42	9.00725524301e-05	6.73848919941e-08
1	184595513	186810023	2508	42	0.000137056842064	6.34737021357e-08
1	186810023	188759945	4484	42	0.000158557828348	8.7854608951e-08
1	188759945	189904130	1447	38	7.42263261072e-06	3.84957959939e-08
1	189904130	191868930	3345	42	6.50399588055e-05	7.06758782403e-08
1	191868930	194107442	3152	42	7.04518034971e-05	8.07599065718e-08
1	194107442	196176201	3903	42	6.95730591195e-05	7.83698520854e-08
1	196176201	197311514	1181	35	3.8279466725e-05	1.5365737694e-08
1	197311514	199239884	2348	42	0.000166915139732	7.68040788425e-08
1	199239884	200137649	1783	42	0.000266328016049	3.81034963663e-08
1	200137649	201589975	2773	42	2.69119146311e-05	8.25344611658e-08
1	201589975	203334734	2438	42	8.99481885165e-05	8.26316238115e-08
1	203334734	204681068	2198	42	0.000135631572129	7.01373551631e-08
1	204681068	206073265	2109	42	0.000236339299109	6.56203802168e-08
1	206073265	208410364	2544	42	-2.99862902249e-06	8.01173557979e-08
1	208410364	210787750	3757	42	0.000305605138889	1.30262018014e-07
1	210787750	212842330	3287	42	0.00014044998582	9.89952196403e-08
1	212842330	214578266	2495	42	0.000153487102467	7.89965393211e-08
1	214578266	216243634	2660	42	-2.88650235699e-05	7.07571537467e-08
1	216243634	218705513	4363	42	9.67845469699e-05	1.23957516916e-07
1	218705513	219590571	1672	42	0.000277696389849	3.63380064765e-08
1	219590571	221858231	3435	42	-1.07779980142e-06	8.94806326153e-08
1	221858231	222230220	623	37	0.000124369389761	6.14012864954e-09
1	222230220	224938520	3766	42	0.00012312353972	1.2448807767e-07
1	224938520	226810860	2741	42	0.000198193360732	9.31276708671e-08
1	226810860	229156248	4024	42	0.000202851812633	1.05750648303e-07
1	229156248	230685255	2238	42	0.000157809632544	7.0196849691e-08
1	230685255	232090252	2475	42	9.11255377713e-05	7.31222147674e-08
1	232090252	233429284	2513	42	4.37822509894e-05	7.74199574359e-08
1	233429284	234599434	2491	42	0.000121474691859	7.44833040743e-08
1	234599434	235819436	1973	42	0.00023732928226	7.10990116147e-08
1	235819436	237555628	3319	42	0.000123206590109	1.17562613768e-07
1	237555628	238567807	2249	42	0.000196943867038	6.46820981725e-08
1	238567807	239925314	2468	42	-2.57422688743e-05	6.6541944512e-08
1	239925314	240564091	1578	42	8.672385652e-05	4.02509235441e-08
1	240564091	241582220	1948	42	1.55109044958e-05	6.9012902221e-08
1	241582220	242071602	943	42	0.000758600587874	3.40793158292e-08
1	242071602	244109499	3322	42	0.000153530204789	1.13491013172e-07
1	244109499	245506746	2507	42	0.000354825221162	9.58188051504e-08
1	245506746	247344518	4109	42	0.000189439700325	1.307011731e-07
1	247344518	249239466	3204	42	0.000274669393627	1.06984661551e-07
2	10133	1781022	3987	42	9.31715908694e-06	1.20521492948e-07
2	1781022	3973779	4493	42	0.000204118682338	1.31160321379e-07
2	3973779	5708337	3054	42	-4.9425999013e-06	9.15264125456e-08
2	5708337	6836254	2420	42	7.53982984994e-05	6.5198250181e-08
2	6836254	8422147	2557	42	7.59506645984e-05	7.95100534158e-08
2	8422147	10298469	3371	42	8.76485017097e-05	1.18030895238e-07
2	10298469	12419150	4691	42	0.000147342983714	1.29750455558e-07
2	12419150	14335308	3466	42	9.17624788195e-05	1.02814844351e-07
2	14335308	16329735	3367	42	0.00019397793642	1.10856930535e-07
2	16329735	18647423	3804	42	5.09917593415e-05	1.14921364629e-07
2	18647423	19692404	1571	42	2.74904417596e-05	3.50243425813e-08
2	19692404	21050490	2742	42	6.63549075214e-05	8.34162482635e-08
2	21050490	23341383	2482	42	1.1256339898e-05	9.17638626963e-08
2	23341383	24686918	2095	42	0.000155249085127	6.93328718096e-08
2	24686918	26894985	2665	42	0.00015405260424	9.29547494389e-08
2	26894985	28598777	1314	42	0.000890955864339	6.47035464831e-08
2	28598777	29217559	1059	42	7.60137090846e-05	2.45724719265e-08
2	29217559	30463711	2306	42	3.77654099279e-05	8.15902693344e-08
2	30463711	31550450	2324	42	3.79197247137e-05	7.62920906118e-08
2	31550450	33363777	2345	42	0.000335898012529	1.11201652729e-07
2	33363777	35345028	4248	42	4.97802770249e-05	1.27610853897e-07
2	35345028	36122006	2035	42	-7.95497509978e-06	4.5392174288e-08
2	36122006	38132712	3874	42	0.00025111332316	1.32157850546e-07
2	38132712	39031337	1516	42	-3.69585840422e-05	5.73773641366e-08
2	39031337	40281483	1376	42	0.000198934307634	5.46575541396e-08
2	40281483	43309590	5973	42	-7.89647111487e-05	1.2483067371e-07
2	43309590	44313803	1758	42	0.00019282589811	6.54574533019e-08
2	44313803	46482634	4137	42	0.000123988429176	1.29159224172e-07
2	46482634	47318772	1661	42	4.93206945527e-05	5.86777307834e-08
2	47318772	48213001	1563	42	0.000445958576554	6.87341082746e-08
2	48213001	50022257	3445	42	0.000288871402019	1.32819066821e-07
2	50022257	50818928	1672	42	9.62224581135e-05	4.97925115126e-08
2	50818928	52491133	2917	42	0.000127104267066	1.13719714176e-07
2	52491133	53508452	2382	42	0.000110577791386	8.02834456787e-08
2	53508452	54685226	2128	42	8.15832017517e-05	7.78276430078e-08
2	54685226	56203345	2673	42	0.000108915491868	9.44542180082e-08
2	56203345	57429100	2027	42	8.39786499173e-05	7.02904535596e-08
2	57429100	58297315	1799	42	7.9471008789e-05	4.70230965504e-08
2	58297315	60292000	2693	42	0.00010119326757	1.17510945992e-07
2	60292000	62429044	2565	42	0.000145619112935	1.04339366465e-07
2	62429044	64625913	2554	42	5.65053359461e-05	1.07323972583e-07
2	64625913	65933444	2043	42	0.000111002544511	6.40703516673e-08
2	65933444	67226166	1906	42	8.58973916011e-05	6.06035921415e-08
2	67226166	68010176	1667	42	0.000787916321148	6.29129018605e-08
2	68010176	69139564	2072	42	0.000210792983774	5.69555698638e-08
2	69139564	70755198	2288	42	0.000119523178791	6.05474957519e-08
2	70755198	73174848	3647	42	0.000246399343317	1.3198755684e-07
2	73174848	75630086	3248	42	0.000132186116527	1.29408150964e-07
2	75630086	76913661	2501	42	6.87545750431e-05	6.77785526858e-08
2	76913661	78079264	2258	42	0.000147487580442	7.30731583911e-08
2	78079264	80050403	3830	42	1.84333345891e-05	1.08933060985e-07
2	80050403	81620841	2408	42	4.48989126597e-05	7.58872701056e-08
2	81620841	85140680	5926	42	2.81562176089e-05	1.26931212763e-07
2	85140680	88038507	2986	42	0.000151902313209	9.37223073155e-08
2	88038507	89154526	1097	42	0.000110472768772	3.34374831873e-08
2	89154526	95326452	220	12	5.89191304146e-05	-9.11208030748e-09
2	95326452	98995201	2181	42	0.000197987999453	1.05515263625e-07
2	98995201	101822329	4016	42	0.000146669446013	1.22219956251e-07
2	101822329	102688765	1349	42	0.000116182622784	2.53975008041e-08
2	102688765	103588215	1771	42	3.9350589826e-05	3.25985704687e-08
