chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	6.75117013358e-05	6.87989408523e-09
1	1892607	3582736	3045	50	5.16739150622e-05	1.383794656e-08
1	3582736	4380811	1622	50	3.5301881942e-05	6.97677200892e-09
1	4380811	5913893	3790	50	4.11279668945e-05	1.4701050775e-08
1	5913893	7247335	2066	50	4.5417742101e-05	8.86744550506e-09
1	7247335	9365199	3371	50	9.22379204693e-05	1.50772468312e-08
1	9365199	10806984	1551	50	9.71555399838e-05	7.97734873419e-09
1	10806984	11777841	1319	50	0.000148958692161	7.11961477713e-09
1	11777841	12779466	1366	50	5.39482339733e-05	6.53115190997e-09
1	12779466	14891511	2579	50	0.000118104219173	1.16571200864e-08
1	14891511	16897730	4083	50	7.17455882793e-05	1.49399118701e-08
1	16897730	18662899	2903	50	5.04442383e-05	1.22584201069e-08
1	18662899	20469149	3703	50	6.12104184914e-05	1.38373484595e-08
1	20469149	21736588	2066	50	6.90425930348e-05	8.26087519664e-09
1	21736588	23086883	2718	50	4.60875916726e-05	1.08190716801e-08
1	23086883	23920590	1027	50	1.51543116081e-05	4.47173547513e-09
1	23920590	25516845	2421	50	0.000146828048694	1.0803368862e-08
1	25516845	27401867	2028	50	6.61291840847e-05	8.22236966821e-09
1	27401867	30161881	2938	50	5.17602593746e-05	1.29640075661e-08
1	30161881	32438685	4147	50	7.82789784927e-05	1.49856513462e-08
1	32438685	34799758	2590	50	3.39867165625e-05	1.12953384906e-08
1	34799758	37549183	2869	50	0.000114232923995	1.27347128944e-08
1	37549183	38731847	1902	50	4.71667546821e-05	7.095728772e-09
1	38731847	40200567	2042	50	7.18246221369e-05	8.85103347084e-09
1	40200567	41975327	2933	50	2.43568678743e-05	9.81499342742e-09
1	41975327	43758457	2548	50	0.000135583633442	9.62971996278e-09
1	43758457	44969183	1455	50	2.57899242041e-05	5.94182737733e-09
1	44969183	46899501	2474	50	7.81487078282e-05	1.04276779061e-08
1	46899501	48002576	1540	50	7.90238843356e-06	5.67221193172e-09
1	48002576	48978188	1218	50	1.65549600489e-05	4.88610877098e-09
1	48978188	49894177	750	46	3.36067440805e-05	4.0808907835e-09
1	49894177	51713726	1240	45	3.76481239312e-05	6.65993112164e-09
1	51713726	54226262	2519	50	-3.53160060126e-06	1.07956071589e-08
1	54226262	56413117	3639	50	9.77555673123e-06	1.3404120463e-08
1	56413117	57021728	1026	48	5.76511412054e-05	3.68696905612e-09
1	57021728	58865399	3295	50	6.50054070476e-05	1.14082966484e-08
1	58865399	59890409	1773	50	1.38283282002e-05	5.66504549466e-09
1	59890409	61922365	2469	50	6.46159263324e-05	1.00045773035e-08
1	61922365	63455089	2289	50	4.3027522717e-05	9.2883597275e-09
1	63455089	65041704	2971	50	0.000139418570885	9.99700192934e-09
1	65041704	66939404	2873	50	0.000379550931075	1.1227084356e-08
1	66939404	68477895	2885	50	0.000321194795614	1.07290209898e-08
1	68477895	69687616	1632	50	6.40033962693e-05	5.69953633137e-09
1	69687616	71372470	2634	50	3.51862649545e-05	8.40134469498e-09
1	71372470	71684405	514	20	5.57067060773e-05	2.22196271969e-09
1	71684405	74326907	3151	50	6.24971239212e-05	1.13237121282e-08
1	74326907	76728135	3459	50	1.0345933314e-05	9.48608556966e-09
1	76728135	79661198	4619	50	5.39985185644e-05	1.40255810244e-08
1	79661198	81354191	2772	50	2.35615404651e-05	9.57218577797e-09
1	81354191	83991748	4606	50	1.81215536674e-05	1.36276893404e-08
1	83991748	84844495	1190	50	4.82547685995e-05	4.33955147331e-09
1	84844495	86454751	2803	50	6.53088055456e-05	1.00459224204e-08
1	86454751	88128631	2909	50	3.78383452595e-05	1.00307586183e-08
1	88128631	90066303	2381	50	7.27079934478e-05	8.48673741535e-09
1	90066303	91886317	2543	50	3.8411903977e-05	8.64244566954e-09
1	91886317	93536459	2419	50	3.61493077205e-05	9.842500149e-09
1	93536459	94506191	1140	47	1.12286529418e-05	5.04846494214e-09
1	94506191	96150893	2647	50	4.88328478715e-05	9.57206695295e-09
1	96150893	97885249	2645	50	2.40516025308e-05	8.42697032256e-09
1	97885249	99800604	2746	50	2.02130932753e-05	8.2302173254e-09
1	99800604	100826405	1173	50	7.29408485347e-06	5.44422677816e-09
1	100826405	102041016	2008	50	3.86184881409e-05	6.68485385303e-09
1	102041016	102898745	1606	50	5.3214126796e-05	4.84494131432e-09
1	102898745	103914211	1657	46	3.12013375003e-05	5.89477240377e-09
1	103914211	106087842	3786	50	7.11861415741e-05	9.6184921552e-09
1	106087842	108409665	3684	50	3.05111420949e-05	1.15211049236e-08
1	108409665	110303931	2587	50	7.13240755826e-05	9.56472318822e-09
1	110303931	111741737	2385	50	0.000520060491248	1.27549509481e-08
1	111741737	113273306	2727	50	1.92718784653e-06	9.2388495058e-09
1	113273306	114873845	2210	50	1.76440466435e-05	8.16982174478e-09
1	114873845	115880593	1385	50	2.04470460252e-05	5.37850414592e-09
1	115880593	118839067	3917	50	0.000122212850523	1.44783741475e-08
1	118839067	144977494	2387	50	0.000141690881632	9.38660871984e-09
1	144977494	148361253	1879	50	6.15835852217e-06	8.73957260691e-09
1	148361253	151538881	1856	50	0.000149917755711	9.69317240898e-09
1	151538881	153180829	2262	50	4.743347151e-05	8.42597542104e-09
1	153180829	154770403	2121	50	5.18325913094e-05	7.38277698456e-09
1	154770403	156336133	1197	50	6.76193081809e-05	6.09365060696e-09
1	156336133	158027412	2617	50	5.95210488197e-05	9.48849506631e-09
1	158027412	159913048	3378	50	6.36348372634e-05	1.10817290557e-08
1	159913048	162346721	3599	50	4.72169988783e-05	1.31767528297e-08
1	162346721	165191702	4925	50	5.50095011621e-05	1.47675925213e-08
1	165191702	166460517	2243	50	4.52593853757e-05	7.97988205228e-09
1	166460517	169086324	4616	50	-1.61577213307e-05	1.42938819549e-08
1	169086324	170557776	2990	50	0.000122769903417	8.08900840898e-09
1	170557776	173097907	4076	50	9.02082247719e-05	1.24080596293e-08
1	173097907	175089768	2301	50	2.34450980426e-05	7.82184831774e-09
1	175089768	177433381	3388	50	3.70212538566e-05	1.09568669125e-08
1	177433381	178944309	1959	50	-2.97990493677e-06	6.72238434547e-09
1	178944309	178954470	12	1	2.14152457571e-05	-7.00640491852e-11
1	178954470	181144121	4095	50	2.99850352247e-05	1.26773340195e-08
1	181144121	182755356	2660	50	-1.35920649643e-07	9.17582115774e-09
1	182755356	184595513	2701	50	6.43138277968e-05	8.95056061724e-09
1	184595513	186810023	2508	50	0.000134662315802	8.95487524143e-09
1	186810023	188759945	4484	50	-4.96414179859e-06	1.03165133314e-08
1	188759945	189904130	1447	38	1.20758644202e-05	5.92507505593e-09
1	189904130	191868930	3345	50	3.08731791526e-05	9.09419245207e-09
1	191868930	194107442	3152	50	5.46190969361e-05	1.02330580343e-08
1	194107442	196176201	3903	50	4.57614883669e-05	9.93998135265e-09
1	196176201	197311514	1181	35	3.29083959952e-05	3.70809427772e-09
1	197311514	199239884	2348	50	6.61612522663e-05	9.71725106522e-09
1	199239884	200137649	1783	50	7.99795350281e-05	5.79249415836e-09
1	200137649	201589975	2773	50	5.84903068581e-05	1.05279736201e-08
1	201589975	203334734	2438	50	5.11378663039e-06	1.00276231661e-08
1	203334734	204681068	2198	50	5.28932907806e-05	9.04108379616e-09
1	204681068	206073265	2109	50	0.000491557262944	1.14356979594e-08
1	206073265	208410364	2544	50	8.93107298924e-05	1.05725426203e-08
1	208410364	210787750	3757	50	4.04586388884e-05	1.44145542529e-08
1	210787750	212842330	3287	50	0.000126203713029	1.23543015046e-08
1	212842330	214578266	2495	50	0.000114241381017	1.02959874305e-08
1	214578266	216243634	2660	50	7.25301548712e-05	9.59745826768e-09
1	216243634	218705513	4363	50	4.49316813413e-05	1.42927494643e-08
1	218705513	219590571	1672	50	5.62253821096e-05	5.42780118176e-09
1	219590571	221858231	3435	50	4.18864930531e-05	1.11493117925e-08
1	221858231	222230220	623	37	1.69699372298e-05	2.48882446237e-09
1	222230220	224938520	3766	50	2.78396812753e-05	1.416700714e-08
1	224938520	226810860	2741	50	6.07631174348e-05	1.12018700326e-08
1	226810860	229156248	4024	50	9.49609878054e-05	1.26550049851e-08
1	229156248	230685255	2238	50	4.29736936791e-05	8.9293943972e-09
1	230685255	232090252	2475	50	1.1653078467e-05	9.14252665947e-09
1	232090252	233429284	2513	50	2.81309343303e-05	9.78047818455e-09
1	233429284	234599434	2491	50	3.11346944338e-05	9.34526129857e-09
1	234599434	235819436	1973	50	2.21012488584e-05	8.69883376257e-09
1	235819436	237555628	3319	50	4.32040282689e-05	1.36073719418e-08
1	237555628	238567807	2249	50	2.97315604569e-05	8.21155852253e-09
1	238567807	239925314	2468	50	9.6504698651e-06	8.73961571745e-09
1	239925314	240564091	1578	50	7.49591346252e-05	6.36256013574e-09
1	240564091	241582220	1948	50	2.97955857209e-05	9.03197896392e-09
1	241582220	242071602	943	50	5.05783561207e-05	4.11432006381e-09
1	242071602	244109499	3322	50	3.80695712065e-05	1.31127869148e-08
1	244109499	245506746	2507	50	5.5969676617e-05	1.10891616894e-08
1	245506746	247344518	4109	50	4.7716694692e-05	1.47594325545e-08
1	247344518	249239466	3204	50	4.87972468463e-05	1.22957567257e-08
2	10133	1781022	3987	50	3.04353151974e-05	1.40504725833e-08
2	1781022	3973779	4493	50	2.24164911194e-05	1.45945648161e-08
2	3973779	5708337	3054	50	3.1064896723e-05	1.12810309105e-08
2	5708337	6836254	2420	50	8.53789344327e-05	8.91513086578e-09
2	6836254	8422147	2557	50	6.93313423476e-05	1.02017929073e-08
2	8422147	10298469	3371	50	6.99789941883e-05	1.39170491609e-08
2	10298469	12419150	4691	50	3.4496082437e-05	1.46668774692e-08
2	12419150	14335308	3466	50	4.24022935051e-05	1.22449615807e-08
2	14335308	16329735	3367	50	1.24009316805e-05	1.25910634584e-08
2	16329735	18647423	3804	50	4.6970973618e-05	1.3535842633e-08
2	18647423	19692404	1571	50	6.01101398149e-05	5.87203590591e-09
2	19692404	21050490	2742	50	9.60272443322e-05	1.07899397409e-08
2	21050490	23341383	2482	50	2.68696713122e-05	1.12395381622e-08
2	23341383	24686918	2095	50	6.01968908567e-05	8.9704694532e-09
2	24686918	26894985	2665	50	0.000248239213479	1.25901991204e-08
2	26894985	28598777	1314	50	0.000167110376498	7.65795049765e-09
2	28598777	29217559	1059	50	0.000179516802512	5.55960570102e-09
2	29217559	30463711	2306	50	6.78875424754e-05	1.04778516307e-08
2	30463711	31550450	2324	50	7.3763147663e-06	9.53836027709e-09
2	31550450	33363777	2345	50	0.000152391191353	1.32946626965e-08
2	33363777	35345028	4248	50	7.96319743629e-05	1.49889945177e-08
2	35345028	36122006	2035	50	7.88728420747e-05	7.10436595764e-09
2	36122006	38132712	3874	50	0.000133461196019	1.53658447204e-08
2	38132712	39031337	1516	50	0.00029392813812	9.84587601206e-09
2	39031337	40281483	1376	50	5.00542299377e-05	7.36433192522e-09
2	40281483	43309590	5973	50	0.000123136112379	1.53058211266e-08
2	43309590	44313803	1758	50	4.78181223384e-05	8.42258430619e-09
2	44313803	46482634	4137	50	0.000141665200142	1.5411018021e-08
2	46482634	47318772	1661	50	6.98729539654e-05	8.22417516655e-09
2	47318772	48213001	1563	50	2.64611272359e-05	8.04310182926e-09
2	48213001	50022257	3445	50	5.64171919252e-05	1.48080868855e-08
2	50022257	50818928	1672	50	5.08473796103e-05	7.11529270579e-09
2	50818928	52491133	2917	50	2.68735981438e-05	1.31139721201e-08
2	52491133	53508452	2382	50	7.33167669831e-05	1.02295985902e-08
2	53508452	54685226	2128	50	1.49998244544e-05	9.64628806683e-09
2	54685226	56203345	2673	50	2.25148516374e-05	1.12579041452e-08
2	56203345	57429100	2027	50	2.60608286816e-05	8.98162995247e-09
2	57429100	58297315	1799	50	-2.66314892901e-05	6.33970056309e-09
2	58297315	60292000	2693	50	6.90724246975e-05	1.38311557571e-08
2	60292000	62429044	2565	50	6.52541240206e-05	1.24351874752e-08
2	62429044	64625913	2554	50	7.51513083455e-05	1.29869732159e-08
2	64625913	65933444	2043	50	5.71467728969e-05	8.53009570154e-09
2	65933444	67226166	1906	50	2.63971359501e-05	8.03051838712e-09
2	67226166	68010176	1667	50	3.06058342861e-05	6.75627732885e-09
2	68010176	69139564	2072	50	4.16089795106e-05	7.50559704201e-09
2	69139564	70755198	2288	50	4.05036656904e-05	8.04990822216e-09
2	70755198	73174848	3647	50	6.52047111935e-05	1.48818629555e-08
2	73174848	75630086	3248	50	2.39291099518e-05	1.45929000299e-08
2	75630086	76913661	2501	50	4.44802559355e-05	8.89736465707e-09
2	76913661	78079264	2259	50	2.94819323849e-05	9.13919606324e-09
2	78079264	80050403	3830	50	4.34278564348e-05	1.30035428204e-08
2	80050403	81620841	2408	50	3.29049683085e-05	9.6616902859e-09
2	81620841	85140680	5926	50	1.59864745946e-07	1.44142431507e-08
2	85140680	88038507	2986	50	3.25715364724e-05	1.11635170459e-08
2	88038507	89154526	1097	50	5.70482027192e-05	5.51210896465e-09
2	89154526	95326452	220	12	3.54119099306e-05	1.2334828319e-09
2	95326452	98995201	2181	50	5.1701318891e-05	1.23404756122e-08
2	98995201	101822329	4016	50	6.66588161783e-05	1.41692596611e-08
2	101822329	102688765	1349	50	1.88450809392e-05	4.43701073367e-09
2	102688765	103588215	1771	50	6.64076543999e-05	5.64974206258e-09
2	103588215	105125034	1589	50	8.24226675232e-05	7.62003215905e-09
2	105125034	106210058	1814	50	2.23143466264e-05	6.438159094e-09
2	106210058	107408267	2314	50	1.45141119395e-05	7.68683530664e-09
2	107408267	108429177	1794	50	2.39433350886e-05	5.348409795e-09
2	108429177	110572432	2799	50	3.47098704421e-05	9.99675898031e-09
2	110572432	113921856	3289	50	3.19814036407e-05	1.18791434903e-08
2	113921856	116772470	3886	50	1.70312423897e-05	1.34426415437e-08
2	116772470	118367466	2468	50	5.9277792145e-06	9.97243455764e-09
2	118367466	121303783	4550	50	0.000100625106397	1.51298346559e-08
2	121303783	123302906	3042	50	5.60921675859e-05	1.20598055538e-08
2	123302906	124732250	2816	50	3.20221046233e-05	6.42700764321e-09
2	124732250	125840921	1994	50	4.68523841287e-05	6.03994708939e-09
2	125840921	127373764	3003	50	1.83239907859e-05	8.07137303071e-09
2	127373764	128034347	1490	50	5.89581998102e-05	5.33800397421e-09
2	128034347	129474441	2377	50	4.50283669008e-05	8.23316367218e-09
2	129474441	130067170	1142	50	3.63001180434e-05	3.49650635101e-09
2	130067170	130658085	1014	48	6.96575251103e-05	3.72210669545e-09
2	130658085	133042784	2206	50	3.67399050784e-05	9.01354492496e-09
2	133042784	135158578	3457	50	5.6989115161e-05	1.39363317745e-08
2	135158578	137042794	1757	50	4.23756685701e-05	9.71558557197e-09
2	137042794	138698117	3076	50	9.74041890705e-06	1.25480256969e-08
2	138698117	140100271	2230	50	4.37939669734e-05	6.3394164009e-09
2	140100271	141805351	3321	50	3.58993971908e-05	9.45145837949e-09
2	141805351	142518602	1648	50	5.16368188947e-05	5.69214737901e-09
2	142518602	144519484	2996	50	4.0161585663e-05	1.05888554197e-08
2	144519484	146445570	1701	50	9.3505841541e-05	7.49713362916e-09
2	146445570	147277162	748	39	3.43429170012e-05	3.40455336414e-09
2	147277162	150210292	3326	50	2.11711475763e-05	1.16998820697e-08
2	150210292	151731462	2073	50	1.58851907096e-05	6.93854344107e-09
2	151731462	152486782	1358	50	-3.81034349472e-06	4.62977539231e-09
2	152486782	154005056	2292	50	5.93611221488e-05	9.27459008733e-09
2	154005056	155391135	2588	50	3.36408371892e-05	8.46951158924e-09
2	155391135	157560635	2846	50	7.1742041612e-05	1.01820923843e-08
2	157560635	158533218	645	46	3.26365850838e-05	3.27216653772e-09
2	158533218	159577082	1715	50	1.90264574138e-06	5.79984927793e-09
2	159577082	161769733	3693	50	0.000166599848809	1.29784824603e-08
2	161769733	163503551	1600	50	5.04016303729e-05	6.40960717879e-09
2	163503551	164466638	1147	50	8.56873110015e-05	5.86847168925e-09
2	164466638	165178840	787	41	8.39578814656e-06	3.26055150526e-09
2	165178840	167160270	2847	50	2.7423952823e-05	9.27682347151e-09
