chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000103484604072	1.40944388005e-08
1	1892607	3582736	3045	50	0.000218409574637	3.15013993172e-08
1	3582736	4380811	1622	50	9.23715470565e-05	1.47097745034e-08
1	4380811	5913893	3790	50	0.000108868176956	3.24961673093e-08
1	5913893	7247335	2066	50	0.000231266780195	2.03295934065e-08
1	7247335	9365199	3371	50	0.000487787597192	3.65639102672e-08
1	9365199	10806984	1551	50	0.000172136236833	1.68489028967e-08
1	10806984	11777841	1319	50	0.000181485443121	1.41683090699e-08
1	11777841	12779466	1366	50	0.000145498177824	1.39559768186e-08
1	12779466	14891511	2579	50	0.000342561179857	2.67352759125e-08
1	14891511	16897730	4083	50	0.000207594911113	3.36014501067e-08
1	16897730	18662899	2903	50	0.000188756594996	2.75743447608e-08
1	18662899	20469149	3703	50	0.00022457717435	3.141186024e-08
1	20469149	21736588	2066	50	0.000252518975901	1.87897695139e-08
1	21736588	23086883	2718	50	0.000240922492633	2.48918111892e-08
1	23086883	23920590	1027	50	0.000173734922085	1.01764520098e-08
1	23920590	25516845	2421	50	5.92863334342e-05	2.13269555509e-08
1	25516845	27401867	2028	50	0.000217922692874	1.83839783207e-08
1	27401867	30161881	2938	50	0.000190098332623	2.91890493633e-08
1	30161881	32438685	4147	50	0.000180681732377	3.33155395184e-08
1	32438685	34799758	2590	50	0.000325236493179	2.70701760372e-08
1	34799758	37549183	2869	50	0.000187893696199	2.76353418511e-08
1	37549183	38731847	1902	50	0.00014630460602	1.5359636206e-08
1	38731847	40200567	2042	50	0.000310655297941	2.07073397642e-08
1	40200567	41975327	2933	50	0.000312768782532	2.36956586513e-08
1	41975327	43758457	2548	50	0.000219284067115	2.05091739738e-08
1	43758457	44969183	1455	50	0.00061321473119	1.79691494063e-08
1	44969183	46899501	2474	50	0.000188398337862	2.2926893123e-08
1	46899501	48002576	1540	50	0.000224515423413	1.35578145093e-08
1	48002576	48978188	1218	50	0.000149143785509	1.08395348631e-08
1	48978188	49894177	750	46	9.03895786794e-05	8.12332532527e-09
1	49894177	51713726	1240	45	0.000199307623574	1.50735985588e-08
1	51713726	54226262	2519	50	0.000257846205364	2.5811781154e-08
1	54226262	56413117	3639	50	0.000172339896646	3.06887312477e-08
1	56413117	57021728	1026	48	5.69621436019e-05	6.49957897716e-09
1	57021728	58865399	3295	50	9.56569927059e-05	2.44048491682e-08
1	58865399	59890409	1773	50	0.000205375388206	1.32466458533e-08
1	59890409	61922365	2469	50	0.000198752500687	2.22832984305e-08
1	61922365	63455089	2289	50	0.000152708010552	2.05027237747e-08
1	63455089	65041704	2971	50	0.000101825041858	2.00496487282e-08
1	65041704	66939404	2873	50	0.000515665529533	2.33961571389e-08
1	66939404	68477895	2885	50	8.44945373549e-05	1.86440721643e-08
1	68477895	69687616	1632	50	0.000146587192555	1.19134403167e-08
1	69687616	71372470	2634	50	0.000137999771501	1.84442346363e-08
1	71372470	71684405	514	20	0.000221192936835	4.92257416854e-09
1	71684405	74326907	3151	50	0.000641611080607	3.00227354548e-08
1	74326907	76728135	3459	50	0.00076889189527	2.79779638917e-08
1	76728135	79661198	4619	50	0.000152913167261	3.12009497744e-08
1	79661198	81354191	2772	50	0.000245167702641	2.24385825604e-08
1	81354191	83991748	4606	50	0.000301653210828	3.24409539017e-08
1	83991748	84844495	1190	50	6.28180802984e-05	8.19112925547e-09
1	84844495	86454751	2803	50	0.000132687921522	2.16697507657e-08
1	86454751	88128631	2909	50	0.000177263559286	2.25443897827e-08
1	88128631	90066303	2381	50	0.000306946829699	1.98208122171e-08
1	90066303	91886317	2543	50	0.000245819337574	2.00798807958e-08
1	91886317	93536459	2419	50	0.000146412896254	2.18145884792e-08
1	93536459	94506191	1140	47	9.51495923591e-05	1.07272233906e-08
1	94506191	96150893	2647	50	6.00514379594e-05	2.00820272188e-08
1	96150893	97885249	2645	50	0.00028289361978	2.02064340388e-08
1	97885249	99800604	2746	50	0.000325156417927	2.02625592543e-08
1	99800604	100826405	1173	50	4.80003720224e-05	1.11957814854e-08
1	100826405	102041016	2008	50	6.10988328075e-05	1.36629049322e-08
1	102041016	102898745	1606	50	0.000471364323167	1.35425646701e-08
1	102898745	103914211	1657	46	8.72964862119e-05	1.22554330068e-08
1	103914211	106087842	3786	50	0.000137839403699	2.06520093823e-08
1	106087842	108409665	3684	50	0.000201613998884	2.63369368585e-08
1	108409665	110303931	2587	50	0.000189313342596	2.10695951385e-08
1	110303931	111741737	2385	50	0.000189006205955	2.12055368082e-08
1	111741737	113273306	2727	50	0.000191285245583	2.14523123441e-08
1	113273306	114873845	2210	50	0.000172757179384	1.85604880343e-08
1	114873845	115880593	1385	50	0.000229913903927	1.27462207325e-08
1	115880593	118839067	3917	50	0.000104266648327	3.06283763316e-08
1	118839067	144977494	2387	50	0.000156337583415	1.91927221891e-08
1	144977494	148361253	1879	50	0.000209859819769	2.04376536926e-08
1	148361253	151538881	1856	50	0.000393727591448	2.22642419243e-08
1	151538881	153180829	2262	50	0.000152089266879	1.84538495667e-08
1	153180829	154770403	2121	50	0.000426315453634	1.8884997923e-08
1	154770403	156336133	1197	50	0.000227956546718	1.3607719201e-08
1	156336133	158027412	2617	50	4.55509377447e-05	1.95674861916e-08
1	158027412	159913048	3378	50	0.000137366522524	2.41189419206e-08
1	159913048	162346721	3599	50	0.000220056878507	3.00689224335e-08
1	162346721	165191702	4925	50	0.000254347419868	3.39709644157e-08
1	165191702	166460517	2243	50	0.00151392739135	3.18024663822e-08
1	166460517	169086324	4616	50	0.000300531616048	3.45180912692e-08
1	169086324	170557776	2990	50	0.000132464570592	1.62792948319e-08
1	170557776	173097907	4076	50	0.000212145453496	2.75274152326e-08
1	173097907	175089768	2301	50	0.00013655140174	1.72918088287e-08
1	175089768	177433381	3388	50	0.000228075841792	2.52173816596e-08
1	177433381	178944309	1959	50	0.000685798779727	2.09752861343e-08
1	178944309	178954470	12	1	7.44887453851e-05	-1.25841301001e-09
1	178954470	181144121	4095	50	0.000206193661135	2.90504674796e-08
1	181144121	182755356	2660	50	0.00018264918877	2.124985142e-08
1	182755356	184595513	2701	50	0.000212267097753	2.00181929309e-08
1	184595513	186810023	2508	50	0.000137806418889	1.81230758786e-08
1	186810023	188759945	4484	50	0.000300814234874	2.51891377344e-08
1	188759945	189904130	1447	38	7.93935151016e-05	1.25445756013e-08
1	189904130	191868930	3345	50	0.000293593659633	2.17376616233e-08
1	191868930	194107442	3152	50	0.000133667591316	2.22793820152e-08
1	194107442	196176201	3903	50	0.000172457214394	2.21591106777e-08
1	196176201	197311514	1181	35	0.00015475806271	7.9610286455e-09
1	197311514	199239884	2348	50	0.000146997831572	2.10547871453e-08
1	199239884	200137649	1783	50	0.000475923805882	1.53268236732e-08
1	200137649	201589975	2773	50	0.000142708492077	2.29885354635e-08
1	201589975	203334734	2438	50	0.000209165300574	2.33972680084e-08
1	203334734	204681068	2198	50	0.000425288012126	2.2652551646e-08
1	204681068	206073265	2109	50	0.000269464277857	1.94955542757e-08
1	206073265	208410364	2544	50	0.000181421671253	2.30066758077e-08
1	208410364	210787750	3757	50	0.000160757686328	3.23981052688e-08
1	210787750	212842330	3287	50	0.00026925531271	2.74307908177e-08
1	212842330	214578266	2495	50	0.000303260590155	2.32606010982e-08
1	214578266	216243634	2660	50	0.000170551006163	2.0927404146e-08
1	216243634	218705513	4363	50	0.000187771128227	3.23322363885e-08
1	218705513	219590571	1672	50	0.000108394390105	1.10174150074e-08
1	219590571	221858231	3435	50	8.58265306152e-05	2.40772624647e-08
1	221858231	222230220	623	37	0.000125341482573	5.13641168366e-09
1	222230220	224938520	3766	50	0.000185315941428	3.22920646778e-08
1	224938520	226810860	2741	50	0.000214205581032	2.52525692054e-08
1	226810860	229156248	4024	50	0.000223253667456	2.8135977713e-08
1	229156248	230685255	2238	50	0.000125334180527	1.93939084548e-08
1	230685255	232090252	2475	50	0.00010039029829	2.01179687159e-08
1	232090252	233429284	2513	50	0.000145416335125	2.17901389581e-08
1	233429284	234599434	2491	50	6.33619017942e-05	1.9880472961e-08
1	234599434	235819436	1973	50	0.000111669178062	1.90554100246e-08
1	235819436	237555628	3319	50	3.4081670821e-05	2.91518428551e-08
1	237555628	238567807	2249	50	0.00017091884745	1.84440011624e-08
1	238567807	239925314	2468	50	6.79646376718e-05	1.88865272928e-08
1	239925314	240564091	1578	50	0.000119731788397	1.29680696368e-08
1	240564091	241582220	1948	50	0.00014232634122	2.00177797148e-08
1	241582220	242071602	943	50	4.17391295086e-05	7.42210752481e-09
1	242071602	244109499	3322	50	0.000274393742141	3.06449054181e-08
1	244109499	245506746	2507	50	0.000104885444007	2.39153879621e-08
1	245506746	247344518	4109	50	5.23509951145e-05	3.19240024972e-08
1	247344518	249239466	3204	50	0.000166489716397	2.74508150794e-08
2	10133	1781022	3987	50	0.00112135123744	4.19175147082e-08
2	1781022	3973779	4493	50	0.000141728629942	3.29017235012e-08
2	3973779	5708337	3054	50	0.000326980455183	2.7102622644e-08
2	5708337	6836254	2420	50	0.000223290978842	1.97175080598e-08
2	6836254	8422147	2557	50	0.00012004939871	2.18289770389e-08
2	8422147	10298469	3371	50	0.000223207917463	3.14395969133e-08
2	10298469	12419150	4691	50	0.000283628335913	3.43809224763e-08
2	12419150	14335308	3466	50	5.60609334772e-05	2.6267663991e-08
2	14335308	16329735	3367	50	9.08977731913e-05	2.79131793359e-08
2	16329735	18647423	3804	50	0.000396041074088	3.27655689432e-08
2	18647423	19692404	1571	50	7.88256358895e-05	1.1656888144e-08
2	19692404	21050490	2742	50	9.08505454208e-05	2.24408872081e-08
2	21050490	23341383	2482	50	0.000212473570063	2.58638050151e-08
2	23341383	24686918	2095	50	0.000476106317115	2.29096584921e-08
2	24686918	26894985	2665	50	0.000469095813529	2.81289008841e-08
2	26894985	28598777	1314	50	0.000209671487445	1.54035872839e-08
2	28598777	29217559	1059	50	0.000146909484886	9.77179378729e-09
2	29217559	30463711	2306	50	4.80739504259e-05	2.17242346225e-08
2	30463711	31550450	2324	50	0.000103830366326	2.11284549971e-08
2	31550450	33363777	2345	50	0.000170726535837	2.8127089024e-08
2	33363777	35345028	4248	50	9.30469913746e-05	3.23704417353e-08
2	35345028	36122006	2035	50	7.13400554493e-05	1.40880947385e-08
