chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	1.69842143884e-06	8.87432944212e-09
1	1892607	3582736	3045	50	8.36099736864e-05	1.9278584982e-08
1	3582736	4380811	1622	50	5.66983704765e-05	9.76578002613e-09
1	4380811	5913893	3790	50	5.28045556502e-07	1.98863958945e-08
1	5913893	7247335	2066	50	4.51684585218e-06	1.18458409743e-08
1	7247335	9365199	3371	50	0.000198054376357	2.15344588725e-08
1	9365199	10806984	1551	50	9.47112803473e-05	1.08612705141e-08
1	10806984	11777841	1319	50	-2.00777797889e-06	8.39382875813e-09
1	11777841	12779466	1366	50	0.000147956164113	9.71854730594e-09
1	12779466	14891511	2579	50	-2.10419772208e-05	1.47786660884e-08
1	14891511	16897730	4083	50	2.13177550055e-05	2.00909379518e-08
1	16897730	18662899	2903	50	-9.51841115285e-06	1.63513385205e-08
1	18662899	20469149	3703	50	4.07916310618e-05	1.88343709554e-08
1	20469149	21736588	2066	50	-4.22652408676e-06	1.07125157871e-08
1	21736588	23086883	2718	50	8.90088528675e-05	1.52187592023e-08
1	23086883	23920590	1027	50	3.28469045046e-05	6.31373182078e-09
1	23920590	25516845	2421	50	0.000182626669546	1.4995535422e-08
1	25516845	27401867	2028	50	0.00013017036706	1.17862793349e-08
1	27401867	30161881	2938	50	6.22199609386e-05	1.7898642981e-08
1	30161881	32438685	4147	50	2.85044067857e-06	1.99392213033e-08
1	32438685	34799758	2590	50	6.67085313646e-05	1.58083855746e-08
1	34799758	37549183	2869	50	1.15737461386e-05	1.65663370479e-08
1	37549183	38731847	1902	50	4.58536809506e-05	9.72725162101e-09
1	38731847	40200567	2042	50	7.0530942134e-05	1.2109778292e-08
1	40200567	41975327	2933	50	2.66452655472e-05	1.35340031206e-08
1	41975327	43758457	2548	50	8.67283274556e-05	1.27025117243e-08
1	43758457	44969183	1455	50	3.97096371216e-05	8.29273478628e-09
1	44969183	46899501	2474	50	1.73500205414e-05	1.37847486781e-08
1	46899501	48002576	1540	50	2.43843642425e-05	7.96765283633e-09
1	48002576	48978188	1218	50	1.17794528324e-05	6.69920188167e-09
1	48978188	49894177	750	46	-7.78542524979e-06	5.26753858855e-09
1	49894177	51713726	1240	45	1.1007166975e-05	8.93368378761e-09
1	51713726	54226262	2519	50	3.92886017817e-05	1.52562346029e-08
1	54226262	56413117	3639	50	3.04071768668e-05	1.86480236105e-08
1	56413117	57021728	1026	48	4.09213173328e-07	4.56194760237e-09
1	57021728	58865399	3295	50	4.01807634806e-05	1.54482370524e-08
1	58865399	59890409	1773	50	9.93351817263e-06	7.78304446936e-09
