chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	0.000116402060203	5.74162019152e-09
1	1892607	3582736	3045	50	0.000353263197126	1.27811365415e-08
1	3582736	4380811	1622	50	5.3916786765e-05	5.60855170336e-09
1	4380811	5913893	3790	50	5.09620379402e-05	1.16421938922e-08
1	5913893	7247335	2066	50	5.39506294278e-05	7.04227749553e-09
1	7247335	9365199	3371	50	0.000208192174543	1.26335913343e-08
1	9365199	10806984	1551	50	0.000686524082777	9.96697382783e-09
1	10806984	11777841	1319	50	6.09247139385e-05	5.14148016189e-09
1	11777841	12779466	1366	50	6.55822974416e-05	5.22745288809e-09
1	12779466	14891511	2579	50	7.75882221687e-05	8.98615726312e-09
1	14891511	16897730	4083	50	9.50778545264e-05	1.1935607584e-08
1	16897730	18662899	2903	50	0.000122445037081	1.01101606662e-08
1	18662899	20469149	3703	50	8.04553351786e-05	1.10342807455e-08
1	20469149	21736588	2066	50	0.000118110955885	6.83161439664e-09
1	21736588	23086883	2718	50	6.31563509116e-05	8.63271031506e-09
1	23086883	23920590	1027	50	0.000134092867492	4.24047450172e-09
1	23920590	25516845	2421	50	0.000126911082272	8.46146978553e-09
1	25516845	27401867	2028	50	0.000576257554872	9.649711862e-09
1	27401867	30161881	2938	50	0.000158265342694	1.08811491412e-08
1	30161881	32438685	4147	50	0.000176381146055	1.24407708298e-08
1	32438685	34799758	2590	50	0.000110826239074	9.36985697704e-09
1	34799758	37549183	2869	50	0.000154352114476	1.03320948939e-08
1	37549183	38731847	1902	50	0.000280736970307	7.03842984349e-09
1	38731847	40200567	2042	50	7.94307585916e-05	7.04199677036e-09
1	40200567	41975327	2933	50	0.000226431424879	8.97211523908e-09
1	41975327	43758457	2548	50	0.000351450741547	8.98808945764e-09
1	43758457	44969183	1455	50	0.000171190915413	5.56955420608e-09
1	44969183	46899501	2474	50	0.000282002962851	9.50336629863e-09
1	46899501	48002576	1540	50	0.000112418366829	5.09235803338e-09
1	48002576	48978188	1218	50	7.48821150104e-05	4.19406098628e-09
1	48978188	49894177	750	46	0.000108195147996	3.67187329332e-09
1	49894177	51713726	1240	45	6.58351671169e-05	5.41977280865e-09
1	51713726	54226262	2519	50	0.000255391465342	1.00783217343e-08
1	54226262	56413117	3639	50	0.000407316055326	1.3005658422e-08
1	56413117	57021728	1026	48	0.000242961741914	4.06043691592e-09
1	57021728	58865399	3295	50	5.76231316127e-05	8.95847757683e-09
1	58865399	59890409	1773	50	8.19231003949e-05	4.86601114687e-09
1	59890409	61922365	2469	50	0.000226804118165	8.90246315688e-09
1	61922365	63455089	2289	50	0.000230919345745	8.48199900494e-09
1	63455089	65041704	2971	50	6.17723565272e-05	7.46403560658e-09
1	65041704	66939404	2873	50	0.000160395482366	7.72469026977e-09
1	66939404	68477895	2885	50	0.000280330181638	8.39476110258e-09
1	68477895	69687616	1632	50	3.83146251184e-05	4.34922529931e-09
1	69687616	71372470	2634	50	4.73454705606e-05	6.69050258157e-09
1	71372470	71684405	514	20	6.02222265493e-05	1.79157276293e-09
1	71684405	74326907	3151	50	4.58453904802e-05	8.8326703212e-09
1	74326907	76728135	3459	50	5.58343160741e-05	7.73383383574e-09
1	76728135	79661198	4619	50	0.000148391625023	1.16441765043e-08
1	79661198	81354191	2772	50	5.57948872678e-05	7.72879864346e-09
1	81354191	83991748	4606	50	0.000103986217522	1.12526965536e-08
1	83991748	84844495	1190	50	6.29795290487e-05	3.51670656088e-09
1	84844495	86454751	2803	50	4.24622913373e-05	7.79001115772e-09
1	86454751	88128631	2909	50	8.8637604682e-05	8.21490127171e-09
1	88128631	90066303	2381	50	0.000345828844758	8.39748849648e-09
1	90066303	91886317	2543	50	0.000212526676755	7.88436269659e-09
1	91886317	93536459	2419	50	0.00186759581908	1.90891589483e-08
1	93536459	94506191	1140	47	0.00103340972675	1.02647115699e-08
1	94506191	96150893	2647	50	9.63535568325e-05	7.8409006122e-09
1	96150893	97885249	2645	50	5.10382039316e-05	6.79463951974e-09
1	97885249	99800604	2746	50	8.66841019282e-05	6.88117083066e-09
1	99800604	100826405	1173	50	0.000129218689355	5.01974415797e-09
1	100826405	102041016	2008	50	0.000447727695692	7.79271061163e-09
1	102041016	102898745	1606	50	4.02047283905e-05	3.74708756913e-09
1	102898745	103914211	1657	46	6.44600501548e-05	4.84398162547e-09
1	103914211	106087842	3786	50	9.95654213703e-06	7.21998550939e-09
1	106087842	108409665	3684	50	0.000221315609537	1.0251781804e-08
1	108409665	110303931	2587	50	0.00021023207484	8.41629015144e-09
1	110303931	111741737	2385	50	0.000465569833282	1.00444362979e-08
1	111741737	113273306	2727	50	0.000205745103836	8.5131525813e-09
1	113273306	114873845	2210	50	7.12323549215e-05	6.75214509553e-09
