chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	8.50728836048e-05	7.25030888032e-09
1	1892607	3582736	3045	50	0.000217837818547	1.55166193257e-08
1	3582736	4380811	1622	50	4.50558941065e-05	7.29938966296e-09
1	4380811	5913893	3790	50	3.2529832201e-05	1.51675012147e-08
1	5913893	7247335	2066	50	0.000127659092335	9.77049284472e-09
1	7247335	9365199	3371	50	0.000329466768672	1.73019604385e-08
1	9365199	10806984	1551	50	0.000133333752115	8.51520258966e-09
1	10806984	11777841	1319	50	0.000114420721563	7.1194269029e-09
1	11777841	12779466	1366	50	4.20157450095e-05	6.68194019298e-09
1	12779466	14891511	2579	50	7.19318964825e-05	1.17388693746e-08
1	14891511	16897730	4083	50	7.35218648929e-05	1.54849165791e-08
1	16897730	18662899	2903	50	0.000117206782202	1.31728841389e-08
1	18662899	20469149	3703	50	6.56238864733e-05	1.43632601726e-08
1	20469149	21736588	2066	50	0.000193726334805	9.43994741741e-09
1	21736588	23086883	2718	50	0.000287263529	1.29214161288e-08
1	23086883	23920590	1027	50	0.000265617795316	6.40981875518e-09
1	23920590	25516845	2421	50	0.000113273547907	1.09409833291e-08
1	25516845	27401867	2028	50	0.000168553640393	9.24260569082e-09
1	27401867	30161881	2938	50	0.000106139222546	1.3815531421e-08
1	30161881	32438685	4147	50	3.75662903212e-05	1.52287624732e-08
1	32438685	34799758	2590	50	3.09961830233e-05	1.16815868102e-08
1	34799758	37549183	2869	50	0.00012418075926	1.32541033381e-08
1	37549183	38731847	1902	50	4.98145174204e-05	7.37075752067e-09
1	38731847	40200567	2042	50	6.6736708289e-05	9.13068151062e-09
1	40200567	41975327	2933	50	5.85005677713e-05	1.0413413395e-08
1	41975327	43758457	2548	50	0.000103707426078	9.7390573301e-09
1	43758457	44969183	1455	50	6.38164576158e-05	6.4288398875e-09
1	44969183	46899501	2474	50	0.000151254790508	1.13178796358e-08
1	46899501	48002576	1540	50	3.71247536265e-05	6.08949261292e-09
1	48002576	48978188	1218	50	6.66538371876e-05	5.42182381768e-09
1	48978188	49894177	750	46	4.86133119234e-05	4.33739593564e-09
1	49894177	51713726	1240	45	0.000147266424208	7.67827554253e-09
1	51713726	54226262	2519	50	0.000150488655577	1.22844378732e-08
1	54226262	56413117	3639	50	8.81731541092e-05	1.44477389654e-08
1	56413117	57021728	1026	48	9.99000499842e-05	4.11888191985e-09
1	57021728	58865399	3295	50	3.71817388441e-05	1.16182068527e-08
1	58865399	59890409	1773	50	8.95395491032e-05	6.41040245736e-09
1	59890409	61922365	2469	50	0.000119788156029	1.07539731754e-08
1	61922365	63455089	2289	50	6.51225322032e-05	9.7800708338e-09
1	63455089	65041704	2971	50	5.876408035e-05	9.77272916057e-09
1	65041704	66939404	2873	50	0.000170637303928	1.01068603778e-08
1	66939404	68477895	2885	50	7.70875852543e-05	9.34881154276e-09
1	68477895	69687616	1632	50	7.00839928899e-05	5.9469412714e-09
1	69687616	71372470	2634	50	5.85228945571e-05	8.87115043329e-09
1	71372470	71684405	514	20	5.29841552696e-05	2.28400002981e-09
1	71684405	74326907	3151	50	8.96820446993e-05	1.19218262688e-08
