chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	3.33505320896e-06	9.84363116754e-09
1	1892607	3582736	3045	50	-1.87558664928e-05	2.04259334738e-08
1	3582736	4380811	1622	50	-3.87072055739e-06	1.02711025086e-08
1	4380811	5913893	3790	50	-1.08597955759e-05	2.19219780207e-08
1	5913893	7247335	2066	50	4.92046530111e-05	1.3502390635e-08
1	7247335	9365199	3371	50	4.69952556077e-05	2.24500770252e-08
1	9365199	10806984	1551	50	3.35352193347e-06	1.1201772946e-08
1	10806984	11777841	1319	50	-7.98114802795e-06	9.24799140558e-09
1	11777841	12779466	1366	50	7.45976353074e-05	1.00682686919e-08
1	12779466	14891511	2579	50	-1.54376687206e-05	1.64241835506e-08
1	14891511	16897730	4083	50	5.72160195052e-06	2.21026585652e-08
1	16897730	18662899	2903	50	-1.24357232949e-05	1.80864625154e-08
1	18662899	20469149	3703	50	7.41456996344e-07	2.04917613049e-08
1	20469149	21736588	2066	50	-2.31086027737e-06	1.18835683125e-08
1	21736588	23086883	2718	50	-2.01266456692e-05	1.58729180894e-08
1	23086883	23920590	1027	50	-4.18659443909e-05	6.33993029344e-09
1	23920590	25516845	2421	50	0.000165035829576	1.6372909264e-08
1	25516845	27401867	2028	50	-4.27793226385e-06	1.18388969939e-08
1	27401867	30161881	2938	50	6.66272755293e-06	1.9312617797e-08
1	30161881	32438685	4147	50	-7.21612619656e-06	2.19908279599e-08
1	32438685	34799758	2590	50	4.3842061141e-05	1.7279140676e-08
1	34799758	37549183	2869	50	3.50434348642e-05	1.85426491086e-08
1	37549183	38731847	1902	50	2.39147472572e-05	1.05653678015e-08
1	38731847	40200567	2042	50	1.81709876728e-05	1.29297027051e-08
1	40200567	41975327	2933	50	1.00136196466e-05	1.4833338252e-08
1	41975327	43758457	2548	50	-4.93936668437e-06	1.32401083093e-08
1	43758457	44969183	1455	50	7.09705699211e-05	9.43724706573e-09
1	44969183	46899501	2474	50	5.08789468434e-05	1.55472187876e-08
1	46899501	48002576	1540	50	6.70992362106e-05	9.18259687633e-09
1	48002576	48978188	1218	50	1.48004241109e-05	7.44312751359e-09
1	48978188	49894177	750	46	9.62735905335e-06	5.99047055215e-09
1	49894177	51713726	1240	45	2.76949843852e-05	1.00345125398e-08
1	51713726	54226262	2519	50	3.50502133979e-05	1.68408739707e-08
1	54226262	56413117	3639	50	-8.77511752723e-06	2.02976667811e-08
1	56413117	57021728	1026	48	-1.57956732203e-05	4.91740280728e-09
1	57021728	58865399	3295	50	-7.81021750896e-06	1.66757731521e-08
1	58865399	59890409	1773	50	2.91317153568e-06	8.55753443053e-09
