chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	3.68442353699e-05	8.21805129536e-09
1	1892607	3582736	3045	50	9.30450238283e-05	1.73794495288e-08
1	3582736	4380811	1622	50	7.96273753048e-05	8.94531624109e-09
1	4380811	5913893	3790	50	0.000112415347514	1.86868279752e-08
1	5913893	7247335	2066	50	4.74263946722e-05	1.09432736219e-08
1	7247335	9365199	3371	50	0.000262807949117	1.98792951159e-08
1	9365199	10806984	1551	50	3.41660148085e-05	9.2970658689e-09
1	10806984	11777841	1319	50	2.37148691134e-05	7.7129151441e-09
1	11777841	12779466	1366	50	5.47228660162e-05	8.0423329605e-09
1	12779466	14891511	2579	50	8.78654645543e-05	1.40741349724e-08
1	14891511	16897730	4083	50	5.2948120437e-05	1.82545484224e-08
1	16897730	18662899	2903	50	6.39766138399e-05	1.52142953825e-08
1	18662899	20469149	3703	50	9.20689346597e-06	1.6644726325e-08
1	20469149	21736588	2066	50	5.9674631376e-05	1.00861190415e-08
1	21736588	23086883	2718	50	4.69647715726e-05	1.33430690066e-08
1	23086883	23920590	1027	50	3.02810153871e-05	5.64409794644e-09
1	23920590	25516845	2421	50	2.16738541685e-05	1.22599825896e-08
1	25516845	27401867	2028	50	5.09652607776e-05	9.99622664642e-09
1	27401867	30161881	2938	50	3.31912337647e-05	1.58348124095e-08
1	30161881	32438685	4147	50	0.000128096013175	1.88390588862e-08
1	32438685	34799758	2590	50	0.000195207230524	1.51855327882e-08
1	34799758	37549183	2869	50	9.63116910144e-05	1.55030344318e-08
1	37549183	38731847	1902	50	8.32324591481e-05	9.01809112806e-09
1	38731847	40200567	2042	50	8.63818367259e-05	1.09974811649e-08
1	40200567	41975327	2933	50	0.000130606815635	1.29390925924e-08
1	41975327	43758457	2548	50	9.27686546002e-05	1.14595045665e-08
1	43758457	44969183	1455	50	0.000221817088509	8.84819869009e-09
1	44969183	46899501	2474	50	9.76179561799e-05	1.29764672808e-08
1	46899501	48002576	1540	50	2.46038687074e-05	7.14460566159e-09
1	48002576	48978188	1218	50	-1.65302016347e-05	5.78209783707e-09
1	48978188	49894177	750	46	8.48230485691e-05	5.42428973554e-09
1	49894177	51713726	1240	45	0.000178559722376	9.29899172666e-09
1	51713726	54226262	2519	50	8.13141080126e-05	1.40082583382e-08
1	54226262	56413117	3639	50	5.27187341194e-05	1.68922849915e-08
1	56413117	57021728	1026	48	3.89068070323e-05	4.37742724353e-09
1	57021728	58865399	3295	50	0.000114317000712	1.44298984012e-08
1	58865399	59890409	1773	50	8.57451419676e-05	7.55739303829e-09
1	59890409	61922365	2469	50	0.000135159392365	1.28616653277e-08
