chr	start	end	num_snp	k	local_h2g	var
1	10583	1892607	1286	50	-4.74478959134e-06	8.99792115298e-09
1	1892607	3582736	3045	50	3.77369533832e-05	1.92744973668e-08
1	3582736	4380811	1622	50	-8.3281030238e-06	9.41921091701e-09
1	4380811	5913893	3790	50	3.15843107256e-06	2.03032870759e-08
1	5913893	7247335	2066	50	1.46962163691e-05	1.21653342102e-08
1	7247335	9365199	3371	50	5.40294021344e-05	2.0751143448e-08
1	9365199	10806984	1551	50	2.69657964872e-05	1.05106527991e-08
1	10806984	11777841	1319	50	3.06798337729e-06	8.60320465573e-09
1	11777841	12779466	1366	50	2.69751512413e-05	8.90238553237e-09
1	12779466	14891511	2579	50	2.90477855762e-05	1.54887606018e-08
1	14891511	16897730	4083	50	2.36574064809e-05	2.05077703324e-08
1	16897730	18662899	2903	50	2.11244640122e-05	1.6930934575e-08
1	18662899	20469149	3703	50	6.16880064332e-05	1.93785366778e-08
1	20469149	21736588	2066	50	7.2791645408e-05	1.15620850187e-08
1	21736588	23086883	2718	50	3.49110517524e-05	1.5066560397e-08
1	23086883	23920590	1027	50	-4.31812886262e-08	6.16630021218e-09
1	23920590	25516845	2421	50	1.71206593779e-06	1.37829108087e-08
1	25516845	27401867	2028	50	4.81267426456e-05	1.13328632314e-08
1	27401867	30161881	2938	50	4.24031143952e-05	1.80850867591e-08
1	30161881	32438685	4147	50	8.1083821108e-05	2.09842040537e-08
1	32438685	34799758	2590	50	7.49813609096e-05	1.61857048086e-08
1	34799758	37549183	2869	50	6.88769347783e-06	1.68559000929e-08
1	37549183	38731847	1902	50	1.22211592691e-05	9.63980933233e-09
1	38731847	40200567	2042	50	0.000109558301546	1.26674019129e-08
1	40200567	41975327	2933	50	3.85844677755e-05	1.38997641469e-08
1	41975327	43758457	2548	50	3.0179221161e-05	1.248097322e-08
1	43758457	44969183	1455	50	6.3085974025e-05	8.64758913768e-09
1	44969183	46899501	2474	50	-6.81057983036e-06	1.38577342159e-08
1	46899501	48002576	1540	50	-6.56027917869e-06	7.86947648817e-09
1	48002576	48978188	1218	50	3.93172151861e-06	6.76735995841e-09
1	48978188	49894177	750	46	1.61493182921e-06	5.45096518526e-09
1	49894177	51713726	1240	45	7.98062418638e-05	9.67833153853e-09
1	51713726	54226262	2519	50	2.36725392777e-05	1.54271605879e-08
1	54226262	56413117	3639	50	1.65133989756e-05	1.89009308971e-08
1	56413117	57021728	1026	48	-9.57369582578e-06	4.5711707551e-09
1	57021728	58865399	3295	50	1.88641173762e-05	1.55757064075e-08
1	58865399	59890409	1773	50	5.58295276197e-05	8.31583405142e-09
1	59890409	61922365	2469	50	1.98395231185e-05	1.36166110175e-08
1	61922365	63455089	2289	50	4.48462963614e-05	1.30289718713e-08
1	63455089	65041704	2971	50	1.4376916208e-05	1.28283986233e-08
1	65041704	66939404	2873	50	8.79510856106e-05	1.28131902893e-08
1	66939404	68477895	2885	50	3.2539347618e-05	1.22274222281e-08
1	68477895	69687616	1632	50	2.66249962668e-06	7.43592758064e-09
1	69687616	71372470	2634	50	4.00540447086e-06	1.15226338415e-08
1	71372470	71684405	514	20	1.03854838215e-05	2.69705485958e-09
1	71684405	74326907	3151	50	5.69339160522e-05	1.57965720151e-08
1	74326907	76728135	3459	50	-2.14832586989e-05	1.30785184836e-08
1	76728135	79661198	4619	50	2.40184662814e-05	1.94013900906e-08
1	79661198	81354191	2772	50	1.82317926312e-05	1.33982797574e-08
1	81354191	83991748	4606	50	3.15272134586e-05	1.92573872851e-08
1	83991748	84844495	1190	50	3.81666955453e-05	5.97227627148e-09
1	84844495	86454751	2803	50	-8.45023028157e-06	1.34339915622e-08
1	86454751	88128631	2909	50	2.63446777066e-05	1.39694950004e-08
1	88128631	90066303	2381	50	4.31023368982e-05	1.1598256882e-08
1	90066303	91886317	2543	50	2.30086441247e-06	1.18155560487e-08
1	91886317	93536459	2419	50	3.24237745315e-05	1.37719187317e-08
1	93536459	94506191	1140	47	1.20141652136e-05	7.11400084635e-09
1	94506191	96150893	2647	50	4.15930251452e-06	1.30342664109e-08
1	96150893	97885249	2645	50	2.09674587062e-05	1.1807694818e-08
1	97885249	99800604	2746	50	2.3904770378e-05	1.15931875702e-08
1	99800604	100826405	1173	50	4.29216117043e-05	7.96307152405e-09
1	100826405	102041016	2008	50	2.34276140754e-05	9.23880916999e-09
1	102041016	102898745	1606	50	2.45823537785e-05	6.52178980307e-09
1	102898745	103914211	1657	46	4.5887939619e-05	8.38682346876e-09
1	103914211	106087842	3786	50	5.48846023751e-05	1.32997947714e-08
1	106087842	108409665	3684	50	3.50414699968e-05	1.62063123675e-08
1	108409665	110303931	2587	50	3.42633971516e-05	1.30525135403e-08
1	110303931	111741737	2385	50	8.51782621114e-05	1.35587054108e-08
1	111741737	113273306	2727	50	9.32711020578e-05	1.37622676199e-08
1	113273306	114873845	2210	50	6.85697005772e-05	1.19023625519e-08
1	114873845	115880593	1385	50	1.59120024325e-05	7.51965245436e-09
1	115880593	118839067	3917	50	9.32619623374e-05	1.99411481258e-08
1	118839067	144977494	2387	50	4.28502955888e-05	1.21846289716e-08
1	144977494	148361253	1879	50	7.62056867695e-05	1.28783214148e-08
1	148361253	151538881	1856	50	4.919511746e-05	1.25868786488e-08
1	151538881	153180829	2262	50	2.82092977254e-05	1.16372634687e-08
1	153180829	154770403	2121	50	3.23257796138e-05	1.01631906583e-08
1	154770403	156336133	1197	50	5.10429969739e-05	8.35284640984e-09
